,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fresa,TINI,1947639,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
2,Goteo,Duki,1927634,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
3,China,"Anuel AA",1855327,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
4,CANGURO,WOS,1797696,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO
5,Tutu,Camilo,1673273,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
6,"Adicto (with Anuel AA & Ozuna)",Tainy,1531743,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
7,"MELÓN VINO",WOS,1453659,https://open.spotify.com/track/5uHAzGa4d9j35DEbhUwGhi
8,"No Me Conoce - Remix","Jhay Cortez",1303275,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
9,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,1241056,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S
10,"Trueno: Bzrp Music Sessions, Vol. 16",Bizarrap,1236062,https://open.spotify.com/track/7ouulWlZPefmEIGYWNyiPH
11,"Yo x Ti, Tu x Mi",ROSALÍA,1224067,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
12,Callaita,"Bad Bunny",1219550,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
13,"LA CANCIÓN","J Balvin",1115121,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
14,"Otro Trago - Remix",Sech,1099248,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
15,"Soltera - Remix",Lunay,1054647,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
16,Quizás,"Rich Music LTD",1016839,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
17,Señorita,"Shawn Mendes",1009832,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,FRESCO,WOS,985114,https://open.spotify.com/track/0blWPYAfbvpRLVHUcmqmmj
19,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",953453,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
20,"11 PM",Maluma,932471,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
21,"Si Te Vas",Sech,932070,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
22,"LUZ DELITO",WOS,880860,https://open.spotify.com/track/13VEtVCYfLTVsq5STs3SlW
23,OKUPA,WOS,849117,https://open.spotify.com/track/25NPeIjHjQGvyp4D52Tji2
24,"Frijo: Bzrp Music Sessions, Vol. 10",Bizarrap,842389,https://open.spotify.com/track/0m9LriWYZaNi5PesRbFqsb
25,"Tal Vez","Paulo Londra",827374,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
26,"Si Se Da - Remix","Myke Towers",803131,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
27,Fantasias,"Rauw Alejandro",800457,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
28,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",793024,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
29,"Con Altura",ROSALÍA,785805,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
30,Cuaderno,Dalex,768488,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
31,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",KHEA,755786,https://open.spotify.com/track/3R1yxKhYKoXqaztyQflEH8
32,22,TINI,752836,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e
33,"Años Luz","Nicki Nicole",749108,https://open.spotify.com/track/4SQFu2eDYHTD9DdRVG3vU3
34,"Que Mas Pues - Remix",Sech,728136,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
35,PANTANO,WOS,726987,https://open.spotify.com/track/0VMxiFeuVhG3Hu7NHnge9e
36,Diavla,"Chris Viz",716400,https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe
37,"Pa Mí - Remix",Dalex,714093,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
38,"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,710728,https://open.spotify.com/track/7xRWmHZ2wt3zDgM5mAL0JU
39,"La Boca - Remix","Mau y Ricky",698626,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
40,Indeciso,Reik,682387,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
41,"El Efecto","Rauw Alejandro",681198,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
42,"Trueno: Bzrp Freestyle Sessions, Vol. 6",Bizarrap,679084,https://open.spotify.com/track/1DckcUSLpCfYsD1htu4JnF
43,Atrévete,"Nicky Jam",675846,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
44,"Wapo Traketero","Nicki Nicole",667021,https://open.spotify.com/track/5ctNuquTVDsfMb9jKzsYu0
45,"QUE PRETENDES","J Balvin",664315,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
46,Bellaquita,Dalex,649760,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
47,Runaway,"Sebastian Yatra",643122,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
48,"Te Robaré","Nicky Jam",627657,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
49,"Qué Pena",Maluma,603496,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
50,"NO VA A BAJAR",WOS,593684,https://open.spotify.com/track/3wNiMUFSp0H7zF7QH4vCPq
51,"Por Eso Vine","Paulo Londra",576215,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu
52,"Kiddo Toto: Bzrp Music Sessions, Vol. 11",Bizarrap,553426,https://open.spotify.com/track/7jJV6hcqjD76gbu7TG67k8
53,"Party (feat. A Boogie Wit da Hoodie)","Paulo Londra",511244,https://open.spotify.com/track/5PDoWY5Av2Ba3rWIdY9Ij0
54,"Rebota - Remix",Guaynaa,493837,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
55,"Ya No Mas","Fer Palacio",480513,https://open.spotify.com/track/4dqoJHdxf9Ez4DDqGh2PBc
56,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",480232,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
57,"Adan y Eva","Paulo Londra",474577,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
58,"Otro Trago",Sech,473701,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
59,Cristina,"Sebastian Yatra",471844,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
60,"Verte Ir","DJ Luian",462863,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
61,A$AP,Dillom,460037,https://open.spotify.com/track/6TesHoNPZGdcVjllhAuKJh
62,"Nothing On You (feat. Paulo Londra & Dave)","Ed Sheeran",441874,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N
63,"Un Año","Sebastian Yatra",439402,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
64,Desconocidos,"Mau y Ricky",435407,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
65,Velitas,Darell,434779,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
66,Bellacoso,Residente,432715,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
67,"Dillom: Bzrp Music Sessions, Vol. 9",Bizarrap,427841,https://open.spotify.com/track/1JY48zKQs16W0necdEl0M8
68,DOLLAR,"Becky G",423839,https://open.spotify.com/track/4ziiAuFyXiY1HNSLGM1xv8
69,"Cuerpo en Venta",Noriel,421595,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
70,"Cristina (feat. Shelow Shaq)",Maffio,420771,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore
71,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",420765,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP
72,"Te Olvidaré",MYA,409965,https://open.spotify.com/track/4jrZI0XdexLjrHlBwLbhzL
73,"No Puedo","Paulo Londra",409722,https://open.spotify.com/track/6MbSMSXrSlvsyHf4kcaLQi
74,"Con Calma","Daddy Yankee",409122,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
75,"La Boca","Mau y Ricky",408814,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
76,"Te Quemaste","Manuel Turizo",407267,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
77,TERRAZA,WOS,405666,https://open.spotify.com/track/6cLWKCBNawunqBHmyzdG7v
78,HP,Maluma,405253,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
79,"Suéltate El Pelo",TINI,402785,https://open.spotify.com/track/7dK9ncfHtROhbYCtElBqfU
80,"Calma - Remix","Pedro Capó",391939,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
81,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,370779,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
82,"No Se Me Quita (feat. Ricky Martin)",Maluma,360121,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
83,Piensan,Haze,354978,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
84,"Mesita: Bzrp Music Sessions, Vol. 12",Bizarrap,354117,https://open.spotify.com/track/3HxP2g1l2jc9r1QgrA3dmf
85,Perreito,"Mariah Angeliq",350545,https://open.spotify.com/track/5LsUdPeqmKVGlPJre2sIRt
86,Lalala,Y2K,349270,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
87,"No Soy Yo",Emilia,341649,https://open.spotify.com/track/67OKX8DNYygddabwIjExsp
88,"Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix","Neo Pistea",341305,https://open.spotify.com/track/0OWcpVA83HI8Pb5DybDuoX
89,Secreto,"Anuel AA",341246,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
90,"Si Supieras","Daddy Yankee",340033,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
91,"La Playa","Myke Towers",339033,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
92,"Two 1 Two","Kiddo Toto",338373,https://open.spotify.com/track/10fj46VSvjIqMVOcJl6Jsx
93,"B11 (feat. Myke Towers)",Rvssian,336869,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
94,"bad guy","Billie Eilish",327171,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
95,"Cómo estás","Ke Personajes",325128,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
96,"Quien Empezó","j mena",324128,https://open.spotify.com/track/1GUxtL2cLMXrtkBgjDevOp
97,"Te Soñé De Nuevo",Ozuna,320688,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa
98,Hitboy,Duki,320199,https://open.spotify.com/track/624AL3EwsrgGIp6bdwmXgo
99,"Pekeño 77: Bzrp Music Sessions, Vol. 5",Bizarrap,312094,https://open.spotify.com/track/1j44jBqva5YwRKsbYF3tPA
100,"La Cobra","j mena",303711,https://open.spotify.com/track/1tyJADhbLubvWFsRmmojMj
101,"BZRP Music Sessions, Vol. 3 (feat. Paco Amoroso)",Bizarrap,302828,https://open.spotify.com/track/6GIJ1H3QklpRlRVaMG2r7j
102,"No Te Debí Besar","C. Tangana",295082,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
103,"Traje unos tangos","Ysy A",293330,https://open.spotify.com/track/2fY4RMsZUohBLEIH308TDT
104,"Mírame - Remix","Nio Garcia",288137,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
105,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",285064,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU
106,"Cuando Te Besé","Becky G",281716,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
107,OUKE,CA7RIEL,279456,https://open.spotify.com/track/02vK8PPOQPDcbxNe4YHdme
108,"Contra La Pared","Sean Paul",278312,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
109,PURPURA,WOS,277243,https://open.spotify.com/track/0RHazYjaRGLIYPvn6mtRWY
110,ANDRÓMEDA,WOS,274551,https://open.spotify.com/track/4Pa73QAWSryyKavXNyVbUA
111,Amanece,"Anuel AA",274477,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
112,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",273537,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg
113,"Ella Quiere Beber - Remix","Anuel AA",268778,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
114,"Spaghetti del Rock",Divididos,268618,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
115,Criminal,"Neo Pistea",263840,https://open.spotify.com/track/0eo85yo2kaUvjBHOa4iQX6
116,ANIMAL,Acru,261107,https://open.spotify.com/track/06b0Au6pvZiO03eKTCvgWh
117,Aleluya,Reik,261045,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM
118,"Date La Vuelta","Luis Fonsi",260692,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H
119,"Me Vas a Extrañar - En Vivo","Damas Gratis",259420,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
120,"Te Vi","Piso 21",257570,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
121,"Visto a las 00:00",Cazzu,257014,https://open.spotify.com/track/0m1zfGk4oYfj4NxBLNheHZ
122,"Cristina Remix","DJ Alex",255294,https://open.spotify.com/track/0ri6HvRxDmSXudAxwG3FiM
123,Bonita,Juanes,255154,https://open.spotify.com/track/0gcOnIUKIG6JF56iFUfE0p
124,"Me Gusta","Ciro y los Persas",254071,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
125,"Uno más uno","DJ Alex",253699,https://open.spotify.com/track/56HBkP5mBsUALQnstFiqIY
126,Crimen,"Gustavo Cerati",253580,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
127,"I Don't Care (with Justin Bieber)","Ed Sheeran",253441,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
128,Delincuente,Farruko,252794,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
129,"Juntos a la Par",Pappo,252411,https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc
130,"Ya No Tiene Novio","Sebastian Yatra",251430,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
131,"Sin Culpa (feat. DrefQuila)",Duki,250371,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS
