,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Harami,Samra,327107,https://open.spotify.com/track/5xIODxqlpUnRVA9ewZUCug
2,"Cherry Lady","Capital Bra",317384,https://open.spotify.com/track/3r1cV21xPMkgCmxk8VqWOB
3,"bad guy","Billie Eilish",249995,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,Affalterbach,Shindy,208107,https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw
5,"Wir ticken","Capital Bra",184789,https://open.spotify.com/track/1mdJ39D1lrR3aWIOhgeNaE
6,"Blackberry Sky",Eno,184315,https://open.spotify.com/track/4cawYWrqMRz0T0hOIVxk6j
7,"cOcO MAmA",Dardan,182098,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
8,"Wolke 10",MERO,173062,https://open.spotify.com/track/200cTjC6si5Xz9af2QeHi2
9,"Puerto Rico",Fero47,170126,https://open.spotify.com/track/0ypCvaP431mEM6znlVHNRP
10,Alleen,"KC Rebell",157007,https://open.spotify.com/track/3UDsmMZsEMsvM82OcdqJWu
11,ICE,"SHIRIN DAVID",150028,https://open.spotify.com/track/2YC4rnhpt0sTIUcrIRHZSQ
12,"Pass auf wen du liebst",Ufo361,142549,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1
13,2x,Mathea,140075,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
14,"Ya Salame",Luciano,135228,https://open.spotify.com/track/0EDSU9JYeKABA14OcOuM7b
15,DNA,"KC Rebell",130147,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
16,Prinzessa,"Capital Bra",129280,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
17,Mary,Bausa,116675,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
18,"Gib Ihm","SHIRIN DAVID",113544,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
19,"Old Town Road","Lil Nas X",112684,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
20,"Jay Jay",MERO,108456,https://open.spotify.com/track/3YxCKq3YPnTekAofhaHABZ
21,"500 PS","Bonez MC",107377,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
22,"bury a friend","Billie Eilish",106688,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
23,"Don't Call Me Up",Mabel,104045,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
24,"Con Calma","Daddy Yankee",102657,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
25,"Sweet but Psycho","Ava Max",101404,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
26,"wish you were gay","Billie Eilish",100269,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
27,Sucker,"Jonas Brothers",99805,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
28,Benzema,"Capital Bra",95753,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
29,"High Hopes","Panic! At The Disco",91201,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
30,"Hobby Hobby",MERO,91149,https://open.spotify.com/track/0dmrz4V5kiezQAqQ3VqGob
