,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",355941,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,"Sweet but Psycho","Ava Max",240214,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
3,"bury a friend","Billie Eilish",234903,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
4,Shallow,"Lady Gaga",204879,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
5,"High Hopes","Panic! At The Disco",203338,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
6,"Without Me",Halsey,189200,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,Wow.,"Post Malone",181695,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
8,Happier,Marshmello,177242,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,"Giant (with Rag'n'Bone Man)","Calvin Harris",174172,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
10,"Be Alright","Dean Lewis",166025,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
11,"Dancing With A Stranger (with Normani)","Sam Smith",157352,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
12,"Someone You Loved","Lewis Capaldi",148800,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
13,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",148047,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
14,"thank u, next","Ariana Grande",147955,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
15,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",139191,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
16,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",138881,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
17,"Tout oublier",Angèle,136991,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71
18,"MIDDLE CHILD","J. Cole",131778,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
19,HUTS,"The Blockparty",131654,https://open.spotify.com/track/0UMaqPntFC8dFOc7p3Iefj
20,"In My Mind",Dynoro,124755,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
21,"when the party's over","Billie Eilish",124579,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
22,Ordinary,Regi,119997,https://open.spotify.com/track/1D4TcxXCgq6WVrM2JLPffr
23,Leef,"André Hazes Jr.",117089,https://open.spotify.com/track/1MZkpg4JmhAWCvysue8VDd
24,Youngblood,"5 Seconds of Summer",116272,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
25,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",116017,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
26,Hope,"The Chainsmokers",112558,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
27,"Promises (with Sam Smith)","Calvin Harris",108063,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
28,"Daar Gaat Ze (Nooit Verdiend)","Dimitri Vegas & Like Mike",106117,https://open.spotify.com/track/1gnu3dukNUACZjNOF6NAwT
29,"Bad Liar","Imagine Dragons",105470,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
30,"Let Me Down Slowly","Alec Benjamin",102177,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
31,"Let You Love Me","Rita Ora",101274,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
32,"Say My Name","David Guetta",100966,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
33,SAD!,XXXTENTACION,97292,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
34,"Mo Bamba","Sheck Wes",97226,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
