Position,Track Name,Artist,Streams,URL,Week,Region
1,Dance Monkey,Tones And I,2837134,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-10-04,Great Britain
2,Taste (Make It Shake),Aitch,2399530,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON,2019-10-04,Great Britain
3,Ladbroke Grove,AJ Tracey,2376258,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV,2019-10-04,Great Britain
4,Ride It,Regard,2292089,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-10-04,Great Britain
5,Strike a Pose (feat. Aitch),Young T & Bugsey,2253695,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44,2019-10-04,Great Britain
6,Circles,Post Malone,2097301,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-10-04,Great Britain
7,Sorry,Joel Corry,2064034,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn,2019-10-04,Great Britain
8,Someone You Loved,Lewis Capaldi,2061353,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-10-04,Great Britain
9,3 Nights,Dominic Fike,2016623,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019-10-04,Great Britain
10,Señorita,Shawn Mendes,1896866,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-10-04,Great Britain
11,Ransom,Lil Tecca,1854636,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,2019-10-04,Great Britain
12,Take Me Back to London (feat. Stormzy),Ed Sheeran,1800820,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0,2019-10-04,Great Britain
13,Higher Love,Kygo,1745546,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-10-04,Great Britain
14,Beautiful People (feat. Khalid),Ed Sheeran,1720471,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-10-04,Great Britain
15,Location (feat. Burna Boy),Dave,1583094,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI,2019-10-04,Great Britain
16,How Do You Sleep?,Sam Smith,1579927,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-10-04,Great Britain
17,Be Honest (feat. Burna Boy),Jorja Smith,1576206,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd,2019-10-04,Great Britain
18,Both,Headie One,1478631,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ,2019-10-04,Great Britain
19,Post Malone (feat. RANI),Sam Feldt,1465709,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2019-10-04,Great Britain
20,Outnumbered,Dermot Kennedy,1433779,https://open.spotify.com/track/6UjZ2Yx2g2a52XxiA8ONxZ,2019-10-04,Great Britain
21,Professor X,Dave,1403636,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi,2019-10-04,Great Britain
22,Goodbyes (Feat. Young Thug),Post Malone,1317091,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-10-04,Great Britain
23,I Don't Care (with Justin Bieber),Ed Sheeran,1289532,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-10-04,Great Britain
24,Panini,Lil Nas X,1268739,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2019-10-04,Great Britain
25,So High (feat. Fredo),MIST,1266269,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp,2019-10-04,Great Britain
