,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
201,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,belgium
202,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,belgium
203,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,belgium
204,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,belgium
206,everything i wanted,Billie Eilish,electropop,2019,12/31/1969,120,23,70,-14,11,24,245,90,10,98,belgium
207,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,belgium
208,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,belgium
209,Someone You Loved,Lewis Capaldi,pop,2019,12/31/1969,110,41,50,-6,11,45,182,75,3,96,belgium
210,bad guy,Billie Eilish,electropop,2019,12/31/1969,135,43,70,-11,10,56,194,33,38,96,belgium
212,Ride It,Regard,pop edm,2019,12/31/1969,118,75,88,-4,11,88,158,18,9,95,belgium
224,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,belgium
240,My Only Wish (This Year),Britney Spears,dance pop,2019,12/31/1969,147,73,67,-7,20,68,255,23,3,84,belgium
244,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,12/31/1969,126,76,34,-7,8,36,166,39,5,82,belgium
245,Ne reviens pas,Gradur,french hip hop,2019,12/31/1969,125,78,93,-3,17,93,189,21,6,78,belgium
246,Sleigh Ride,The Ronettes,adult standards,2019,12/31/1969,92,77,53,-7,32,85,181,40,3,77,belgium
248,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,12/31/1969,130,86,69,-3,19,42,253,6,5,75,belgium
