,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
301,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,brazil
302,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,12/31/1969,150,73,83,-3,2,61,158,38,8,86,brazil
303,Surtada - Remix Brega Funk,Dadá Boladão,brega funk,2019,12/31/1969,154,55,83,-7,18,88,153,25,6,86,brazil
304,Supera - Ao Vivo,Marília Mendonça,sertanejo,2019,12/31/1969,132,74,67,-4,96,66,148,6,6,85,brazil
305,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,12/31/1969,152,87,53,-3,33,71,182,24,9,85,brazil
306,Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,12/31/1969,108,68,67,-6,92,70,188,63,5,84,brazil
307,Some que ele vem atrás,Anitta,baile pop,2019,12/31/1969,180,80,65,-6,38,60,195,7,17,84,brazil
308,Hit Contagiante,Felipe Original,brega funk,2019,12/31/1969,170,68,82,-7,9,96,137,13,12,84,brazil
309,Gaiola É o Troco,MC Du Black,funk carioca,2019,12/31/1969,150,84,72,-3,11,85,187,42,8,84,brazil
310,SENTADÃO,Pedro Sampaio,baile pop,2019,12/31/1969,174,87,68,-2,22,92,143,18,6,83,brazil
311,Tijolão - Ao Vivo,Jorge & Mateus,sertanejo,2019,12/31/1969,119,88,64,-4,34,69,175,47,20,83,brazil
312,Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,12/31/1969,146,85,49,-3,21,55,159,49,10,83,brazil
313,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,12/31/1969,150,84,89,-2,6,96,120,46,15,83,brazil
314,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,12/31/1969,118,71,55,-5,76,53,157,61,13,82,brazil
315,Quarta Cadeira - Ao Vivo,Matheus & Kauan,pop nacional,2019,12/31/1969,76,82,56,-5,62,60,224,59,24,82,brazil
316,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,12/31/1969,152,93,79,-5,95,81,173,22,8,82,brazil
317,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,12/31/1969,135,86,78,-4,93,70,157,48,5,82,brazil
