,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
501,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,chile
503,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,chile
504,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,chile
505,Vete,Bad Bunny,latin,2019,12/31/1969,92,67,89,-4,10,53,192,4,19,94,chile
506,China,Anuel AA,latin,2019,12/31/1969,105,81,79,-4,8,61,302,8,9,94,chile
507,Fantasias,Rauw Alejandro,latin,2019,12/31/1969,94,70,88,-4,6,79,200,14,7,93,chile
508,LA CANCIÓN,J Balvin,latin,2019,12/31/1969,176,65,75,-6,11,43,243,15,32,93,chile
509,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,12/31/1969,80,84,73,-5,18,62,271,2,7,92,chile
510,Callaita,Bad Bunny,latin,2019,12/31/1969,176,62,61,-5,24,24,251,60,31,92,chile
512,Whine Up,Nicky Jam,latin,2019,12/31/1969,105,67,82,-6,10,66,215,5,8,91,chile
513,Que Tire Pa Lante,Daddy Yankee,latin,2019,12/31/1969,94,90,66,-3,12,71,211,5,4,91,chile
514,Aventura,Lunay,latin,2019,12/31/1969,92,73,73,-3,10,88,217,22,4,90,chile
515,Quizas,Rich Music LTD,reggaeton,2019,12/31/1969,176,82,73,-2,23,68,216,3,15,90,chile
516,Si Te Vas,Sech,panamanian pop,2019,12/31/1969,174,64,73,-4,14,55,205,9,13,90,chile
517,Tutu,Camilo,colombian pop,2019,12/31/1969,146,83,73,-3,7,94,179,27,5,90,chile
518,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,12/31/1969,92,76,78,-3,14,58,201,46,23,90,chile
519,Hola - Remix,Dalex,latin,2019,12/31/1969,182,67,65,-6,8,34,250,47,31,89,chile
520,No Me Conoce - Remix,Jhay Cortez,latin,2019,12/31/1969,92,79,81,-4,9,58,309,14,7,88,chile
521,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,12/31/1969,170,71,74,-4,8,83,259,5,9,88,chile
522,Otro Trago - Remix,Sech,panamanian pop,2019,12/31/1969,176,79,73,-2,6,76,288,7,20,88,chile
523,QUE PRETENDES,J Balvin,latin,2019,12/31/1969,93,79,64,-4,36,94,222,3,25,88,chile
524,Bellaquita - Remix,Dalex,latin,2019,12/31/1969,166,72,80,-4,18,76,305,14,8,87,chile
525,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,12/31/1969,88,65,75,-3,11,48,233,11,7,85,chile
526,Si Se Da - Remix,Myke Towers,latin,2019,12/31/1969,94,67,82,-6,13,77,332,44,30,85,chile
527,Cuerpo en Venta,Noriel,latin,2019,12/31/1969,92,60,70,-6,10,41,254,16,30,85,chile
529,Verte Ir,DJ Luian,latin,2019,12/31/1969,96,65,86,-4,8,55,268,39,10,85,chile
530,Fantasía,Ozuna,latin,2019,12/31/1969,180,72,70,-6,9,78,175,23,9,84,chile
532,Sigues Con El,Dimelo Flow,latin,2019,12/31/1969,88,67,88,-3,7,68,227,11,11,83,chile
533,105 F Remix,KEVVO,perreo,2019,12/31/1969,100,75,90,-7,29,74,464,37,16,83,chile
534,B11 (feat. Myke Towers),Rvssian,latin,2019,12/31/1969,100,72,76,-5,13,20,252,7,12,83,chile
535,Perreo en La Luna,Rich Music LTD,reggaeton,2019,12/31/1969,174,76,71,-4,37,72,219,27,29,83,chile
537,Piensan,Myke Towers,latin,2019,12/31/1969,172,72,68,-4,11,79,173,54,6,82,chile
538,No Te Debí Besar,C. Tangana,trap espanol,2019,12/31/1969,75,68,67,-6,18,62,183,13,32,82,chile
539,Si Supieras,Daddy Yankee,latin,2019,12/31/1969,184,89,69,-2,10,62,242,29,12,82,chile
540,Coronao Now,El Alfa,dembow,2019,12/31/1969,118,73,94,-8,18,72,218,15,25,81,chile
541,Soltera - Remix,Lunay,latin,2019,12/31/1969,92,78,80,-4,44,80,266,36,4,80,chile
542,Imaginaste - Remix,Jhay Cortez,latin,2019,12/31/1969,90,71,85,-5,34,60,247,4,9,79,chile
543,Piropo,Noriel,latin,2019,12/31/1969,94,75,87,-6,4,77,220,12,7,78,chile
544,Infeliz,Arcangel,latin,2019,12/31/1969,176,80,71,-3,25,72,221,37,22,74,chile
545,La Cama,Lunay,latin,2019,12/31/1969,174,90,70,-3,18,82,189,20,6,74,chile
546,Mami,Paloma Mami,latin pop,2019,12/31/1969,95,72,80,-6,17,51,195,15,5,73,chile
