,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
701,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,india
702,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,india
703,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,india
705,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,india
706,bad guy,Billie Eilish,electropop,2019,12/31/1969,135,43,70,-11,10,56,194,33,38,96,india
707,hot girl bummer,blackbear,pop,2019,12/31/1969,130,56,78,-7,40,68,185,13,8,96,india
708,Heartless,The Weeknd,canadian contemporary r&b,2019,12/31/1969,170,75,53,-6,12,20,200,1,11,94,india
709,Trampoline (with ZAYN),SHAED,electropop,2019,12/31/1969,127,46,62,-6,14,50,184,56,3,92,india
710,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,12/31/1969,105,49,72,-6,9,38,171,2,3,91,india
711,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,india
713,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,12/31/1969,90,52,76,-4,7,93,158,53,6,88,india
714,On My Way,Alan Walker,electro house,2019,12/31/1969,170,69,51,-5,30,30,194,2,10,84,india
715,"Ghungroo (From ""War"")",Arijit Singh,desi pop,2019,12/31/1969,118,73,70,-6,53,86,303,7,3,75,india
716,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,modern bollywood,2019,12/31/1969,90,40,47,-7,15,35,249,63,2,74,india
717,Filhall,B Praak,desi pop,2019,12/31/1969,80,66,53,-4,13,59,255,61,6,74,india
718,Makhna,Tanishk Bagchi,desi pop,2019,12/31/1969,125,70,70,-8,16,43,183,17,4,73,india
719,Yaad Piya Ki Aane Lagi,Neha Kakkar,desi pop,2019,12/31/1969,108,83,86,-4,11,69,257,38,5,72,india
720,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,12/31/1969,77,66,44,-6,13,52,223,70,4,71,india
721,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,12/31/1969,170,69,52,-4,12,48,227,62,3,71,india
