,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
801,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,israel
802,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,israel
803,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,israel
804,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,israel
805,everything i wanted,Billie Eilish,electropop,2019,12/31/1969,120,23,70,-14,11,24,245,90,10,98,israel
807,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,israel
808,bad guy,Billie Eilish,electropop,2019,12/31/1969,135,43,70,-11,10,56,194,33,38,96,israel
809,Someone You Loved,Lewis Capaldi,pop,2019,12/31/1969,110,41,50,-6,11,45,182,75,3,96,israel
810,HIGHEST IN THE ROOM,Travis Scott,rap,2019,12/31/1969,76,43,60,-9,21,6,176,5,3,96,israel
811,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,israel
813,Lalala,Y2K,pop rap,2019,12/31/1969,130,39,84,-8,14,50,161,18,8,93,israel
814,7 rings,Ariana Grande,dance pop,2019,12/31/1969,140,32,78,-11,9,33,179,59,33,92,israel
815,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,12/31/1969,105,49,72,-6,9,38,171,2,3,91,israel
816,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,israel
817,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,12/31/1969,93,65,64,-8,8,55,198,12,19,86,israel
818,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,12/31/1969,102,68,80,-5,9,84,220,9,4,85,israel
820,Never Go Back,Dennis Lloyd,israeli pop,2019,12/31/1969,79,65,42,-5,11,73,175,1,40,76,israel
821,Unfaithful,Dennis Lloyd,israeli pop,2019,12/31/1969,76,57,64,-5,25,42,141,1,5,69,israel
850,Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,classic israeli pop,2019,12/31/1969,112,88,73,-5,10,23,213,50,3,43,israel
