Position,Track Name,Artist,Streams,URL,Week,Region
1,Dance Monkey,Tones And I,30965,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-12-20,Bulgaria
2,Heartless,The Weeknd,27184,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,2019-12-20,Bulgaria
3,HIGHEST IN THE ROOM,Travis Scott,22971,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-12-20,Bulgaria
4,Blinding Lights,The Weeknd,22884,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2019-12-20,Bulgaria
5,Falling,Trevor Daniel,21175,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2019-12-20,Bulgaria
6,everything i wanted,Billie Eilish,18941,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2019-12-20,Bulgaria
7,Куча марка,Boro Purvi,18785,https://open.spotify.com/track/1gcVQukmyakNQHHLSPbxH2,2019-12-20,Bulgaria
8,Adore You,Harry Styles,17546,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2019-12-20,Bulgaria
9,ROXANNE,Arizona Zervas,17075,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019-12-20,Bulgaria
10,Señorita,Shawn Mendes,16877,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-12-20,Bulgaria
11,Don't Start Now,Dua Lipa,16406,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-12-20,Bulgaria
12,Майко Майко,Boro Purvi,16133,https://open.spotify.com/track/11VyWPLK8nQqZEpsg2rkww,2019-12-20,Bulgaria
13,bad guy,Billie Eilish,16035,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-12-20,Bulgaria
14,Watermelon Sugar,Harry Styles,15868,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2019-12-20,Bulgaria
15,Lucid Dreams,Juice WRLD,15408,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-12-20,Bulgaria
16,All I Want for Christmas Is You,Mariah Carey,14580,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019-12-20,Bulgaria
17,Roses - Imanbek Remix,SAINt JHN,14561,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2019-12-20,Bulgaria
18,Излъжи ме,Lidia,14267,https://open.spotify.com/track/197aNKfFNy02if3CpWStRI,2019-12-20,Bulgaria
19,Superintro,Boro Purvi,13326,https://open.spotify.com/track/2ZNTZ6YvhoXhoKV7DWOm51,2019-12-20,Bulgaria
20,Poludyavash,Malkata,13256,https://open.spotify.com/track/0iIAmOd9IVJK5KZ7hx8eS5,2019-12-20,Bulgaria
21,Futsal Shuffle 2020,Lil Uzi Vert,13132,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,2019-12-20,Bulgaria
22,Вс искат да са лоши,Boro Purvi,12887,https://open.spotify.com/track/00xxLYArclw9ACfboY8cl8,2019-12-20,Bulgaria
23,Lamborghini,Galena,12814,https://open.spotify.com/track/5v1ngTQTFEjKEirsiaKsvQ,2019-12-20,Bulgaria
24,Circles,Post Malone,12669,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-12-20,Bulgaria
25,Ella Ella,DARA,12655,https://open.spotify.com/track/51iXf0uczhZaNjva8wADBv,2019-12-20,Bulgaria
26,My Oh My (feat. DaBaby),Camila Cabello,12652,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2019-12-20,Bulgaria
27,Someone You Loved,Lewis Capaldi,12294,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-12-20,Bulgaria
28,7 rings,Ariana Grande,12148,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-12-20,Bulgaria
29,27 Club,Boro Purvi,11905,https://open.spotify.com/track/40r5aSMv4M7CfITWK81f78,2019-12-20,Bulgaria
30,Ayy Macarena,Tyga,11652,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,2019-12-20,Bulgaria
31,Last Christmas,Wham!,11556,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2019-12-20,Bulgaria
32,Liar,Camila Cabello,11381,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,2019-12-20,Bulgaria
33,Lalala,Y2K,11122,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-12-20,Bulgaria
34,No Idea,Don Toliver,11009,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2019-12-20,Bulgaria
35,Сметката,Boro Purvi,10996,https://open.spotify.com/track/0GLrISF5TyyW87eT4f69c7,2019-12-20,Bulgaria
36,Taka ni se pada,Preslava,10781,https://open.spotify.com/track/4QVBJZKMRLl2XsSDGbsf7D,2019-12-20,Bulgaria
37,Piyan,Preslava,10501,https://open.spotify.com/track/1iIIsJlKQW7E4eLw7x5XOI,2019-12-20,Bulgaria
38,Я се махай,Boro Purvi,10306,https://open.spotify.com/track/51sbcrOChj1tG0QrumZkct,2019-12-20,Bulgaria
39,Лапешки филм / Съвпадения,Boro Purvi,10273,https://open.spotify.com/track/6ZzBMehonqTRKyQQK2z2nM,2019-12-20,Bulgaria
40,Lights Up,Harry Styles,10245,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,2019-12-20,Bulgaria
41,Ride It,Regard,10141,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-12-20,Bulgaria
42,BOP,DaBaby,10132,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2019-12-20,Bulgaria
43,SICKO MODE,Travis Scott,10107,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-12-20,Bulgaria
44,Memories,Maroon 5,10087,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-12-20,Bulgaria
45,Seen,Boro Purvi,9946,https://open.spotify.com/track/4YDliRtsdrhBddW6oqXpt3,2019-12-20,Bulgaria
46,Old Town Road - Remix,Lil Nas X,9783,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-12-20,Bulgaria
47,Bandit (with YoungBoy Never Broke Again),Juice WRLD,9579,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019-12-20,Bulgaria
48,Аз ги убих,Boro Purvi,9549,https://open.spotify.com/track/0ymK816omyxeJm8AYxKhH9,2019-12-20,Bulgaria
