Position,Track Name,Artist,Streams,URL,Week,Region
1,Tout oublier,Angèle,1411270,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019-01-25,France
2,7 rings,Ariana Grande,1385894,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-25,France
3,Madrina,Maes,1364271,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,2019-01-25,France
4,Sale mood,Bramsito,1330027,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm,2019-01-25,France
5,1000°C,Lomepal,1247849,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019-01-25,France
6,On Fleek,Eva,1217081,https://open.spotify.com/track/4MSFxqmkiMxq7e61jTqgqt,2019-01-25,France
7,Trop beau,Lomepal,1073145,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019-01-25,France
8,MIA (feat. Drake),Bad Bunny,969213,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-25,France
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,932570,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-25,France
10,Sweet but Psycho,Ava Max,927511,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-25,France
11,La dot,Aya Nakamura,891276,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG,2019-01-25,France
12,Binks to Binks 6,Ninho,889176,https://open.spotify.com/track/4zrEmFA3R3JngfWR70zu3w,2019-01-25,France
13,Shallow,Lady Gaga,881020,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-25,France
14,Aieaieouille,Kaaris,852778,https://open.spotify.com/track/08pN6wAbyBPopAgLDwvXgR,2019-01-25,France
15,Say My Name,David Guetta,839134,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-01-25,France
16,Jaloux,Dadju,837595,https://open.spotify.com/track/0QnEGWGECQUPuE3m8L6hdT,2019-01-25,France
17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,790126,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-25,France
18,Rêves bizarres (feat. Damso),Orelsan,787949,https://open.spotify.com/track/7lhuM9WUqdThw72dCBRmQW,2019-01-25,France
19,High Hopes,Panic! At The Disco,780753,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-25,France
20,Billets verts,Maes,700521,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L,2019-01-25,France
21,"thank u, next",Ariana Grande,700220,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-25,France
22,KYLL,Medine,691636,https://open.spotify.com/track/1VYTP4prOc62xQe1KWf3S5,2019-01-25,France
23,Solo,Lacrim,684500,https://open.spotify.com/track/0VUHYCOoWRgUV9uhdXo52u,2019-01-25,France
24,Sheitana (feat. Ninho),Hornet La Frappe,670652,https://open.spotify.com/track/1GOIfWQmA3Tp6GlwcCd35K,2019-01-25,France
25,Mauvais,GLK,660080,https://open.spotify.com/track/3ABwQntK8i49EGOd3SSj7Q,2019-01-25,France
26,Moonlight,XXXTENTACION,659683,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-25,France
27,Air Max,Rim'K,611042,https://open.spotify.com/track/0RTvfKVdkt10ATfJ8BjMEI,2019-01-25,France
28,Mexico,DA Uzi,608661,https://open.spotify.com/track/0ZcHabj9mkwguRgGwG3ERu,2019-01-25,France
29,Ma 6t a craqué (feat. Ninho),Kpoint,585177,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS,2019-01-25,France
30,Later Bitches,The Prince Karma,575181,https://open.spotify.com/track/0uL88Lp7C6i2WGHub1zrJ9,2019-01-25,France
31,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,569262,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-25,France
32,Tiago,Kendji Girac,555597,https://open.spotify.com/track/63eflEIBAF5VmO5AdVuZF7,2019-01-25,France
33,Promises (with Sam Smith),Calvin Harris,552321,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-25,France
34,Je te le donne (en duo avec Slimane),Vitaa,543748,https://open.spotify.com/track/4yjqpsuyrbjyXHB6rC0mWo,2019-01-25,France
35,La vraie vie,DA Uzi,539596,https://open.spotify.com/track/3KA77rQCTFf2m4aaMmriA6,2019-01-25,France
36,Copines,Aya Nakamura,539283,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL,2019-01-25,France
37,Happier,Marshmello,532577,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-25,France
38,À nos souvenirs,Trois Cafés Gourmands,530618,https://open.spotify.com/track/4h3SqMd5F16XJVdGp5fsZG,2019-01-25,France
39,L'enfoiré,Heuss L'enfoiré,527955,https://open.spotify.com/track/7Jt9gt9N8KC4s7gZVyLdyY,2019-01-25,France
40,X-men,Lomepal,512595,https://open.spotify.com/track/6A3bL3MlU0l54kKlgpw0UT,2019-01-25,France
41,Bae,RK,508276,https://open.spotify.com/track/5as5HurTt4u7BuFIT5j8am,2019-01-25,France
42,Ramenez la coupe à la maison,Vegedream,504353,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m,2019-01-25,France
43,Entre les murs (feat. Ninho),DA Uzi,502506,https://open.spotify.com/track/5I86TGCQg2yM9tZRHJebiQ,2019-01-25,France
44,Natural,Imagine Dragons,494034,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-01-25,France
45,La vérité,Lomepal,488040,https://open.spotify.com/track/1H0OfL0clmcI1odODWD2DS,2019-01-25,France
46,Ta reine,Angèle,484077,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1,2019-01-25,France
47,BB,Booba,481904,https://open.spotify.com/track/0YCMh9HQkRpAtkj0i1sZqH,2019-01-25,France
48,George moula,Heuss L'enfoiré,481849,https://open.spotify.com/track/17RmvdhJ5NmpiVpBEsusy6,2019-01-25,France
49,Without Me,Halsey,480703,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-25,France
50,Like I Love You (feat. The NGHBRS),Lost Frequencies,479104,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY,2019-01-25,France
51,Ma che beauté,Jul,478323,https://open.spotify.com/track/0XXooKwo0L6gxn0OxZFDXw,2019-01-25,France
52,Sucette (feat. Niska),Aya Nakamura,473524,https://open.spotify.com/track/3qHs2PoiJMPvdxgyRSvqAl,2019-01-25,France
53,Bella,MHD,461141,https://open.spotify.com/track/0O4XHiuVt3dBaOzSI49BtF,2019-01-25,France
54,Feu de bois,Damso,457077,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5,2019-01-25,France
55,Débrouillard,Kaaris,452205,https://open.spotify.com/track/3r1Veo87Ex14aHT2KcJNnh,2019-01-25,France
56,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,447529,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-25,France
57,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,443424,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-25,France
58,In My Mind,Dynoro,439870,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-25,France
59,D'une autre manière (feat. Kaaris),DA Uzi,438684,https://open.spotify.com/track/1JH9UT32a7p592voVWkQbv,2019-01-25,France
60,Mômes,Lomepal,434443,https://open.spotify.com/track/2FRnrkO72S9tbqu6eLjq6b,2019-01-25,France
61,Djadja,Aya Nakamura,433860,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,2019-01-25,France
62,Plus tard,Bigflo & Oli,431876,https://open.spotify.com/track/6KXZwMCjsRzhkJ3ccnYUJ8,2019-01-25,France
63,On s'est manqué (feat. Eva Guess),RIDSA,426586,https://open.spotify.com/track/7B9BjQzugAygkzhWRwRtFq,2019-01-25,France
64,Monégasque,PLK,425775,https://open.spotify.com/track/7C7l4I5OZHEO1Vbx8SGJC2,2019-01-25,France
65,Thunderclouds,Sia,425339,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2019-01-25,France
66,SAD!,XXXTENTACION,423353,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-25,France
67,Ma Go Sure,Vegedream,420613,https://open.spotify.com/track/0UBA6zYjGWJwPzowdunlLt,2019-01-25,France
68,Giant (with Rag'n'Bone Man),Calvin Harris,420112,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-01-25,France
69,Jon Snow,Lacrim,419779,https://open.spotify.com/track/2pz2M2tXX8ROcV1Pesr725,2019-01-25,France
70,Bébé,MHD,419489,https://open.spotify.com/track/2sjJrFhDT0oP3fyCocTVyX,2019-01-25,France
71,Oh Man,Jain,418400,https://open.spotify.com/track/0F3fscqwFqD52Tpbep5hBW,2019-01-25,France
72,Train de vie,Koba LaD,418056,https://open.spotify.com/track/6FqNHDHEsUTKqVWXBkMd9y,2019-01-25,France
73,A chaque jour...,Dosseh,417412,https://open.spotify.com/track/0Vi7aOPdOU683VUfZ79c0d,2019-01-25,France
74,Adieu bientôt,Columbine,411123,https://open.spotify.com/track/17y8kqTbNDd9QM3j6yln4g,2019-01-25,France
75,La C,Koba LaD,403711,https://open.spotify.com/track/5PtFV78R0DRvzsTqk1S0Vt,2019-01-25,France
76,Lost in the Fire,Gesaffelstein,402214,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019-01-25,France
