Position,Track Name,Artist,Streams,URL,Week,Region
1,Otro Trago,Sech,2751609,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-06-21,Argentina
2,Soltera - Remix,Lunay,1992590,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-06-21,Argentina
3,Tal Vez,Paulo Londra,1624783,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-06-21,Argentina
4,Pa Mí - Remix,Dalex,1425687,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-06-21,Argentina
5,Callaita,Bad Bunny,1416784,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-06-21,Argentina
6,Con Altura,ROSALÍA,1280162,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-06-21,Argentina
7,Hitboy,Duki,1114230,https://open.spotify.com/track/624AL3EwsrgGIp6bdwmXgo,2019-06-21,Argentina
8,Cuaderno,Dalex,1102841,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,2019-06-21,Argentina
9,Con Calma,Daddy Yankee,1034960,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-06-21,Argentina
10,"Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea,1000100,https://open.spotify.com/track/0OWcpVA83HI8Pb5DybDuoX,2019-06-21,Argentina
11,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,999900,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP,2019-06-21,Argentina
12,22,TINI,997393,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e,2019-06-21,Argentina
13,Verte Ir,DJ Luian,965853,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-06-21,Argentina
14,Te Robaré,Nicky Jam,958142,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-06-21,Argentina
15,No Me Conoce - Remix,Jhay Cortez,910209,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-06-21,Argentina
16,11 PM,Maluma,903546,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-06-21,Argentina
17,La Cobra,j mena,893674,https://open.spotify.com/track/7tAFzqPUa2G7EziujIPP7K,2019-06-21,Argentina
18,Que Mas Pues - Remix,Sech,877191,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-06-21,Argentina
19,Adan y Eva,Paulo Londra,806702,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-06-21,Argentina
20,Secreto,Anuel AA,750512,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-06-21,Argentina
21,Homerun (Intro),Paulo Londra,746542,https://open.spotify.com/track/7kh95COsNZjnTmc6aF76n7,2019-06-21,Argentina
22,Cristina,Sebastian Yatra,706769,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,2019-06-21,Argentina
23,Calma - Remix,Pedro Capó,702217,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-06-21,Argentina
24,HP,Maluma,667326,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-06-21,Argentina
25,Si Se Da,Myke Towers,666494,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-06-21,Argentina
26,Un Año,Sebastian Yatra,661852,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,2019-06-21,Argentina
27,Por Eso Vine,Paulo Londra,618565,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,2019-06-21,Argentina
28,Contra La Pared,Sean Paul,591026,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,2019-06-21,Argentina
29,bad guy,Billie Eilish,572084,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-06-21,Argentina
30,Desconocidos,Mau y Ricky,569413,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-06-21,Argentina
31,Sin Culpa (feat. DrefQuila),Duki,549687,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS,2019-06-21,Argentina
32,No Puedo,Paulo Londra,521001,https://open.spotify.com/track/6MbSMSXrSlvsyHf4kcaLQi,2019-06-21,Argentina
33,Amanece,Anuel AA,519089,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-06-21,Argentina
34,Visto a las 00:00,Cazzu,486270,https://open.spotify.com/track/0m1zfGk4oYfj4NxBLNheHZ,2019-06-21,Argentina
35,Ocean,KAROL G,475928,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,2019-06-21,Argentina
36,Date La Vuelta,Luis Fonsi,454422,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H,2019-06-21,Argentina
37,Baila Baila Baila - Remix,Ozuna,434620,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,2019-06-21,Argentina
38,Te Vi,Piso 21,425876,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-06-21,Argentina
39,Forever Alone,Paulo Londra,417647,https://open.spotify.com/track/4b2V2ZuTYELubat4l5qZaE,2019-06-21,Argentina
40,Baila Baila Baila,Ozuna,406123,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-06-21,Argentina
41,I Don't Care (with Justin Bieber),Ed Sheeran,405519,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-06-21,Argentina
42,Reggaeton,J Balvin,405230,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-06-21,Argentina
43,Punto G,KAROL G,390189,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b,2019-06-21,Argentina
44,Mamare Rebota,Guayna,388793,https://open.spotify.com/track/5eyMxSdSDoOMEwyM1llGY6,2019-06-21,Argentina
45,Te Soñé De Nuevo,Ozuna,377517,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa,2019-06-21,Argentina
46,Entre Cuatro Paredes,Duki,372151,https://open.spotify.com/track/0tsaTSU7uVeP6DK8FEd2xL,2019-06-21,Argentina
47,Créeme,KAROL G,366776,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,2019-06-21,Argentina
48,Eclipse,Lit Killah,364040,https://open.spotify.com/track/6ANR2ylLSFSYcycw8JUnvi,2019-06-21,Argentina
49,Esclavo de Tus Besos,Manuel Turizo,361806,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-06-21,Argentina
50,Me Voy,Rombai,361200,https://open.spotify.com/track/22sESxzbY1O1E19xjOTaYf,2019-06-21,Argentina
51,La Boca,Mau y Ricky,359699,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,2019-06-21,Argentina
52,Me Vas a Extrañar - En Vivo,Damas Gratis,324422,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW,2019-06-21,Argentina
53,Amor Genuino,Ozuna,320631,https://open.spotify.com/track/6pK5edDoyrn4mWwRSVc2a5,2019-06-21,Argentina
54,La Clase,Cazzu,320261,https://open.spotify.com/track/5nLJL6DLanZaAq8DVkBs62,2019-06-21,Argentina
55,Demasiado Loco,Paulo Londra,313539,https://open.spotify.com/track/1algWk375QvT1XNJJbRsGM,2019-06-21,Argentina
56,OUKE,CA7RIEL,311892,https://open.spotify.com/track/6WsrPT9yw9gZyZn5ok3E0K,2019-06-21,Argentina
57,7 rings,Ariana Grande,310173,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-06-21,Argentina
58,Cuando Te Besé,Becky G,308842,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-06-21,Argentina
59,Recalienta,Emilia,302751,https://open.spotify.com/track/2O0WiTabKj4e5CdY1mIFe4,2019-06-21,Argentina
