Position,Track Name,Artist,Streams,URL,Week,Region
1,Royal Rumble,Kalazh44,316373,https://open.spotify.com/track/4Rif4wqdvzy84dhP1apC4Y,2019-06-21,Austria
2,Diamonds (feat. Capital Bra),Summer Cem,284353,https://open.spotify.com/track/2QpxC2yag7Ec7Ut1dovXKb,2019-06-21,Austria
3,Olabilir,MERO,276079,https://open.spotify.com/track/5b195aHKKd6oTr4f7DoRCo,2019-06-21,Austria
4,Wieder Lila,Samra,237324,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,2019-06-21,Austria
5,Maghreb Gang (feat. French Montana & Khaled),Farid Bang,207557,https://open.spotify.com/track/1IBUPdwV9TvaipSODdt8QY,2019-06-21,Austria
6,I Don't Care (with Justin Bieber),Ed Sheeran,194578,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-06-21,Austria
7,bad guy,Billie Eilish,171245,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-06-21,Austria
8,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,166051,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-06-21,Austria
9,NENENE,Fero47,165290,https://open.spotify.com/track/5AiqL0ezAAauDuVK5EJvXU,2019-06-21,Austria
10,La Haine,Luciano,158302,https://open.spotify.com/track/2AHJLtc81zIfj9EKcVEzmJ,2019-06-21,Austria
11,Labyrinth,Loredana,152188,https://open.spotify.com/track/1mLBX54nL0dwn54jesMXGU,2019-06-21,Austria
12,Vermissen (feat. Henning May),Juju,149973,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz,2019-06-21,Austria
13,Irina Shayk,Ufo361,142926,https://open.spotify.com/track/4Sokm1cWK36H2WctWWRGf1,2019-06-21,Austria
14,SOS (feat. Aloe Blacc),Avicii,138623,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,2019-06-21,Austria
15,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,134298,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM,2019-06-21,Austria
16,Badewanne,KC Rebell,113202,https://open.spotify.com/track/4qUjPb9J51kZ0PrGZWtpVc,2019-06-21,Austria
17,Rescue Me,OneRepublic,110521,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019-06-21,Austria
18,Vincent,Sarah Connor,109229,https://open.spotify.com/track/7vs1Yi6SUphHp0eW6ys8HG,2019-06-21,Austria
19,Vintage,RIN,107111,https://open.spotify.com/track/6xwI9R3ZHT9nWtSYvffYQm,2019-06-21,Austria
20,Rolex,Capital Bra,106782,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF,2019-06-21,Austria
21,Sucker,Jonas Brothers,104435,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019-06-21,Austria
22,If I Can't Have You,Shawn Mendes,103560,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019-06-21,Austria
23,Someone You Loved,Lewis Capaldi,103458,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-06-21,Austria
24,Mary,Bausa,101458,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH,2019-06-21,Austria
25,Hi Babe,Juju,99467,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs,2019-06-21,Austria
26,Old Town Road,Lil Nas X,98574,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019-06-21,Austria
27,Nautilus,Shindy,97506,https://open.spotify.com/track/7IkZpSOJKGXCGhqAvHs7FG,2019-06-21,Austria
28,cOcO MAmA,Dardan,95615,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH,2019-06-21,Austria
29,Malediven,MERO,95568,https://open.spotify.com/track/0H0MIfeqip6GKmafftx7kC,2019-06-21,Austria
30,a miLLy,Dardan,95025,https://open.spotify.com/track/6kpOQJOBX0TjGkJk7oX7Pw,2019-06-21,Austria
31,Cherry Lady,Capital Bra,94988,https://open.spotify.com/track/4j5WelE5mkf9A2jmts729h,2019-06-21,Austria
32,Con Calma,Daddy Yankee,94432,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-06-21,Austria
33,Melatonin,Sido,93324,https://open.spotify.com/track/6MGeF4nX2Ty408EjLGNtqc,2019-06-21,Austria
34,Don't Call Me Up,Mabel,90863,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-06-21,Austria
35,500 PS,Bonez MC,88658,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-06-21,Austria
36,Piece Of Your Heart,MEDUZA,86452,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-06-21,Austria
37,Marlboro Rot,Samra,86246,https://open.spotify.com/track/4e6l3QGj4RZesjDLVqYk3H,2019-06-21,Austria
38,All Around The World (La La La),R3HAB,84397,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,2019-06-21,Austria
39,Blei (feat. Veysel),Kontra K,84203,https://open.spotify.com/track/0Cy2x4vkNHiZ2Z3XiZE5Yu,2019-06-21,Austria
40,Never Go Back,Dennis Lloyd,80325,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR,2019-06-21,Austria
