Position,Track Name,Artist,Streams,URL,Week,Region
1,Pa' Olvidarme De Ella,Piso 21,70255,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,2019-11-15,Bolivia
2,Fantasias,Rauw Alejandro,64487,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,2019-11-15,Bolivia
3,LA CANCIÓN,J Balvin,61554,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-11-15,Bolivia
4,RITMO (Bad Boys For Life),Black Eyed Peas,60870,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2019-11-15,Bolivia
5,China,Anuel AA,59836,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-11-15,Bolivia
6,No Me Conoce - Remix,Jhay Cortez,49703,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-11-15,Bolivia
7,Callaita,Bad Bunny,49515,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-11-15,Bolivia
8,Si Te Vas,Sech,48085,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,2019-11-15,Bolivia
9,Adicto (with Anuel AA & Ozuna),Tainy,44175,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2019-11-15,Bolivia
10,Tutu,Camilo,42144,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2019-11-15,Bolivia
11,Quizas,Rich Music LTD,41006,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,2019-11-15,Bolivia
12,Indeciso,Reik,40098,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,2019-11-15,Bolivia
13,11 PM,Maluma,38190,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-11-15,Bolivia
14,Que Tire Pa Lante,Daddy Yankee,37076,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,2019-11-15,Bolivia
15,Qué Pena,Maluma,36516,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,2019-11-15,Bolivia
16,Whine Up,Nicky Jam,36514,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,2019-11-15,Bolivia
17,Soltera - Remix,Lunay,35996,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,2019-11-15,Bolivia
18,Bellaquita,Dalex,35529,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ,2019-11-15,Bolivia
19,Tusa,KAROL G,35354,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2019-11-15,Bolivia
20,Loco,Beéle,32961,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,2019-11-15,Bolivia
21,QUE PRETENDES,J Balvin,32593,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-11-15,Bolivia
22,Una Vida Para Recordar,Piso 21,31777,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,2019-11-15,Bolivia
23,Señorita,Shawn Mendes,31156,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-15,Bolivia
24,Otro Trago - Remix,Sech,30069,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-11-15,Bolivia
25,Desconocidos,Mau y Ricky,29681,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-11-15,Bolivia
26,Aventura,Lunay,28942,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,2019-11-15,Bolivia
27,Dance Monkey,Tones And I,28934,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-15,Bolivia
28,Oye,TINI,28863,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE,2019-11-15,Bolivia
29,Pa Mí - Remix,Dalex,28827,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-11-15,Bolivia
30,"Yo x Ti, Tu x Mi",ROSALÍA,28531,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2019-11-15,Bolivia
31,Atrévete,Nicky Jam,28502,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj,2019-11-15,Bolivia
32,Si Se Da - Remix,Myke Towers,27883,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,2019-11-15,Bolivia
33,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,27727,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,2019-11-15,Bolivia
34,Que Mas Pues - Remix,Sech,26773,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-11-15,Bolivia
35,Con Altura,ROSALÍA,26005,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-11-15,Bolivia
36,Otro Trago,Sech,25752,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-11-15,Bolivia
37,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,24666,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,2019-11-15,Bolivia
38,Te Quemaste,Manuel Turizo,24229,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,2019-11-15,Bolivia
39,Te Vi,Piso 21,23953,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-11-15,Bolivia
40,Lose You To Love Me,Selena Gomez,23510,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-15,Bolivia
41,Cuaderno,Dalex,23163,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,2019-11-15,Bolivia
42,Hola - Remix,Dalex,23060,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,2019-11-15,Bolivia
43,Tal Vez,Paulo Londra,22950,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-11-15,Bolivia
44,Cuerpo en Venta,Noriel,22853,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,2019-11-15,Bolivia
45,UN PESO,J Balvin,22417,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,2019-11-15,Bolivia
46,La Boca - Remix,Mau y Ricky,21743,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-11-15,Bolivia
47,Un Año,Sebastian Yatra,21609,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,2019-11-15,Bolivia
48,Uniforme,Rich Music LTD,20292,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,2019-11-15,Bolivia
49,HP,Maluma,20203,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-11-15,Bolivia
50,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,19726,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-11-15,Bolivia
51,Bonita,Juanes,19149,https://open.spotify.com/track/0gcOnIUKIG6JF56iFUfE0p,2019-11-15,Bolivia
52,Buttercup,Jack Stauber,18858,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC,2019-11-15,Bolivia
53,Mami,Piso 21,18756,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A,2019-11-15,Bolivia
54,Don't Start Now,Dua Lipa,18677,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-11-15,Bolivia
55,No Te Vayas,Camilo,18205,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB,2019-11-15,Bolivia
56,Fresa,TINI,17956,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM,2019-11-15,Bolivia
57,Amor A Primera Vista,Los Ángeles Azules,17456,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,2019-11-15,Bolivia
58,Adan y Eva,Paulo Londra,17317,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-11-15,Bolivia
59,Ella Quiere Beber - Remix,Anuel AA,17082,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-11-15,Bolivia
60,Runaway,Sebastian Yatra,17019,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-11-15,Bolivia
61,Puntos Suspensivos,Piso 21,16995,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-11-15,Bolivia
62,Verte Ir,DJ Luian,16843,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-11-15,Bolivia
