Position,Track Name,Artist,Streams,URL,Week,Region
1,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,3429193,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo,2019-08-09,Brazil
2,Tijolão - Ao Vivo,Jorge & Mateus,3423686,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2019-08-09,Brazil
3,Lençol Dobrado,João Gustavo e Murilo,3284137,https://open.spotify.com/track/5pRGXCDY0eT6R1QicAn7Uk,2019-08-09,Brazil
4,quando a bad bater - ao vivo,Luan Santana,3048158,https://open.spotify.com/track/1nVIlX3h3Ds9bH6JMQopIU,2019-08-09,Brazil
5,Uma nora pra cada dia,MC Kevinho,2858680,https://open.spotify.com/track/2bbFhnxYjeb9jYEX2MDKLQ,2019-08-09,Brazil
6,Evoluiu,MC Kevin o Chris,2723874,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK,2019-08-09,Brazil
7,Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,2704636,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP,2019-08-09,Brazil
8,Milu,Gusttavo Lima,2573572,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7,2019-08-09,Brazil
9,Quando a vontade bater (Participação especial de PK Delas),Pk,2528270,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH,2019-08-09,Brazil
10,Sentou e Gostou,MC JottaPê,2462288,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr,2019-08-09,Brazil
11,Cobaia,Lauana Prado,2422246,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx,2019-08-09,Brazil
12,Señorita,Shawn Mendes,2366242,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-09,Brazil
13,Quarta Cadeira - Ao Vivo,Matheus & Kauan,2154540,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2019-08-09,Brazil
14,Algo Mais (Amante) - Ao Vivo,Xand Avião,2086400,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P,2019-08-09,Brazil
15,Ferida Curada,Zé Neto & Cristiano,2067847,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR,2019-08-09,Brazil
16,Bebi Liguei - Ao Vivo,Marília Mendonça,2019624,https://open.spotify.com/track/3RbXsVQr4jeTxvT35Hssq3,2019-08-09,Brazil
17,Hit Contagiante,Felipe Original,1973698,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,2019-08-09,Brazil
18,Estado Decadente - Acústico,Zé Neto & Cristiano,1917771,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR,2019-08-09,Brazil
19,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,1900953,https://open.spotify.com/track/4gDvg62vG96w0qJaF6wzcd,2019-08-09,Brazil
20,Espaçosa Demais - Ao Vivo,Felipe Araújo,1854820,https://open.spotify.com/track/4lEw9Id7kLDSJ6KRdaenM9,2019-08-09,Brazil
21,Ela É do Tipo,MC Kevin o Chris,1825111,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP,2019-08-09,Brazil
22,Old Town Road - Remix,Lil Nas X,1766412,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-09,Brazil
23,Bebaça - Ao Vivo,Marília Mendonça,1765405,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg,2019-08-09,Brazil
24,Fingindo Maturidade - Ao Vivo,Mano Walter,1734889,https://open.spotify.com/track/3tU3UAasaDA9OixXGC3O33,2019-08-09,Brazil
25,Não Abro Mão - Ao Vivo,Maiara & Maraisa,1667077,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ,2019-08-09,Brazil
26,Pupila,ANAVITÓRIA,1601501,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2019-08-09,Brazil
27,Poesia Acústica #7: Céu Azul,Pineapple StormTv,1574435,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW,2019-08-09,Brazil
28,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,1560105,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr,2019-08-09,Brazil
29,Péssimo Negócio (Ao Vivo),Dilsinho,1554485,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ,2019-08-09,Brazil
30,Um Pedido,Hungria Hip Hop,1520305,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2019-08-09,Brazil
31,Sei Lá,Projota,1514418,https://open.spotify.com/track/6l1PdE7lQbodewVQh16GCM,2019-08-09,Brazil
32,boyfriend (with Social House),Ariana Grande,1494726,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-09,Brazil
33,Onda diferente (feat. Papatinho),Anitta,1440198,https://open.spotify.com/track/2H8ETIUEoN9YMf56X66bxd,2019-08-09,Brazil
34,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,1429886,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ,2019-08-09,Brazil
35,Senta braba,MC WM,1424802,https://open.spotify.com/track/2SgVsDXzET5EU8VngMh9dv,2019-08-09,Brazil
36,Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019,George Henrique & Rodrigo,1412004,https://open.spotify.com/track/33g4LmRrWddOvMLnynSktj,2019-08-09,Brazil
37,Sem Sal - Ao Vivo,Marília Mendonça,1365234,https://open.spotify.com/track/0EZuXcsnjEmGuRYdFdcctX,2019-08-09,Brazil
38,Cem Mil - Ao Vivo,Gusttavo Lima,1362737,https://open.spotify.com/track/5eMmT4Ava5BGThju0AD8vQ,2019-08-09,Brazil
39,Brisa,IZA,1291885,https://open.spotify.com/track/5rNNZ6fVYxkhwqUfImVhU1,2019-08-09,Brazil
40,I Don't Care (with Justin Bieber),Ed Sheeran,1278218,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-09,Brazil
41,"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,1266144,https://open.spotify.com/track/2KyXyTrp3kp1Fsg7B1osYD,2019-08-09,Brazil
42,Serenata - Ao Vivo,Marília Mendonça,1247126,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop,2019-08-09,Brazil
43,Não sou obrigada,POCAH,1243127,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa,2019-08-09,Brazil
44,Bebe e Vem Me Procurar,Raí Saia Rodada,1233735,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,2019-08-09,Brazil
45,Vai menina,PEDRO SAMPAIO,1217070,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua,2019-08-09,Brazil
46,Outro Dia,A Banca Records,1191253,https://open.spotify.com/track/1lTsRXDMWFbsFjQGkbL5TX,2019-08-09,Brazil
47,Mágica - Ao Vivo,Matheus & Kauan,1182082,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx,2019-08-09,Brazil
48,Poesia Acústica #6: Era uma Vez,Pineapple StormTv,1173746,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2019-08-09,Brazil
49,How Do You Sleep?,Sam Smith,1159655,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-09,Brazil
50,Garupa,Luísa Sonza,1159453,https://open.spotify.com/track/1HEr5uCRyuuLlVCOB1RiTE,2019-08-09,Brazil
