Position,Track Name,Artist,Streams,URL,Week,Region
1,Señorita,Shawn Mendes,34486,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-16,Bulgaria
2,Old Town Road - Remix,Lil Nas X,20231,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-16,Bulgaria
3,boyfriend (with Social House),Ariana Grande,17986,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-16,Bulgaria
4,Ransom,Lil Tecca,16850,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019-08-16,Bulgaria
5,bad guy,Billie Eilish,16694,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-16,Bulgaria
6,Piyan,Preslava,16378,https://open.spotify.com/track/63YAKQREBZ22KEBQJNOFas,2019-08-16,Bulgaria
7,Panika,Galena,15797,https://open.spotify.com/track/5wcPNdRpptulbKgLljGjMh,2019-08-16,Bulgaria
8,Beautiful People (feat. Khalid),Ed Sheeran,14840,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-08-16,Bulgaria
9,Lalala,Y2K,14646,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-08-16,Bulgaria
10,I Don't Care (with Justin Bieber),Ed Sheeran,14103,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-16,Bulgaria
11,Da Ili Ne,Krisko,13691,https://open.spotify.com/track/2rT6xyUhl3d1rGnvSjnWXz,2019-08-16,Bulgaria
12,Mother's Daughter,Miley Cyrus,13532,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,2019-08-16,Bulgaria
13,How Do You Sleep?,Sam Smith,13499,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-16,Bulgaria
14,Black Panther (feat. Rafal),Nebezao,12715,https://open.spotify.com/track/4efLhkYJJf2R6WhbwpFi85,2019-08-16,Bulgaria
15,Bravo,Itzo Hazarta,12661,https://open.spotify.com/track/0ypYK4kpq4ePvYyxZFrJuN,2019-08-16,Bulgaria
16,Antisocial (with Travis Scott),Ed Sheeran,12657,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW,2019-08-16,Bulgaria
17,Money In The Grave (Drake ft. Rick Ross),Drake,12334,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019-08-16,Bulgaria
18,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,12212,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-16,Bulgaria
19,Goodbyes (Feat. Young Thug),Post Malone,12048,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-08-16,Bulgaria
20,Izvestna,Mascota,11944,https://open.spotify.com/track/36K4JkkYULpfhYuuemxJMp,2019-08-16,Bulgaria
21,Ti Gonish,Papi Hans,11909,https://open.spotify.com/track/4HhPB1o24JrUTFdlKeMWTf,2019-08-16,Bulgaria
22,Darbie,DARA,11907,https://open.spotify.com/track/4b0uPErJSib9k0NwJ8lkRc,2019-08-16,Bulgaria
23,Gladen,Itzo Hazarta,11247,https://open.spotify.com/track/3SEPI4YkmPsiDutWBjZjmZ,2019-08-16,Bulgaria
24,Imam Chovek,Itzo Hazarta,11010,https://open.spotify.com/track/3bBIcLfShA5RAGmlwebWqw,2019-08-16,Bulgaria
25,7 rings,Ariana Grande,10634,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-08-16,Bulgaria
26,Piece Of Your Heart,MEDUZA,10534,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-08-16,Bulgaria
