Position,Track Name,Artist,Streams,URL,Week,Region
1,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,1900252,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-05-10,Canada
2,Homicide,Logic,1868493,https://open.spotify.com/track/0Lw6aQcBFWTQ9m4MSwwwes,2019-05-10,Canada
3,If I Can't Have You,Shawn Mendes,1570533,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019-05-10,Canada
4,bad guy,Billie Eilish,1463840,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-05-10,Canada
5,Old Town Road,Lil Nas X,1235216,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019-05-10,Canada
6,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,1157585,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,2019-05-10,Canada
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,998466,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-05-10,Canada
8,SOS,Avicii,877286,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,2019-05-10,Canada
9,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,840977,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-05-10,Canada
10,Sucker,Jonas Brothers,812455,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-05-10,Canada
11,Wow.,Post Malone,809745,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-05-10,Canada
12,7 rings,Ariana Grande,771679,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-05-10,Canada
13,MIDDLE CHILD,J. Cole,767790,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-05-10,Canada
14,Talk (feat. Disclosure),Khalid,767415,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-05-10,Canada
15,Going Bad (feat. Drake),Meek Mill,743334,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-05-10,Canada
16,Sanguine Paradise,Lil Uzi Vert,682367,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,2019-05-10,Canada
17,Boy With Luv (feat. Halsey),BTS,653752,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-05-10,Canada
18,Pure Water (with Migos),Mustard,651211,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-05-10,Canada
19,Truth Hurts,Lizzo,649766,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-05-10,Canada
20,Pop Out (feat. Lil Tjay),Polo G,648656,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi,2019-05-10,Canada
21,Shallow,Lady Gaga,616775,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-05-10,Canada
22,Here With Me,Marshmello,615941,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-05-10,Canada
23,Murder On My Mind,YNW Melly,589200,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019-05-10,Canada
24,bury a friend,Billie Eilish,583407,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019-05-10,Canada
25,Without Me,Halsey,575826,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-05-10,Canada
26,"break up with your girlfriend, i'm bored",Ariana Grande,567505,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-05-10,Canada
27,Paradise,Bazzi,566212,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG,2019-05-10,Canada
28,Eastside (with Halsey & Khalid),benny blanco,565988,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-05-10,Canada
29,Happier,Marshmello,541350,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-05-10,Canada
