,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fantasias,"Rauw Alejandro",1780849,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
2,"Adicto (with Anuel AA & Ozuna)",Tainy,1596340,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
3,Quizas,"Rich Music LTD",1481188,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
4,China,"Anuel AA",1441721,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
5,Aventura,Lunay,1377361,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
6,"No Me Conoce - Remix","Jhay Cortez",1245835,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
7,"Que Tire Pa Lante","Daddy Yankee",1231971,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
8,"Si Te Vas",Sech,1168327,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
9,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",1054527,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
10,"105 F Remix",KEVVO,1012565,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
11,Callaita,"Bad Bunny",999560,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
12,"LA CANCIÓN","J Balvin",996994,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
13,"Cuerpo en Venta",Noriel,901583,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
14,"Si Se Da - Remix","Myke Towers",899692,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
15,"B11 (feat. Myke Towers)",Rvssian,866191,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
16,Tutu,Camilo,854145,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
17,"Otro Trago - Remix",Sech,826120,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
18,"Soltera - Remix",Lunay,810980,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
19,"No Te Debí Besar","C. Tangana",786145,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
20,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",763309,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
21,"La Cama",Lunay,740779,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
22,Piensan,Haze,720403,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
23,"Yo x Ti, Tu x Mi",ROSALÍA,711503,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
24,Bellaquita,Dalex,706822,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
25,"QUE PRETENDES","J Balvin",659323,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
26,"RITMO (Bad Boys For Life)","Black Eyed Peas",656206,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
27,Uniforme,"Rich Music LTD",645755,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
28,"Si Supieras","Daddy Yankee",638143,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
29,"Te Quemaste","Manuel Turizo",633548,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
30,Cuaderno,Dalex,605223,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
31,"Mírame - Remix","Nio Garcia",603299,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
32,"Lose You To Love Me","Selena Gomez",592930,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
33,"Verte Ir","DJ Luian",579721,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
34,"Con Altura",ROSALÍA,557672,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
35,"El Baile De Los Que Sobran","Los Prisioneros",552221,https://open.spotify.com/track/15T3otpUnJKin5njR8x0Tx
36,"Que Mas Pues - Remix",Sech,551155,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
37,"Nadie (feat. Sech & Sharo Towers) - Remix",Farruko,536820,https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji
38,Atrévete,"Nicky Jam",523970,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
39,Goteo,Duki,520855,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
40,"Pa Mí - Remix",Dalex,514339,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
41,Indeciso,Reik,511116,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
42,"Te Robaré","Nicky Jam",460835,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
43,Velitas,Darell,458408,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
44,"Tal Vez","Paulo Londra",451532,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
45,Señorita,"Shawn Mendes",451422,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
46,"11 PM",Maluma,439795,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
47,"La Playa","Myke Towers",428210,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
48,"Otro Trago",Sech,404072,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
49,Guayo,"Zion & Lennox",390741,https://open.spotify.com/track/4MR1AZhe1p0zTuH2HGhX9L
50,"Qué Pena",Maluma,380166,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
51,"La Boca - Remix","Mau y Ricky",359850,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
52,Oye,TINI,358925,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
53,"Que Calor (with J Balvin & El Alfa)","Major Lazer",355984,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
54,"Memoria Rota",Arcangel,351460,https://open.spotify.com/track/4etV43Qb0OBbMcxiLDVwSo
