Position,Track Name,Artist,Streams,URL,Week,Region
1,Calma - Remix,Pedro Capó,750807,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Colombia
2,Adan y Eva,Paulo Londra,531926,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Colombia
3,Desconocidos,Mau y Ricky,455732,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Colombia
4,MIA (feat. Drake),Bad Bunny,399444,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Colombia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,342691,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Colombia
6,Vaina Loca,Ozuna,331097,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Colombia
7,Ella Quiere Beber - Remix,Anuel AA,322285,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Colombia
8,Reggaeton,J Balvin,307981,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-04,Colombia
9,No Es Justo,J Balvin,287119,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-04,Colombia
10,Pa Olvidarte,ChocQuibTown,282781,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-04,Colombia
11,Ya No Tiene Novio,Sebastian Yatra,268958,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-04,Colombia
12,Cuando Te Besé,Becky G,266857,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-04,Colombia
13,Adictiva,Daddy Yankee,256419,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-04,Colombia
14,Sola,Manuel Turizo,253818,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-04,Colombia
15,PPP,Kevin Roldan,239968,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-01-04,Colombia
16,Ni Gucci Ni Prada,Kenny Man,236743,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-04,Colombia
17,Ibiza,Ozuna,219444,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-04,Colombia
18,Bubalu,Becky G,218062,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-04,Colombia
19,La player (Bandolera),Zion & Lennox,217428,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,2019-01-04,Colombia
20,Culpables,KAROL G,213527,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-04,Colombia
21,Créeme,KAROL G,212991,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-04,Colombia
22,Solo de Mi,Bad Bunny,212818,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-04,Colombia
23,Mala Mía,Maluma,200680,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-04,Colombia
24,Amanece,Anuel AA,199803,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-04,Colombia
25,Puntos Suspensivos,Piso 21,197915,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-04,Colombia
26,Culpables,Manuel Turizo,191278,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn,2019-01-04,Colombia
27,Esta Noche,Mike Bahía,185548,https://open.spotify.com/track/7vFmnmcsp41uzBUiw1zxfw,2019-01-04,Colombia
28,Quiere Beber,Anuel AA,183842,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,2019-01-04,Colombia
29,Justicia,Silvestre Dangond,182867,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca,2019-01-04,Colombia
30,Te Vi,Piso 21,175278,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-01-04,Colombia
31,BEBE,6ix9ine,173871,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-04,Colombia
32,Amigos Con Derechos,Reik,171756,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-04,Colombia
33,Asesina - Remix,Brytiago,167536,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019-01-04,Colombia
34,Imposible,Luis Fonsi,164497,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-04,Colombia
35,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,162102,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,2019-01-04,Colombia
36,Déjalo,Nacho,150078,https://open.spotify.com/track/4VTTpwcAxVSQNzEZLi75d0,2019-01-04,Colombia
37,Bohemian Rhapsody - 2011 Mix,Queen,148348,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-04,Colombia
38,Baby Girl (feat. Lalo Ebratt),Mario Bautista,147626,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-04,Colombia
39,Mocca,Lalo Ebratt,146549,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1,2019-01-04,Colombia
40,Hipócrita,Anuel AA,140452,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,2019-01-04,Colombia
41,Magia (feat. Sebastián Yatra),Andrés Cepeda,140383,https://open.spotify.com/track/6xAhkN7uE1qdhPa8jZwhTb,2019-01-04,Colombia
42,Mocca - Remix,Lalo Ebratt,137781,https://open.spotify.com/track/1usoXi4f0BnMART4uActEA,2019-01-04,Colombia
43,Tanta Falta,Bryant Myers,133882,https://open.spotify.com/track/0sPTfDSZgE3KvcvqaKPtEx,2019-01-04,Colombia
44,Te Boté - Remix,Nio Garcia,130896,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019-01-04,Colombia
45,Dulce Pecado,Jessi Uribe,129319,https://open.spotify.com/track/14Oqgy47ik2WEgbdwy9Ecn,2019-01-04,Colombia
46,"thank u, next",Ariana Grande,128607,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Colombia
47,Epa Wei,Danny Ocean,127588,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn,2019-01-04,Colombia
48,Por Perro,Sebastian Yatra,125637,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ,2019-01-04,Colombia
49,Serenata,Mike Bahía,125227,https://open.spotify.com/track/0Ek2vjTPwy3fXKQnsXy8MH,2019-01-04,Colombia
50,Ponle,Rvssian,120939,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4,2019-01-04,Colombia
51,Aventurero,Yeison Jimenez,115186,https://open.spotify.com/track/0ftcn4ddKESqQMA784Ebc0,2019-01-04,Colombia
52,NI BIEN NI MAL,Bad Bunny,103906,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-04,Colombia
53,Robarte un Beso,Carlos Vives,101033,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,2019-01-04,Colombia
54,Te Amo,Piso 21,95177,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH,2019-01-04,Colombia
55,Besos En Guerra,Morat,93547,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,2019-01-04,Colombia
56,Me Rehúso,Danny Ocean,91808,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2019-01-04,Colombia
57,Another One Bites The Dust - Remastered 2011,Queen,89340,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-01-04,Colombia
58,Esperándote,Manuel Turizo,88947,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,2019-01-04,Colombia
59,Sin Pijama,Becky G,88532,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019-01-04,Colombia
60,Caro,Bad Bunny,87586,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM,2019-01-04,Colombia
61,I Like It,Cardi B,86832,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-04,Colombia
62,A Solas - Remix,Lunay,83984,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7,2019-01-04,Colombia
63,Estamos Bien,Bad Bunny,83901,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT,2019-01-04,Colombia
64,Cuando Nadie Ve,Morat,83660,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,2019-01-04,Colombia
65,Devuelveme,Ozuna,83530,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7,2019-01-04,Colombia
66,Domingo (feat. Cosculluela),Reykon,83155,https://open.spotify.com/track/6ayCEojiJIe5d8DwXVlGU4,2019-01-04,Colombia
67,Amantes,Greeicy,82111,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,2019-01-04,Colombia
68,Shape of You,Ed Sheeran,81646,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-04,Colombia
69,Girls Like You (feat. Cardi B),Maroon 5,81053,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-04,Colombia
70,Otra vez (feat. J Balvin),Zion & Lennox,78779,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2019-01-04,Colombia
71,Me Niego (feat. Ozuna & Wisin),Reik,77754,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T,2019-01-04,Colombia
72,X,Nicky Jam,77266,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,2019-01-04,Colombia
73,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,76848,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA,2019-01-04,Colombia
74,Luz Apaga,Ozuna,76831,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm,2019-01-04,Colombia
75,Ambiente,J Balvin,76756,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq,2019-01-04,Colombia
76,Una Lady Como Tú,Manuel Turizo,76172,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2019-01-04,Colombia
77,Miss Lonely - Dimelo Flow Remix,Sech,74348,https://open.spotify.com/track/3tRtlS9YUyYqVgqO3iM4bW,2019-01-04,Colombia
78,No Hay Nadie Más,Sebastian Yatra,71922,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN,2019-01-04,Colombia
79,No Te Contaron Mal,Christian Nodal,71502,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-04,Colombia
80,Volver a Verte (feat. Cali y El Dandee),Fonseca,71452,https://open.spotify.com/track/5AEe2QNDyG1u0bujk7LrgQ,2019-01-04,Colombia
81,Dembow,Danny Ocean,71026,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,2019-01-04,Colombia
82,Otra Noche en Miami,Bad Bunny,70775,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra,2019-01-04,Colombia
83,Madura (feat. Bad Bunny),Cosculluela,70071,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN,2019-01-04,Colombia
84,Más Fuerte,Greeicy,69933,https://open.spotify.com/track/2fKwgxMdLZ1IZPUXEG1Si7,2019-01-04,Colombia
85,Baby,Amenazzy,67585,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp,2019-01-04,Colombia
86,Adiós Amor,Christian Nodal,67058,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,2019-01-04,Colombia
87,En Barranquilla Me Quedo,Joe Arroyo,67034,https://open.spotify.com/track/5zghcVb5R77fbZPUj2jZTm,2019-01-04,Colombia
88,Bailar Contigo,Monsieur Periné,66320,https://open.spotify.com/track/4hi9OTFKomNUlAIhp1fmap,2019-01-04,Colombia
89,Borracha,Yera,66319,https://open.spotify.com/track/50c90QkLEHoUknqxwUrPls,2019-01-04,Colombia
90,Si Estuviésemos Juntos,Bad Bunny,65442,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,2019-01-04,Colombia
91,Los Sabanales,Los Corraleros De Majagual,63225,https://open.spotify.com/track/62glOXkJekmvVxnrOqvMBu,2019-01-04,Colombia
92,Mala Mía - Remix,Maluma,62706,https://open.spotify.com/track/6sAwJPgaSQ9Q4XGnbx1gZb,2019-01-04,Colombia
93,Cásate Conmigo,Silvestre Dangond,62516,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,2019-01-04,Colombia
94,Clandestino,Shakira,61792,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,2019-01-04,Colombia
95,Vuelve,Sebastian Yatra,61613,https://open.spotify.com/track/6WSAPEkvEfcEUgSTAo1D3S,2019-01-04,Colombia
