Position,Track Name,Artist,Streams,URL,Week,Region
1,Goutte d'eau,Ninho,2343326,https://open.spotify.com/track/5ojNTROUJJgCFFbdD3xTZn,2019-03-15,France
2,Khapta,Heuss L'enfoiré,2109358,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR,2019-03-15,France
3,C'est mon sang,RK,2060126,https://open.spotify.com/track/1NEdLeqdQ8hufML9t9dHiU,2019-03-15,France
4,Possédé,Djadja & Dinaz,1587380,https://open.spotify.com/track/0VN67HBzRT22ZGvOCi3dQ7,2019-03-15,France
5,Trop beau,Lomepal,1366227,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019-03-15,France
6,Les méchants,Heuss L'enfoiré,1347586,https://open.spotify.com/track/0r64LBR8RlnXcdd5HTFubd,2019-03-15,France
7,7 rings,Ariana Grande,1262269,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-15,France
8,Giuseppe,Niska,1132150,https://open.spotify.com/track/1XnPRxd67vVxzBCiGLXLxw,2019-03-15,France
9,Tout oublier,Angèle,1109394,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019-03-15,France
10,1000°C,Lomepal,1096728,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019-03-15,France
11,Gun salute,Kaaris,1057688,https://open.spotify.com/track/5UgUGPknu6JRgawaJAO9rX,2019-03-15,France
12,HS (feat. SCH),Hamza,1043297,https://open.spotify.com/track/2JAO138j1wJjQ2mmm7aAbP,2019-03-15,France
13,Sale mood,Bramsito,1014004,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm,2019-03-15,France
14,Shallow,Lady Gaga,1010824,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-15,France
15,On Fleek,Eva,946967,https://open.spotify.com/track/4MSFxqmkiMxq7e61jTqgqt,2019-03-15,France
16,Madrina,Maes,940676,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,2019-03-15,France
