,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
51,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,africa
52,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,africa
53,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,africa
54,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,africa
68,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,africa
77,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,12/31/1969,93,65,64,-8,8,55,198,12,19,86,africa
84,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,12/31/1969,126,76,34,-7,8,36,166,39,5,82,africa
86,Sleigh Ride,The Ronettes,adult standards,2019,12/31/1969,92,77,53,-7,32,85,181,40,3,77,africa
89,Tender Love (feat. DJ Maphorisa & Kabza De Small),Sha Sha,afro house,2019,12/31/1969,113,39,85,-14,5,45,444,1,6,53,africa
90,Labantwana Ama Uber,Semi Tee,amapiano,2019,12/31/1969,112,62,87,-10,5,53,384,4,8,52,africa
91,Nana Thula,Kabza De Small,afro house,2019,12/31/1969,114,52,77,-14,4,59,439,0,5,52,africa
92,Vula Vala,DJ Maphorisa,afro house,2019,12/31/1969,113,59,91,-11,8,14,374,2,6,52,africa
93,Umlilo,DJ Zinhle,kwaito,2019,12/31/1969,125,70,70,-5,8,62,237,27,3,52,africa
94,Jerusalem,Master KG,kwaito house,2019,12/31/1969,124,47,88,-7,6,84,343,2,5,51,africa
95,Lorch,Kabza De Small,afro house,2019,12/31/1969,113,68,91,-10,7,41,375,17,6,50,africa
96,Sukendleleni,Jobe London,afro house,2019,12/31/1969,112,72,88,-6,5,24,415,5,5,50,africa
97,Fire,DJ Big Sky,NA,2019,12/31/1969,114,56,65,-7,5,64,463,2,21,47,africa
98,Akulaleki,Samthing Soweto,afro house,2019,12/31/1969,116,67,90,-9,6,34,382,14,9,45,africa
99,Sandton,Kabza De Small,afro house,2019,12/31/1969,113,63,88,-12,10,59,412,15,15,45,africa
100,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,afro house,2019,12/31/1969,115,68,82,-8,6,68,353,5,5,37,africa
