,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
251,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,bolivia
253,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,bolivia
254,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,bolivia
255,Vete,Bad Bunny,latin,2019,12/31/1969,92,67,89,-4,10,53,192,4,19,94,bolivia
256,China,Anuel AA,latin,2019,12/31/1969,105,81,79,-4,8,61,302,8,9,94,bolivia
257,Fantasias,Rauw Alejandro,latin,2019,12/31/1969,94,70,88,-4,6,79,200,14,7,93,bolivia
258,LA CANCIÓN,J Balvin,latin,2019,12/31/1969,176,65,75,-6,11,43,243,15,32,93,bolivia
259,Callaita,Bad Bunny,latin,2019,12/31/1969,176,62,61,-5,24,24,251,60,31,92,bolivia
260,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,12/31/1969,80,84,73,-5,18,62,271,2,7,92,bolivia
262,Whine Up,Nicky Jam,latin,2019,12/31/1969,105,67,82,-6,10,66,215,5,8,91,bolivia
263,Que Tire Pa Lante,Daddy Yankee,latin,2019,12/31/1969,94,90,66,-3,12,71,211,5,4,91,bolivia
264,Tutu,Camilo,colombian pop,2019,12/31/1969,146,83,73,-3,7,94,179,27,5,90,bolivia
265,Si Te Vas,Sech,panamanian pop,2019,12/31/1969,174,64,73,-4,14,55,205,9,13,90,bolivia
266,Indeciso,Reik,latin,2019,12/31/1969,95,75,74,-5,11,90,217,18,5,90,bolivia
267,Quizas,Rich Music LTD,reggaeton,2019,12/31/1969,176,82,73,-2,23,68,216,3,15,90,bolivia
268,Aventura,Lunay,latin,2019,12/31/1969,92,73,73,-3,10,88,217,22,4,90,bolivia
269,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,12/31/1969,92,76,78,-3,14,58,201,46,23,90,bolivia
270,Hola - Remix,Dalex,latin,2019,12/31/1969,182,67,65,-6,8,34,250,47,31,89,bolivia
271,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,bolivia
272,No Me Conoce - Remix,Jhay Cortez,latin,2019,12/31/1969,92,79,81,-4,9,58,309,14,7,88,bolivia
274,QUE PRETENDES,J Balvin,latin,2019,12/31/1969,93,79,64,-4,36,94,222,3,25,88,bolivia
275,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,12/31/1969,170,71,74,-4,8,83,259,5,9,88,bolivia
276,Con Altura,ROSALÍA,r&b en espanol,2019,12/31/1969,98,69,88,-4,5,75,162,39,12,88,bolivia
277,Otro Trago - Remix,Sech,panamanian pop,2019,12/31/1969,176,79,73,-2,6,76,288,7,20,88,bolivia
278,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,12/31/1969,90,54,73,-5,14,64,227,26,5,87,bolivia
279,Bellaquita - Remix,Dalex,latin,2019,12/31/1969,166,72,80,-4,18,76,305,14,8,87,bolivia
280,Qué Pena,Maluma,latin,2019,12/31/1969,126,66,64,-6,34,86,213,10,36,87,bolivia
281,Blanco,J Balvin,latin,2019,12/31/1969,100,71,87,-5,9,59,146,3,13,87,bolivia
282,Pa Mí - Remix,Dalex,latin,2019,12/31/1969,170,62,69,-8,16,73,361,75,22,86,bolivia
283,Otro Trago,Sech,panamanian pop,2019,12/31/1969,176,70,75,-5,11,62,226,14,34,86,bolivia
287,Que Mas Pues - Remix,Sech,panamanian pop,2019,12/31/1969,113,66,65,-5,12,81,306,12,20,85,bolivia
288,Bellaquita,Dalex,latin,2019,12/31/1969,166,70,58,-4,17,77,205,9,11,85,bolivia
289,Sigues Con El,Dimelo Flow,latin,2019,12/31/1969,88,67,88,-3,7,68,227,11,11,83,bolivia
290,Atrévete,Nicky Jam,latin,2019,12/31/1969,184,68,55,-4,12,59,198,31,30,83,bolivia
291,Loco,Beéle,NA,2019,12/31/1969,105,56,82,-6,5,77,204,16,17,82,bolivia
292,Amor a Primera Vista,Los Angeles Azules,grupera,2019,12/31/1969,170,76,66,-6,41,95,221,32,6,81,bolivia
293,Una Vida Para Recordar,Piso 21,colombian pop,2019,12/31/1969,182,78,70,-3,12,48,215,7,20,81,bolivia
294,Soltera - Remix,Lunay,latin,2019,12/31/1969,92,78,80,-4,44,80,266,36,4,80,bolivia
295,Tal Vez,Paulo Londra,argentine hip hop,2019,12/31/1969,162,65,86,-2,8,74,264,25,15,80,bolivia
296,Desconocidos,Mau y Ricky,latin,2019,12/31/1969,174,75,72,-5,21,68,205,12,18,79,bolivia
298,Detente,Mike Bahía,colombian pop,2019,12/31/1969,172,59,74,-5,11,36,182,27,35,77,bolivia
299,Adan y Eva,Paulo Londra,argentine hip hop,2019,12/31/1969,172,71,77,-4,7,72,257,32,34,76,bolivia
300,La Difícil,Camilo,colombian pop,2019,12/31/1969,65,36,68,-7,16,55,159,67,11,71,bolivia
