,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
751,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,indonesia
752,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,indonesia
753,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,indonesia
754,Lose You To Love Me,Selena Gomez,dance pop,2019,12/31/1969,102,34,51,-9,21,9,206,58,4,97,indonesia
756,Someone You Loved,Lewis Capaldi,pop,2019,12/31/1969,110,41,50,-6,11,45,182,75,3,96,indonesia
758,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,12/31/1969,90,63,65,-5,11,43,168,15,3,93,indonesia
759,It's You,Ali Gatie,canadian hip hop,2019,12/31/1969,96,46,73,-7,19,40,213,37,3,90,indonesia
760,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,indonesia
761,Mean It,Lauv,pop,2019,12/31/1969,96,45,75,-9,17,34,233,4,9,89,indonesia
762,Boy With Luv (feat. Halsey),BTS,k-pop,2019,12/31/1969,120,86,65,-5,19,80,230,9,10,87,indonesia
764,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,12/31/1969,93,65,64,-8,8,55,198,12,19,86,indonesia
765,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,12/31/1969,102,68,80,-5,9,84,220,9,4,85,indonesia
766,On My Way,Alan Walker,electro house,2019,12/31/1969,170,69,51,-5,30,30,194,2,10,84,indonesia
768,So Am I,Ava Max,dance pop,2019,12/31/1969,130,66,68,-5,35,61,183,7,4,84,indonesia
769,Takeaway,The Chainsmokers,electropop,2019,12/31/1969,100,51,53,-8,10,35,210,13,3,83,indonesia
770,Location Unknown - Brooklyn Session,HONNE,uk pop,2019,12/31/1969,92,29,51,-7,8,40,328,94,4,80,indonesia
771,Halu,Feby Putri,NA,2019,12/31/1969,116,25,34,-15,11,10,266,87,4,79,indonesia
772,I Love You 3000,Stephanie Poetri,indonesian pop,2019,12/31/1969,90,38,65,-8,39,41,210,91,4,79,indonesia
775,lowkey,NIKI,indie r&b,2019,12/31/1969,118,49,75,-8,9,23,171,43,6,78,indonesia
776,Lebih Dari Egoku,Mawar De Jongh,indonesian pop,2019,12/31/1969,80,39,67,-8,10,33,249,74,3,77,indonesia
777,100 Degrees,Rich Brian,indonesian hip hop,2019,12/31/1969,81,65,76,-5,52,66,166,12,7,77,indonesia
781,Psycho,Red Velvet,k-pop,2019,12/31/1969,140,67,66,-2,9,41,211,19,4,75,indonesia
782,Selamat (Selamat Tinggal),Virgoun,indonesian pop,2019,12/31/1969,80,58,36,-9,12,37,314,52,3,75,indonesia
783,Adu Rayu,Yovie Widianto,indonesian pop,2019,12/31/1969,100,37,56,-12,11,22,208,60,5,75,indonesia
786,Kumau Dia,Andmesh,indonesian pop,2019,12/31/1969,158,51,47,-9,32,60,256,16,3,73,indonesia
787,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,2019,12/31/1969,125,83,53,-5,20,25,250,13,4,72,indonesia
791,Kartonyono Medot Janji,Denny Caknan,NA,2019,12/31/1969,130,78,73,-6,21,75,262,31,3,71,indonesia
792,Percaya Aku,Chintya Gabriella,NA,2019,12/31/1969,140,49,54,-8,20,30,232,74,3,71,indonesia
794,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,12/31/1969,77,37,57,-9,8,37,236,56,3,68,indonesia
795,Cinta Luar Biasa,Andmesh,indonesian pop,2019,12/31/1969,136,23,58,-12,10,32,256,81,3,66,indonesia
796,Nyaman,Andmesh,indonesian pop,2019,12/31/1969,83,31,54,-11,15,46,227,82,3,65,indonesia
797,Hanya Rindu,Andmesh,indonesian pop,2019,12/31/1969,179,16,28,-12,11,20,252,89,3,65,indonesia
798,Secukupnya,Hindia,indonesian indie,2019,12/31/1969,102,80,73,-5,35,93,205,19,3,65,indonesia
799,Speechless (Full),Naomi Scott,hollywood,2019,12/31/1969,125,49,47,-8,12,23,209,47,3,65,indonesia
800,Tak Ingin Pisah Lagi,Marion Jola,indonesian pop,2019,12/31/1969,95,40,66,-6,14,34,266,58,3,64,indonesia
