,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
851,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,italy
852,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,italy
853,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,italy
855,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,italy
865,Ayy Macarena,Tyga,pop rap,2019,12/31/1969,96,63,82,-6,7,72,132,13,23,90,italy
872,fuck 3x,tha Supreme,trap italiana,2019,12/31/1969,180,81,66,-5,11,69,161,7,8,82,italy
875,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,italian hip hop,2019,12/31/1969,141,66,66,-6,13,51,223,7,6,81,italy
876,blun7 a swishland,tha Supreme,trap italiana,2019,12/31/1969,130,79,69,-6,26,57,168,13,25,80,italy
877,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,italian hip hop,2019,12/31/1969,120,73,75,-6,19,27,208,1,7,80,italy
878,CRUDELIA - I nervi,Marracash,italian hip hop,2019,12/31/1969,82,55,55,-8,34,7,231,15,10,80,italy
879,Soldi in Nero - feat. Sfera Ebbasta,Shiva,italian hip hop,2019,12/31/1969,158,66,75,-5,17,35,184,15,28,79,italy
880,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,2019,12/31/1969,98,62,84,-7,10,51,188,6,13,78,italy
881,sw1n6o - feat. Salmo,tha Supreme,trap italiana,2019,12/31/1969,170,83,57,-6,79,79,184,12,9,78,italy
882,m12ano - feat. Mara Sattei,tha Supreme,trap italiana,2019,12/31/1969,65,51,58,-6,8,48,188,4,4,78,italy
883,Chiasso,Random,italian hip hop,2019,12/31/1969,92,45,72,-13,10,46,182,25,19,78,italy
885,Bossoli,Shiva,italian hip hop,2019,12/31/1969,145,66,83,-8,14,80,179,44,26,77,italy
886,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,12/31/1969,95,69,61,-6,10,28,200,16,10,77,italy
887,Barrio,Mahmood,italian arena pop,2019,12/31/1969,122,70,80,-7,11,57,165,6,7,77,italy
888,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,12/31/1969,98,63,80,-9,9,39,164,9,14,77,italy
889,occh1 purpl3 - feat. Marracash,tha Supreme,trap italiana,2019,12/31/1969,134,81,66,-5,16,55,188,9,16,77,italy
890,Non Avere Paura,Tommaso Paradiso,italian arena pop,2019,12/31/1969,105,68,57,-6,11,24,247,43,4,77,italy
891,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,12/31/1969,120,83,72,-5,44,48,258,1,21,76,italy
892,Tutto Questo Sei Tu,Ultimo,italian pop,2019,12/31/1969,162,51,45,-6,11,42,245,44,3,76,italy
893,Una volta ancora (feat. Ana Mena),Fred De Palma,italian arena pop,2019,12/31/1969,124,64,77,-5,10,59,174,8,6,76,italy
894,ch1 5ei te,tha Supreme,trap italiana,2019,12/31/1969,88,78,49,-6,16,32,184,5,7,76,italy
896,GANG (feat. Geolier),Samurai Jay,italian hip hop,2019,12/31/1969,95,46,80,-11,21,58,162,4,24,75,italy
897,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,12/31/1969,78,79,42,-6,11,50,220,1,27,74,italy
898,ANSIA NO,FSK SATELLITE,italian hip hop,2019,12/31/1969,160,68,82,-7,22,71,149,15,56,73,italy
899,m8nstar,tha Supreme,trap italiana,2019,12/31/1969,165,76,58,-6,11,44,165,5,4,73,italy
900,Cin Cin,Alfa,italian arena pop,2019,12/31/1969,121,63,70,-4,13,37,180,26,3,65,italy
