,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
902,bad guy,Billie Eilish,electropop,2019,12/31/1969,135,43,70,-11,10,56,194,33,38,96,japan
908,Gurenge,LiSA,anime rock,2019,12/31/1969,135,98,55,-3,8,31,239,0,15,73,japan
918,Turning Up,ARASHI,j-pop,2019,12/31/1969,118,82,77,-5,24,90,183,2,10,68,japan
935,Pretender,Official HIGE DANdism,anime rock,2019,12/31/1969,92,87,54,-3,14,37,327,5,3,56,japan
936,Hakujitsu,King Gnu,j-pop,2019,12/31/1969,93,90,61,-3,29,75,275,67,11,56,japan
938,Yesterday,Official HIGE DANdism,anime rock,2019,12/31/1969,130,80,54,-4,40,56,299,4,4,55,japan
939,Shukumei,Official HIGE DANdism,anime rock,2019,12/31/1969,164,58,55,-6,11,49,281,2,3,53,japan
940,Machigaisagashi,Masaki Suda,anime rock,2019,12/31/1969,156,64,53,-6,39,44,224,52,4,53,japan
943,Umbrella,King Gnu,j-pop,2019,12/31/1969,105,90,65,-3,5,70,202,38,8,51,japan
944,Hikoutei,King Gnu,j-pop,2019,12/31/1969,80,85,47,-3,33,49,262,4,5,50,japan
945,Stand By You,Official HIGE DANdism,anime rock,2019,12/31/1969,154,87,61,-5,28,63,256,1,4,49,japan
949,Teenager Forever,King Gnu,j-pop,2019,12/31/1969,115,92,50,-4,34,70,189,7,11,39,japan
