1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,34579416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-18,Global,Week,Region
2,Wow.,Post Malone,29944242,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-18,Global,2019-01-18,Global
3,"thank u, next",Ariana Grande,27807232,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-18,Global,2019-01-18,Global
4,Without Me,Halsey,27138512,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-18,Global,2019-01-18,Global
5,Calma - Remix,Pedro Capó,22816097,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-18,Global,2019-01-18,Global
6,Sweet but Psycho,Ava Max,22400542,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-18,Global,2019-01-18,Global
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22138077,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-18,Global,2019-01-18,Global
8,Dancing With A Stranger (with Normani),Sam Smith,20180815,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-18,Global,2019-01-18,Global
9,High Hopes,Panic! At The Disco,19643546,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-18,Global,2019-01-18,Global
10,MIA (feat. Drake),Bad Bunny,19630428,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-18,Global,2019-01-18,Global
11,Happier,Marshmello,18694994,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-18,Global,2019-01-18,Global
12,Lost in the Fire,Gesaffelstein,18491016,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019-01-18,Global,2019-01-18,Global
13,SICKO MODE,Travis Scott,18280537,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-18,Global,2019-01-18,Global
14,Going Bad (feat. Drake),Meek Mill,17539582,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-18,Global,2019-01-18,Global
15,Adan y Eva,Paulo Londra,17324753,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-18,Global,2019-01-18,Global
