1,7 rings,Ariana Grande,71467874,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-25,Global,Week,Region
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,33799389,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-25,Global,2019-01-25,Global
3,Wow.,Post Malone,31165644,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-25,Global,2019-01-25,Global
4,"thank u, next",Ariana Grande,27672341,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-25,Global,2019-01-25,Global
5,Without Me,Halsey,27576694,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-25,Global,2019-01-25,Global
6,Calma - Remix,Pedro Capó,23772814,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-25,Global,2019-01-25,Global
7,Dancing With A Stranger (with Normani),Sam Smith,22238899,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-25,Global,2019-01-25,Global
8,Sweet but Psycho,Ava Max,21711506,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-25,Global,2019-01-25,Global
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21435790,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-25,Global,2019-01-25,Global
10,MIA (feat. Drake),Bad Bunny,19597964,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-25,Global,2019-01-25,Global
11,High Hopes,Panic! At The Disco,18891709,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-25,Global,2019-01-25,Global
12,Happier,Marshmello,18135105,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-25,Global,2019-01-25,Global
13,Adan y Eva,Paulo Londra,17547601,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-25,Global,2019-01-25,Global
14,SICKO MODE,Travis Scott,17280171,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-25,Global,2019-01-25,Global
15,Going Bad (feat. Drake),Meek Mill,17174274,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-25,Global,2019-01-25,Global
16,Shallow,Lady Gaga,16829254,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-25,Global,2019-01-25,Global
17,Lost in the Fire,Gesaffelstein,15898519,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019-01-25,Global,2019-01-25,Global
18,Secreto,Anuel AA,15649853,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-25,Global,2019-01-25,Global
19,ZEZE (feat. Travis Scott & Offset),Kodak Black,15564793,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-25,Global,2019-01-25,Global
20,Saturday Nights,Khalid,14560398,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-25,Global,2019-01-25,Global
21,Eastside (with Halsey & Khalid),benny blanco,14028996,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-25,Global,2019-01-25,Global
22,Drip Too Hard (Lil Baby & Gunna),Lil Baby,13585875,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-25,Global,2019-01-25,Global
23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,13523043,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-25,Global,2019-01-25,Global
24,Look Back at It,A Boogie Wit da Hoodie,13473222,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-25,Global,2019-01-25,Global
25,Giant (with Rag'n'Bone Man),Calvin Harris,13432564,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-01-25,Global,2019-01-25,Global
26,Mo Bamba,Sheck Wes,13264212,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-25,Global,2019-01-25,Global
27,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,12917943,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-25,Global,2019-01-25,Global
28,when the party's over,Billie Eilish,12787942,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-25,Global,2019-01-25,Global
29,Better Now,Post Malone,12225139,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-25,Global,2019-01-25,Global
30,Be Alright,Dean Lewis,11967642,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-25,Global,2019-01-25,Global
31,SAD!,XXXTENTACION,11909435,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-25,Global,2019-01-25,Global
32,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,11782058,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-25,Global,2019-01-25,Global
33,Girls Like You (feat. Cardi B),Maroon 5,11611300,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-25,Global,2019-01-25,Global
34,Bohemian Rhapsody - 2011 Mix,Queen,11183058,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-25,Global,2019-01-25,Global
35,Desconocidos,Mau y Ricky,11064377,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-25,Global,2019-01-25,Global
36,Lucid Dreams,Juice WRLD,10923958,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-25,Global,2019-01-25,Global
37,Adictiva,Daddy Yankee,10882484,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-25,Global,2019-01-25,Global
38,Ella Quiere Beber - Remix,Anuel AA,10862330,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-25,Global,2019-01-25,Global
39,Better,Khalid,10854712,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-25,Global,2019-01-25,Global
40,Moonlight,XXXTENTACION,10351258,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-25,Global,2019-01-25,Global
41,Leave Me Alone,Flipp Dinero,10330367,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-25,Global,2019-01-25,Global
42,imagine,Ariana Grande,10326381,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-25,Global,2019-01-25,Global
43,Wake Up in the Sky,Gucci Mane,10323852,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-25,Global,2019-01-25,Global
44,In My Mind,Dynoro,10316464,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-25,Global,2019-01-25,Global
45,Baila Baila Baila,Ozuna,10271742,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-01-25,Global,2019-01-25,Global
46,Keanu Reeves,Logic,10133154,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019-01-25,Global,2019-01-25,Global
47,rockstar (feat. 21 Savage),Post Malone,9956213,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-01-25,Global,2019-01-25,Global
48,Amanece,Anuel AA,9710846,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-25,Global,2019-01-25,Global
49,Hope,The Chainsmokers,9657252,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-01-25,Global,2019-01-25,Global
50,Promises (with Sam Smith),Calvin Harris,9654926,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-25,Global,2019-01-25,Global
51,lovely,Billie Eilish,9474960,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-01-25,Global,2019-01-25,Global
52,First Off (feat. Travis Scott),Future,9301657,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,2019-01-25,Global,2019-01-25,Global
53,Taste (feat. Offset),Tyga,9205634,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-25,Global,2019-01-25,Global
54,Youngblood,5 Seconds of Summer,9187834,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-25,Global,2019-01-25,Global
55,Hobby Hobby,MERO,9075914,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019-01-25,Global,2019-01-25,Global
56,no tears left to cry,Ariana Grande,8846430,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-01-25,Global,2019-01-25,Global
57,Crushed Up,Future,8726504,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,2019-01-25,Global,2019-01-25,Global
58,Ruin My Life,Zara Larsson,8718625,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-25,Global,2019-01-25,Global
59,a lot,21 Savage,8666560,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-25,Global,2019-01-25,Global
60,Solo de Mi,Bad Bunny,8587787,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-25,Global,2019-01-25,Global
61,I Like It,Cardi B,8468946,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-25,Global,2019-01-25,Global
62,Imposible,Luis Fonsi,8466082,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-25,Global,2019-01-25,Global
63,Bad Liar,Imagine Dragons,8460850,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-25,Global,2019-01-25,Global
64,Love Someone,Lukas Graham,8235689,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-25,Global,2019-01-25,Global
65,Money,Cardi B,8223260,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-01-25,Global,2019-01-25,Global
66,NI BIEN NI MAL,Bad Bunny,8172522,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-25,Global,2019-01-25,Global
67,whoa (mind in awe),XXXTENTACION,8132321,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019-01-25,Global,2019-01-25,Global
68,Vaina Loca,Ozuna,8057457,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-25,Global,2019-01-25,Global
69,God's Plan,Drake,7896269,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-25,Global,2019-01-25,Global
70,Natural,Imagine Dragons,7845067,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-01-25,Global,2019-01-25,Global
71,Jocelyn Flores,XXXTENTACION,7843780,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019-01-25,Global,2019-01-25,Global
72,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,7769520,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-01-25,Global,2019-01-25,Global
73,Body (feat. brando),Loud Luxury,7719123,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-25,Global,2019-01-25,Global
74,Bubalu,Becky G,7691925,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-25,Global,2019-01-25,Global
75,Beautiful (feat. Camila Cabello),Bazzi,7568703,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-25,Global,2019-01-25,Global
