1,bad guy,Billie Eilish,40259374,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-04-26,Global,Week,Region
2,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,33975090,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-04-26,Global,2019-04-26,Global
3,Old Town Road,Lil Nas X,27568885,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019-04-26,Global,2019-04-26,Global
4,SOS,Avicii,23812662,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,2019-04-26,Global,2019-04-26,Global
5,Con Calma,Daddy Yankee,23516741,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-04-26,Global,2019-04-26,Global
6,Boy With Luv (feat. Halsey),BTS,22447659,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2019-04-26,Global,2019-04-26,Global
7,7 rings,Ariana Grande,21780435,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-04-26,Global,2019-04-26,Global
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,21353515,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-04-26,Global,2019-04-26,Global
9,Sucker,Jonas Brothers,20841115,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-04-26,Global,2019-04-26,Global
10,Talk (feat. Disclosure),Khalid,18389998,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-04-26,Global,2019-04-26,Global
11,bury a friend,Billie Eilish,17977340,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2019-04-26,Global,2019-04-26,Global
12,Shallow,Lady Gaga,17132925,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-04-26,Global,2019-04-26,Global
13,Wow.,Post Malone,16652654,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-04-26,Global,2019-04-26,Global
14,Don't Call Me Up,Mabel,16424414,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-04-26,Global,2019-04-26,Global
15,Kill This Love,BLACKPINK,15752290,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2019-04-26,Global,2019-04-26,Global
16,wish you were gay,Billie Eilish,14565136,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,2019-04-26,Global,2019-04-26,Global
17,when the party's over,Billie Eilish,14415207,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019-04-26,Global,2019-04-26,Global
18,Here With Me,Marshmello,14251208,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-04-26,Global,2019-04-26,Global
19,Pa Mí - Remix,Dalex,14169080,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,2019-04-26,Global,2019-04-26,Global
20,HP,Maluma,14057648,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW,2019-04-26,Global,2019-04-26,Global
21,Calma - Remix,Pedro Capó,14043479,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-04-26,Global,2019-04-26,Global
22,Sweet but Psycho,Ava Max,14027830,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-04-26,Global,2019-04-26,Global
23,Happier,Marshmello,13438804,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-04-26,Global,2019-04-26,Global
24,Dancing With A Stranger (with Normani),Sam Smith,12960745,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-04-26,Global,2019-04-26,Global
25,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,12617837,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-04-26,Global,2019-04-26,Global
26,Without Me,Halsey,12419881,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-04-26,Global,2019-04-26,Global
27,i'm so tired...,Lauv,12411629,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-04-26,Global,2019-04-26,Global
28,Let Me Down Slowly,Alec Benjamin,12324368,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-04-26,Global,2019-04-26,Global
29,Baila Baila Baila,Ozuna,12306390,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-04-26,Global,2019-04-26,Global
30,"break up with your girlfriend, i'm bored",Ariana Grande,12182413,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-04-26,Global,2019-04-26,Global
31,Power is Power,SZA,12087846,https://open.spotify.com/track/35RDmXJ59YYGNlv1KfTGsP,2019-04-26,Global,2019-04-26,Global
32,MIDDLE CHILD,J. Cole,12086957,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-04-26,Global,2019-04-26,Global
33,Verte Ir,DJ Luian,11856127,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-04-26,Global,2019-04-26,Global
34,"thank u, next",Ariana Grande,11676493,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-04-26,Global,2019-04-26,Global
35,Te Robaré,Nicky Jam,11202091,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-04-26,Global,2019-04-26,Global
36,Secreto,Anuel AA,11169639,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-04-26,Global,2019-04-26,Global
37,lovely,Billie Eilish,11138567,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-04-26,Global,2019-04-26,Global
38,Sanguine Paradise,Lil Uzi Vert,10891403,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN,2019-04-26,Global,2019-04-26,Global
39,Going Bad (feat. Drake),Meek Mill,10807634,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-04-26,Global,2019-04-26,Global
40,High Hopes,Panic! At The Disco,10803582,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-04-26,Global,2019-04-26,Global
41,On My Way,Alan Walker,10693989,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,2019-04-26,Global,2019-04-26,Global
42,So Am I,Ava Max,10443282,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,2019-04-26,Global,2019-04-26,Global
43,Tal Vez,Paulo Londra,10314821,https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0,2019-04-26,Global,2019-04-26,Global
44,Con Altura,ROSALÍA,10277117,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-04-26,Global,2019-04-26,Global
45,Earth,Lil Dicky,10250950,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO,2019-04-26,Global,2019-04-26,Global
46,Murder On My Mind,YNW Melly,10156211,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019-04-26,Global,2019-04-26,Global
47,you should see me in a crown,Billie Eilish,9888124,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d,2019-04-26,Global,2019-04-26,Global
48,Giant (with Rag'n'Bone Man),Calvin Harris,9510194,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-04-26,Global,2019-04-26,Global
49,Better,Khalid,9455500,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-04-26,Global,2019-04-26,Global
50,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9454260,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-04-26,Global,2019-04-26,Global
51,all the good girls go to hell,Billie Eilish,9445909,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,2019-04-26,Global,2019-04-26,Global
52,Someone You Loved,Lewis Capaldi,9442017,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-04-26,Global,2019-04-26,Global
53,Bohemian Rhapsody - 2011 Mix,Queen,9281623,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2019-04-26,Global,2019-04-26,Global
54,Eastside (with Halsey & Khalid),benny blanco,9191628,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-04-26,Global,2019-04-26,Global
