1,Señorita,Shawn Mendes,57580873,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-02,Global,Week,Region
2,China,Anuel AA,31043931,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-02,Global,2019-08-02,Global
3,Beautiful People (feat. Khalid),Ed Sheeran,28229149,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-08-02,Global,2019-08-02,Global
4,Goodbyes (Feat. Young Thug),Post Malone,27716031,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-08-02,Global,2019-08-02,Global
5,I Don't Care (with Justin Bieber),Ed Sheeran,27692708,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-02,Global,2019-08-02,Global
6,Old Town Road - Remix,Lil Nas X,23053809,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-02,Global,2019-08-02,Global
7,bad guy,Billie Eilish,22780278,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-02,Global,2019-08-02,Global
8,How Do You Sleep?,Sam Smith,22140829,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-02,Global,2019-08-02,Global
9,Callaita,Bad Bunny,21306049,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-02,Global,2019-08-02,Global
10,Ransom,Lil Tecca,21047096,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019-08-02,Global,2019-08-02,Global
11,Otro Trago - Remix,Sech,20076277,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-02,Global,2019-08-02,Global
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,18334846,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-02,Global,2019-08-02,Global
13,Someone You Loved,Lewis Capaldi,17998470,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-08-02,Global,2019-08-02,Global
14,Money In The Grave (Drake ft. Rick Ross),Drake,16587686,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019-08-02,Global,2019-08-02,Global
15,Panini,Lil Nas X,16560297,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,2019-08-02,Global,2019-08-02,Global
16,Truth Hurts,Lizzo,16286337,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-08-02,Global,2019-08-02,Global
17,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,16139368,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-08-02,Global,2019-08-02,Global
18,LA CANCIÓN,J Balvin,15907445,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-02,Global,2019-08-02,Global
19,bad guy (with Justin Bieber),Billie Eilish,15879033,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,2019-08-02,Global,2019-08-02,Global
20,Lalala,Y2K,15710444,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-08-02,Global,2019-08-02,Global
21,Soltera - Remix,Lunay,15333342,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-08-02,Global,2019-08-02,Global
22,Piece Of Your Heart,MEDUZA,15263596,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-08-02,Global,2019-08-02,Global
23,Con Calma,Daddy Yankee,14397908,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-08-02,Global,2019-08-02,Global
24,No Me Conoce - Remix,Jhay Cortez,14182048,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-02,Global,2019-08-02,Global
25,Antisocial (with Travis Scott),Ed Sheeran,13882802,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW,2019-08-02,Global,2019-08-02,Global
26,Otro Trago,Sech,13230277,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-02,Global,2019-08-02,Global
27,If I Can't Have You,Shawn Mendes,13101219,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2019-08-02,Global,2019-08-02,Global
28,No Guidance (feat. Drake),Chris Brown,12906809,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019-08-02,Global,2019-08-02,Global
29,QUE PRETENDES,J Balvin,12817142,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-02,Global,2019-08-02,Global
30,Takeaway (feat. Lennon Stella),The Chainsmokers,12667051,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe,2019-08-02,Global,2019-08-02,Global
31,It's You,Ali Gatie,12319301,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-08-02,Global,2019-08-02,Global
32,You Need To Calm Down,Taylor Swift,11949130,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-08-02,Global,2019-08-02,Global
33,The Archer,Taylor Swift,11581987,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k,2019-08-02,Global,2019-08-02,Global
34,Never Really Over,Katy Perry,11555050,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-08-02,Global,2019-08-02,Global
35,11 PM,Maluma,11497445,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-02,Global,2019-08-02,Global
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,11495853,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,2019-08-02,Global,2019-08-02,Global
37,7 rings,Ariana Grande,11040605,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-08-02,Global,2019-08-02,Global
38,One Thing Right,Marshmello,10948858,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019-08-02,Global,2019-08-02,Global
39,Sucker,Jonas Brothers,10905882,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019-08-02,Global,2019-08-02,Global
40,Higher Love,Kygo,10808453,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-08-02,Global,2019-08-02,Global
41,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,10770922,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF,2019-08-02,Global,2019-08-02,Global
42,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,10722605,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019-08-02,Global,2019-08-02,Global
43,Call You Mine,The Chainsmokers,10575613,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,2019-08-02,Global,2019-08-02,Global
44,Shallow,Lady Gaga,10414251,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-08-02,Global,2019-08-02,Global
45,Con Altura,ROSALÍA,10406386,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-02,Global,2019-08-02,Global
46,The London (feat. J. Cole & Travis Scott),Young Thug,10380959,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,2019-08-02,Global,2019-08-02,Global
47,Talk (feat. Disclosure),Khalid,10192822,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-08-02,Global,2019-08-02,Global
48,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,Lil Nas X,9920697,https://open.spotify.com/track/6woeVu3fVMflqen1t4N6pg,2019-08-02,Global,2019-08-02,Global
49,Te Robaré,Nicky Jam,9840659,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-08-02,Global,2019-08-02,Global
50,Calma - Remix,Pedro Capó,9673932,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-08-02,Global,2019-08-02,Global
51,Happier,Marshmello,9353603,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-08-02,Global,2019-08-02,Global
52,SOS (feat. Aloe Blacc),Avicii,9186311,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,2019-08-02,Global,2019-08-02,Global
53,Dance Monkey,Tones And I,9145550,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-08-02,Global,2019-08-02,Global
54,Rescue Me,OneRepublic,8822764,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019-08-02,Global,2019-08-02,Global
55,Wow.,Post Malone,8734803,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-08-02,Global,2019-08-02,Global
56,Suge,DaBaby,8516587,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019-08-02,Global,2019-08-02,Global
57,Pa Mí - Remix,Dalex,8507933,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-08-02,Global,2019-08-02,Global
58,Gold Roses (feat. Drake),Rick Ross,8489195,https://open.spotify.com/track/4aPB8rSxGFISs0o6V2LrTy,2019-08-02,Global,2019-08-02,Global
59,Verte Ir,DJ Luian,8447443,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-08-02,Global,2019-08-02,Global
60,Tal Vez,Paulo Londra,8294927,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-08-02,Global,2019-08-02,Global
61,when the party's over,Billie Eilish,8214556,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2019-08-02,Global,2019-08-02,Global
62,lovely (with Khalid),Billie Eilish,8200036,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2019-08-02,Global,2019-08-02,Global
63,Dancing With A Stranger (with Normani),Sam Smith,7995198,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-08-02,Global,2019-08-02,Global
64,The Git Up,Blanco Brown,7922819,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm,2019-08-02,Global,2019-08-02,Global
65,Hot Shower,Chance the Rapper,7831991,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,2019-08-02,Global,2019-08-02,Global
66,Hate Me (with Juice WRLD),Ellie Goulding,7734576,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019-08-02,Global,2019-08-02,Global
67,Good As Hell,Lizzo,7700671,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF,2019-08-02,Global,2019-08-02,Global
68,Without Me,Halsey,7658448,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-08-02,Global,2019-08-02,Global
69,Don't Call Me Up,Mabel,7641729,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-08-02,Global,2019-08-02,Global
70,Runaway,Sebastian Yatra,7640006,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-08-02,Global,2019-08-02,Global
