1,Circles,Post Malone,43379405,https://open.spotify.com/track/51MMC5DogGZAnHil5HQAXg,2019-09-13,Global,Week,Region
2,Señorita,Shawn Mendes,42601173,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-09-13,Global,2019-09-13,Global
3,Goodbyes (Feat. Young Thug),Post Malone,33267154,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-09-13,Global,2019-09-13,Global
4,Saint-Tropez,Post Malone,30900415,https://open.spotify.com/track/7C39RtGhnEw7cyf0Pyw7PV,2019-09-13,Global,2019-09-13,Global
5,Hollywood's Bleeding,Post Malone,28946369,https://open.spotify.com/track/77Y7tccX9Hx5iClDr39uy9,2019-09-13,Global,2019-09-13,Global
6,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,27875018,https://open.spotify.com/track/4Yq3XUNfWrAPWuB94qkC09,2019-09-13,Global,2019-09-13,Global
7,Enemies (feat. DaBaby),Post Malone,25861671,https://open.spotify.com/track/6UFEJuDXQMWhL5UH5f9fUR,2019-09-13,Global,2019-09-13,Global
8,China,Anuel AA,25669052,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-09-13,Global,2019-09-13,Global
9,Dance Monkey,Tones And I,24981396,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-09-13,Global,2019-09-13,Global
10,Ransom,Lil Tecca,24251064,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,2019-09-13,Global,2019-09-13,Global
11,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,24239608,https://open.spotify.com/track/4VqTRBvYg0z8C4nsl4Hupy,2019-09-13,Global,2019-09-13,Global
12,Beautiful People (feat. Khalid),Ed Sheeran,22423448,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-09-13,Global,2019-09-13,Global
13,Die For Me (feat. Future & Halsey),Post Malone,22378443,https://open.spotify.com/track/59PYPDxTbqJpiGfyogPb5h,2019-09-13,Global,2019-09-13,Global
14,Lalala,Y2K,21121086,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-09-13,Global,2019-09-13,Global
15,Someone You Loved,Lewis Capaldi,21071208,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-09-13,Global,2019-09-13,Global
16,bad guy,Billie Eilish,20885261,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-09-13,Global,2019-09-13,Global
17,On The Road (feat. Meek Mill & Lil Baby),Post Malone,20344215,https://open.spotify.com/track/0hGH0S74Eoyv6mXZcOKtdQ,2019-09-13,Global,2019-09-13,Global
18,How Do You Sleep?,Sam Smith,19566582,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-09-13,Global,2019-09-13,Global
