Position,Track Name,Artist,Streams,URL,Week,Region
1,HIGHEST IN THE ROOM,Travis Scott,48161108,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-10-11,Global
2,Dance Monkey,Tones And I,37248929,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-10-11,Global
3,Señorita,Shawn Mendes,32898929,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-10-11,Global
4,Circles,Post Malone,30376180,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-10-11,Global
5,"10,000 Hours (with Justin Bieber)",Dan + Shay,26054266,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-10-11,Global
6,Someone You Loved,Lewis Capaldi,23509860,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-10-11,Global
7,Beautiful People (feat. Khalid),Ed Sheeran,20801853,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-10-11,Global
8,Lalala,Y2K,20427457,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-10-11,Global
9,China,Anuel AA,19162610,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-10-11,Global
10,Memories,Maroon 5,19062367,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-10-11,Global
11,How Do You Sleep?,Sam Smith,18927426,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-10-11,Global
12,bad guy,Billie Eilish,18164119,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-10-11,Global
13,Goodbyes (Feat. Young Thug),Post Malone,18125052,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-10-11,Global
14,hot girl bummer,blackbear,16936122,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-10-11,Global
15,I Don't Care (with Justin Bieber),Ed Sheeran,16538341,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-10-11,Global
16,Ransom,Lil Tecca,16378228,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019-10-11,Global
17,Bandit (with YoungBoy Never Broke Again),Juice WRLD,15831557,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019-10-11,Global
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,15069378,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-10-11,Global
19,Panini,Lil Nas X,14989217,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2019-10-11,Global
20,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,14602503,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,2019-10-11,Global
21,Saint-Tropez,Post Malone,14091041,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,2019-10-11,Global
22,Truth Hurts,Lizzo,13897709,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-10-11,Global
23,Liar,Camila Cabello,13257717,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,2019-10-11,Global
24,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,13063434,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,2019-10-11,Global
25,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,13033414,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-10-11,Global
26,Callaita,Bad Bunny,12986335,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-10-11,Global
27,Adicto (with Anuel AA & Ozuna),Tainy,12784551,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2019-10-11,Global
28,Old Town Road - Remix,Lil Nas X,12632323,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-10-11,Global
29,Ride It,Regard,12367913,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-10-11,Global
30,No Me Conoce - Remix,Jhay Cortez,12319675,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-10-11,Global
31,LA CANCIÓN,J Balvin,12309405,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-10-11,Global
