1,Dance Monkey,Tones And I,43643723,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-12-13,Global,Week,Region
2,ROXANNE,Arizona Zervas,30315675,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019-12-13,Global,2019-12-13,Global
3,Circles,Post Malone,26308514,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-12-13,Global,2019-12-13,Global
4,Memories,Maroon 5,25747069,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-12-13,Global,2019-12-13,Global
5,Señorita,Shawn Mendes,24837303,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-12-13,Global,2019-12-13,Global
6,All I Want for Christmas Is You,Mariah Carey,24024043,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019-12-13,Global,2019-12-13,Global
7,Lucid Dreams,Juice WRLD,23836885,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-12-13,Global,2019-12-13,Global
8,Someone You Loved,Lewis Capaldi,22810797,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-12-13,Global,2019-12-13,Global
9,Don't Start Now,Dua Lipa,22708996,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-12-13,Global,2019-12-13,Global
10,everything i wanted,Billie Eilish,22700664,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2019-12-13,Global,2019-12-13,Global
11,Falling,Trevor Daniel,21977727,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2019-12-13,Global,2019-12-13,Global
12,Blinding Lights,The Weeknd,21079882,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2019-12-13,Global,2019-12-13,Global
13,Tusa,KAROL G,20705354,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2019-12-13,Global,2019-12-13,Global
14,RITMO (Bad Boys For Life),Black Eyed Peas,19667411,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2019-12-13,Global,2019-12-13,Global
15,bad guy,Billie Eilish,19523618,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-12-13,Global,2019-12-13,Global
16,Last Christmas,Wham!,19402441,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2019-12-13,Global,2019-12-13,Global
17,Adore You,Harry Styles,19360616,https://open.spotify.com/track/1M4qEo4HE3PRaCOM7EXNJq,2019-12-13,Global,2019-12-13,Global
18,Heartless,The Weeknd,18622463,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,2019-12-13,Global,2019-12-13,Global
19,Bandit (with YoungBoy Never Broke Again),Juice WRLD,17067491,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019-12-13,Global,2019-12-13,Global
20,HIGHEST IN THE ROOM,Travis Scott,16645424,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-12-13,Global,2019-12-13,Global
21,Lose You To Love Me,Selena Gomez,16546829,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-12-13,Global,2019-12-13,Global
22,hot girl bummer,blackbear,16133451,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-12-13,Global,2019-12-13,Global
23,Vete,Bad Bunny,15721422,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,2019-12-13,Global,2019-12-13,Global
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,15395026,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-12-13,Global,2019-12-13,Global
25,Santa Tell Me,Ariana Grande,15382577,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2019-12-13,Global,2019-12-13,Global
26,Ride It,Regard,13978520,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-12-13,Global,2019-12-13,Global
27,Beautiful People (feat. Khalid),Ed Sheeran,13801768,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-12-13,Global,2019-12-13,Global
28,It's Beginning to Look a Lot like Christmas,Michael Bublé,13521227,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,2019-12-13,Global,2019-12-13,Global
29,I Don't Care (with Justin Bieber),Ed Sheeran,13431141,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-12-13,Global,2019-12-13,Global
30,China,Anuel AA,13199349,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-12-13,Global,2019-12-13,Global
31,Watermelon Sugar,Harry Styles,13162182,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo,2019-12-13,Global,2019-12-13,Global
32,Robbery,Juice WRLD,12902859,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2019-12-13,Global,2019-12-13,Global
33,Rockin' Around The Christmas Tree,Brenda Lee,12756056,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2019-12-13,Global,2019-12-13,Global
34,Jingle Bell Rock,Bobby Helms,12457545,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj,2019-12-13,Global,2019-12-13,Global
35,7 rings,Ariana Grande,12279813,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-12-13,Global,2019-12-13,Global
36,It's the Most Wonderful Time of the Year,Andy Williams,11746944,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2019-12-13,Global,2019-12-13,Global
37,My Oh My (feat. DaBaby),Camila Cabello,11724982,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2019-12-13,Global,2019-12-13,Global
38,How Do You Sleep?,Sam Smith,11557740,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-12-13,Global,2019-12-13,Global
39,Mistletoe,Justin Bieber,11524096,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2019-12-13,Global,2019-12-13,Global
40,LA CANCIÓN,J Balvin,11376536,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-12-13,Global,2019-12-13,Global
41,Fantasias,Rauw Alejandro,11315128,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,2019-12-13,Global,2019-12-13,Global
42,Lalala,Y2K,11241445,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-12-13,Global,2019-12-13,Global
43,Before You Go,Lewis Capaldi,11229616,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2019-12-13,Global,2019-12-13,Global
44,BOP,DaBaby,11150685,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2019-12-13,Global,2019-12-13,Global
45,Goodbyes (Feat. Young Thug),Post Malone,11034720,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-12-13,Global,2019-12-13,Global
46,Hate Me (with Juice WRLD),Ellie Goulding,11007915,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019-12-13,Global,2019-12-13,Global
