,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",405521,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"Sweet but Psycho","Ava Max",317190,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
3,Wow.,"Post Malone",306612,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,"Without Me",Halsey,291909,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,"thank u, next","Ariana Grande",285666,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,Shotgun,"George Ezra",230927,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
7,Better,Khalid,228650,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
8,"Eastside (with Halsey & Khalid)","benny blanco",224966,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
9,Shallow,"Lady Gaga",224556,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
10,Happier,Marshmello,203056,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Dancing With A Stranger (with Normani)","Sam Smith",190352,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
12,"SICKO MODE","Travis Scott",186694,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
13,"Body (feat. brando)","Loud Luxury",183745,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
14,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",172766,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
15,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",165671,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
16,"when the party's over","Billie Eilish",158606,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
17,"Always Remember Us This Way","Lady Gaga",156433,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
18,Youngblood,"5 Seconds of Summer",153549,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,"Be Alright","Dean Lewis",151390,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
20,"Bad Liar","Imagine Dragons",150519,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
21,Vibes,SIX60,150330,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
22,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",148819,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
23,"High Hopes","Panic! At The Disco",148228,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
24,"Mo Bamba","Sheck Wes",144927,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
25,"Love Someone","Lukas Graham",140475,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
26,"Promises (with Sam Smith)","Calvin Harris",140343,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
27,"Let You Love Me","Rita Ora",139183,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
28,Undecided,"Chris Brown",138439,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
29,"Going Bad (feat. Drake)","Meek Mill",138166,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
30,"Saturday Nights",Khalid,137645,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
31,imagine,"Ariana Grande",136000,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
32,Soaked,Bene,127812,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4
33,"Girls Like You (feat. Cardi B)","Maroon 5",127753,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
34,"Better Now","Post Malone",124661,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
