,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",394653,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,"Beautiful People (feat. Khalid)","Ed Sheeran",311071,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,"The Greatest",SIX60,274661,https://open.spotify.com/track/0xEaVqAEKMgdxza2tkOeFB
4,"How Do You Sleep?","Sam Smith",265329,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
5,"Goodbyes (Feat. Young Thug)","Post Malone",261855,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
6,"I Don't Care (with Justin Bieber)","Ed Sheeran",236464,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
7,"Someone You Loved","Lewis Capaldi",225817,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"It's You","Ali Gatie",221467,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
9,Ransom,"Lil Tecca",205389,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
10,"The Git Up","Blanco Brown",205208,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
11,Lalala,Y2K,200832,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
12,"Truth Hurts",Lizzo,191807,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
13,"No Guidance (feat. Drake)","Chris Brown",189015,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
14,"Old Town Road - Remix","Lil Nas X",184969,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
15,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",184038,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
16,"Antisocial (with Travis Scott)","Ed Sheeran",174730,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
17,"bad guy","Billie Eilish",165519,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,"Money In The Grave (Drake ft. Rick Ross)",Drake,163143,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
19,Panini,"Lil Nas X",147350,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",147074,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
21,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",137915,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
22,"If I Can't Have You","Shawn Mendes",134099,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
23,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",132923,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
24,"3 Nights","Dominic Fike",132692,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
25,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",130803,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
26,"Talk (feat. Disclosure)",Khalid,129631,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
27,"All This Time","Drax Project",125370,https://open.spotify.com/track/5pWsEZcRSwl1XOOIa52AIV
28,"bad guy (with Justin Bieber)","Billie Eilish",119118,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
29,"The London (feat. J. Cole & Travis Scott)","Young Thug",114881,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
30,"The Archer","Taylor Swift",113754,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
31,Easier,"5 Seconds of Summer",111212,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
32,"You Need To Calm Down","Taylor Swift",107683,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
33,"Rescue Me",OneRepublic,106962,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
34,"Piece Of Your Heart",MEDUZA,105975,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
35,Shallow,"Lady Gaga",105542,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
