,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Secreto,"Anuel AA",132393,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
2,"Pa Mí - Remix",Dalex,119416,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
3,"Calma - Remix","Pedro Capó",108978,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
4,"Baila Baila Baila",Ozuna,90077,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
5,"Con Calma","Daddy Yankee",89520,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
6,"Adan y Eva","Paulo Londra",85734,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
7,Lollipop,Boza,77020,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ
8,"Sígueme - Remix",Feid,75616,https://open.spotify.com/track/3pAwh9JxSJxWyUy3BUBPb4
9,"MIA (feat. Drake)","Bad Bunny",73780,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
10,Desconocidos,"Mau y Ricky",71636,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
11,Amanece,"Anuel AA",69311,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
12,"Ella Quiere Beber - Remix","Anuel AA",69022,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
13,"Un Año","Sebastian Yatra",68679,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
14,"Me Gustaría","Justin Quiles",65920,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r
15,"Solo de Mi","Bad Bunny",60026,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
16,Adictiva,"Daddy Yankee",58451,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
17,Bubalu,"Becky G",53725,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
18,"Te Vi","Piso 21",52329,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
19,Créeme,"KAROL G",52279,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
20,"Qué Más Pues",Sech,51047,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0
21,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",50762,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
22,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,47272,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
23,"7 rings","Ariana Grande",46430,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
24,Imposible,"Luis Fonsi",42612,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
25,Sola,"Manuel Turizo",42012,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
26,Caro,"Bad Bunny",41256,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
27,"Asesina - Remix",Brytiago,41017,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
28,"A Solas - Remix",Lunay,39717,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
29,"Luz Apaga",Ozuna,39524,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm
30,Reggaeton,"J Balvin",39490,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
31,Ibiza,Ozuna,39180,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
32,Baby,Amenazzy,39155,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
33,Controla,Brytiago,39124,https://open.spotify.com/track/4AKWHLChPxYdXAB2cHmZB7
34,"Esclavo de Tus Besos","Manuel Turizo",38911,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
35,Culpables,"KAROL G",38452,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
36,"NI BIEN NI MAL","Bad Bunny",37067,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
37,"Vaina Loca",Ozuna,35729,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
38,"Ta To Gucci (Remix)",Cauty,34335,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
39,"Dile la Verdad","The Rudeboyz",33464,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
40,"Miss Lonely - Dimelo Flow Remix",Sech,33297,https://open.spotify.com/track/3tRtlS9YUyYqVgqO3iM4bW
41,"Sin Igual","Gian Varela",32751,https://open.spotify.com/track/4D20alJpwRnEN4XO6h3nDo
42,MALA,6ix9ine,32551,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
43,Happier,Marshmello,31768,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
44,"Ni Gucci Ni Prada","Kenny Man",31480,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
45,PPP,"Kevin Roldan",30071,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
46,Hipócrita,"Anuel AA",29619,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
47,"La Vida",Sech,29182,https://open.spotify.com/track/7uOCu5eahcVWVAuObNzwZC
