Position,Track Name,Artist,Streams,URL,Week,Region
1,Benzema,Capital Bra,280162,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-04,Switzerland
2,Sweet but Psycho,Ava Max,226534,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-04,Switzerland
3,HaifischNikez Allstars,LX,212724,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-04,Switzerland
4,Lelele,Azet,182980,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-04,Switzerland
5,High Hopes,Panic! At The Disco,163204,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-04,Switzerland
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,162607,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Switzerland
7,Baller los,MERO,156216,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-04,Switzerland
8,Wow.,Post Malone,145021,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,Switzerland
9,MIA (feat. Drake),Bad Bunny,143642,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Switzerland
10,Tausend Tattoos,Sido,143272,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-04,Switzerland
11,In My Mind,Dynoro,140339,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-04,Switzerland
12,Without Me,Halsey,138445,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Switzerland
13,"thank u, next",Ariana Grande,127536,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Switzerland
14,Shallow,Lady Gaga,124800,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-04,Switzerland
15,Bad Liar,Imagine Dragons,119818,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-04,Switzerland
16,Be Alright,Dean Lewis,119163,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-04,Switzerland
17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,111920,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-04,Switzerland
18,ZEZE (feat. Travis Scott & Offset),Kodak Black,111043,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-04,Switzerland
19,Happier,Marshmello,103643,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-04,Switzerland
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,98652,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,Switzerland
21,SICKO MODE,Travis Scott,93048,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-04,Switzerland
22,Let You Love Me,Rita Ora,90626,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-01-04,Switzerland
23,Promises (with Sam Smith),Calvin Harris,88618,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-04,Switzerland
24,Body (feat. brando),Loud Luxury,82757,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-04,Switzerland
25,Eastside (with Halsey & Khalid),benny blanco,80646,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-04,Switzerland
26,500 PS,Bonez MC,80631,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-04,Switzerland
27,Bohemian Rhapsody - 2011 Mix,Queen,79349,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-04,Switzerland
28,Mo Bamba,Sheck Wes,79167,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-04,Switzerland
29,Adan y Eva,Paulo Londra,78990,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Switzerland
30,Feuer,Capital Bra,77952,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-04,Switzerland
31,079,Lo & Leduc,77589,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9,2019-01-04,Switzerland
32,Going Bad (feat. Drake),Meek Mill,77426,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-04,Switzerland
33,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,75956,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-04,Switzerland
34,Moonlight,XXXTENTACION,74571,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-04,Switzerland
35,SAD!,XXXTENTACION,73473,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-04,Switzerland
36,Girls Like You (feat. Cardi B),Maroon 5,73100,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-04,Switzerland
