,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Capital Bra je m'appelle","Capital Bra",311468,https://open.spotify.com/track/6VMAFT0zfide2Jg8MVZAPz
2,"7 rings","Ariana Grande",242755,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,Fragen,Azet,238520,https://open.spotify.com/track/26pr9oLIVAc1L62F2exIRT
4,Shallow,"Lady Gaga",230977,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
5,DNA,"KC Rebell",225361,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
6,"Con Calma","Daddy Yankee",217897,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
7,Ferrari,Eno,205812,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO
8,"Sweet but Psycho","Ava Max",196342,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,"Calma - Remix","Pedro Capó",193092,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
10,"Baila Baila Baila",Ozuna,183833,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
11,Prinzessa,"Capital Bra",183120,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
12,"Goutte d'eau",Ninho,182269,https://open.spotify.com/track/5ojNTROUJJgCFFbdD3xTZn
13,"Gib Ihm","SHIRIN DAVID",182176,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
14,"break up with your girlfriend, i'm bored","Ariana Grande",174246,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
15,"High Hopes","Panic! At The Disco",171210,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
16,"bury a friend","Billie Eilish",155265,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
17,Wow.,"Post Malone",148558,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
18,"Giant (with Rag'n'Bone Man)","Calvin Harris",144912,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
19,"Speechless (feat. Erika Sirola)","Robin Schulz",138696,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
20,"Without Me",Halsey,130059,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
21,"Hobby Hobby",MERO,126605,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT
22,Benzema,"Capital Bra",120975,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
23,"Hallo Hallo",Azet,119276,https://open.spotify.com/track/3aYAAXlB1yvUs5MJ0FI3bh
24,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",118493,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
