Position,Track Name,Artist,Streams,URL,Week,Region
1,Dance Monkey,Tones And I,4318581,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-10-18,Great Britain
2,Ride It,Regard,2732732,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-10-18,Great Britain
3,HIGHEST IN THE ROOM,Travis Scott,2324012,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-10-18,Great Britain
4,Circles,Post Malone,2249604,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-10-18,Great Britain
5,Taste (Make It Shake),Aitch,2123049,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON,2019-10-18,Great Britain
6,Sorry,Joel Corry,2074685,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn,2019-10-18,Great Britain
7,Lights Up,Harry Styles,2050140,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,2019-10-18,Great Britain
8,Strike a Pose (feat. Aitch),Young T & Bugsey,2023999,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44,2019-10-18,Great Britain
9,Someone You Loved,Lewis Capaldi,1940306,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-10-18,Great Britain
10,Ladbroke Grove,AJ Tracey,1866107,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV,2019-10-18,Great Britain
11,Be Honest (feat. Burna Boy),Jorja Smith,1809923,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd,2019-10-18,Great Britain
12,Outnumbered,Dermot Kennedy,1797459,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,2019-10-18,Great Britain
13,3 Nights,Dominic Fike,1789815,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019-10-18,Great Britain
14,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1683434,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019-10-18,Great Britain
15,Higher Love,Kygo,1646774,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-10-18,Great Britain
16,Post Malone (feat. RANI),Sam Feldt,1600346,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2019-10-18,Great Britain
17,Ransom,Lil Tecca,1553336,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019-10-18,Great Britain
18,Professor X,Dave,1512600,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi,2019-10-18,Great Britain
19,How Do You Sleep?,Sam Smith,1466884,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-10-18,Great Britain
20,Beautiful People (feat. Khalid),Ed Sheeran,1458778,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-10-18,Great Britain
21,Buss Down (feat. ZieZie),Aitch,1429612,https://open.spotify.com/track/584UC3Qpm8SbYd7aRWKREu,2019-10-18,Great Britain
22,Take Me Back to London (feat. Stormzy),Ed Sheeran,1413070,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0,2019-10-18,Great Britain
23,Señorita,Shawn Mendes,1379247,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-10-18,Great Britain
24,Both,Headie One,1320609,https://open.spotify.com/track/0SxjNrhMwarsbcgEy0pavJ,2019-10-18,Great Britain
25,Bruises,Lewis Capaldi,1272450,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2019-10-18,Great Britain
26,Panini,Lil Nas X,1198265,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2019-10-18,Great Britain
27,Location (feat. Burna Boy),Dave,1173804,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI,2019-10-18,Great Britain
28,I Don't Care (with Justin Bieber),Ed Sheeran,1160989,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-10-18,Great Britain
29,"fuck, i'm lonely",Lauv,1139231,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-10-18,Great Britain
30,"10,000 Hours (with Justin Bieber)",Dan + Shay,1105751,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-10-18,Great Britain
31,Motivation,Normani,1102920,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm,2019-10-18,Great Britain
32,So High (feat. Fredo),MIST,1077573,https://open.spotify.com/track/5aubXDnDNVKA5pS7EnR0mp,2019-10-18,Great Britain
33,Memories,Maroon 5,1075016,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-10-18,Great Britain
34,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,1074694,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,2019-10-18,Great Britain
35,hot girl bummer,blackbear,1073937,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-10-18,Great Britain
36,Lalala,Y2K,1050642,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-10-18,Great Britain
37,47 (feat. Stefflon Don),Sidhu Moose Wala,1046012,https://open.spotify.com/track/15rEEVR9tYJS4hbubgS3u7,2019-10-18,Great Britain
38,Goodbyes (Feat. Young Thug),Post Malone,1040132,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-10-18,Great Britain
39,Liar,Camila Cabello,1027330,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,2019-10-18,Great Britain
40,bad guy,Billie Eilish,1025860,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-10-18,Great Britain
41,Vossi Bop,Stormzy,1021105,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,2019-10-18,Great Britain
42,Good as Hell,Lizzo,1008652,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR,2019-10-18,Great Britain
43,Graveyard,Halsey,1001324,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,2019-10-18,Great Britain
44,Truth Hurts,Lizzo,996255,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-10-18,Great Britain
45,God Is A Dancer (with Mabel),Tiësto,971043,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP,2019-10-18,Great Britain
46,Mad Love,Mabel,967625,https://open.spotify.com/track/0bfWT3AgM7ZTuqesJvRP6H,2019-10-18,Great Britain
47,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,954656,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-10-18,Great Britain
48,Hold Me While You Wait,Lewis Capaldi,945472,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM,2019-10-18,Great Britain
