,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
101,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,argentina
102,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,argentina
103,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,argentina
104,China,Anuel AA,latin,2019,12/31/1969,105,81,79,-4,8,61,302,8,9,94,argentina
105,Vete,Bad Bunny,latin,2019,12/31/1969,92,67,89,-4,10,53,192,4,19,94,argentina
106,Fantasias,Rauw Alejandro,latin,2019,12/31/1969,94,70,88,-4,6,79,200,14,7,93,argentina
107,LA CANCIÓN,J Balvin,latin,2019,12/31/1969,176,65,75,-6,11,43,243,15,32,93,argentina
108,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,12/31/1969,80,84,73,-5,18,62,271,2,7,92,argentina
109,Callaita,Bad Bunny,latin,2019,12/31/1969,176,62,61,-5,24,24,251,60,31,92,argentina
110,Que Tire Pa Lante,Daddy Yankee,latin,2019,12/31/1969,94,90,66,-3,12,71,211,5,4,91,argentina
111,Whine Up,Nicky Jam,latin,2019,12/31/1969,105,67,82,-6,10,66,215,5,8,91,argentina
112,Tutu,Camilo,colombian pop,2019,12/31/1969,146,83,73,-3,7,94,179,27,5,90,argentina
113,Quizas,Rich Music LTD,reggaeton,2019,12/31/1969,176,82,73,-2,23,68,216,3,15,90,argentina
114,Si Te Vas,Sech,panamanian pop,2019,12/31/1969,174,64,73,-4,14,55,205,9,13,90,argentina
115,Aventura,Lunay,latin,2019,12/31/1969,92,73,73,-3,10,88,217,22,4,90,argentina
116,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,12/31/1969,92,76,78,-3,14,58,201,46,23,90,argentina
117,Indeciso,Reik,latin,2019,12/31/1969,95,75,74,-5,11,90,217,18,5,90,argentina
118,Hola - Remix,Dalex,latin,2019,12/31/1969,182,67,65,-6,8,34,250,47,31,89,argentina
119,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,argentina
120,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,12/31/1969,170,71,74,-4,8,83,259,5,9,88,argentina
121,No Me Conoce - Remix,Jhay Cortez,latin,2019,12/31/1969,92,79,81,-4,9,58,309,14,7,88,argentina
122,Con Altura,ROSALÍA,r&b en espanol,2019,12/31/1969,98,69,88,-4,5,75,162,39,12,88,argentina
123,Otro Trago - Remix,Sech,panamanian pop,2019,12/31/1969,176,79,73,-2,6,76,288,7,20,88,argentina
124,Con Calma,Daddy Yankee,latin,2019,12/31/1969,94,86,74,-3,6,66,193,11,6,88,argentina
125,0.958333333,Maluma,latin,2019,12/31/1969,96,71,78,-5,9,68,176,22,28,88,argentina
126,Bellaquita - Remix,Dalex,latin,2019,12/31/1969,166,72,80,-4,18,76,305,14,8,87,argentina
128,Blanco,J Balvin,latin,2019,12/31/1969,100,71,87,-5,9,59,146,3,13,87,argentina
129,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,12/31/1969,88,65,75,-3,11,48,233,11,7,85,argentina
130,Fresa,TINI,latin pop,2019,12/31/1969,96,87,78,-3,10,86,166,22,9,83,argentina
131,Perreo en La Luna,Rich Music LTD,reggaeton,2019,12/31/1969,174,76,71,-4,37,72,219,27,29,83,argentina
132,Sigues Con El,Dimelo Flow,latin,2019,12/31/1969,88,67,88,-3,7,68,227,11,11,83,argentina
133,Oye,TINI,latin pop,2019,12/31/1969,95,51,68,-8,18,26,173,45,6,83,argentina
134,Soltera - Remix,Lunay,latin,2019,12/31/1969,92,78,80,-4,44,80,266,36,4,80,argentina
135,Tal Vez,Paulo Londra,argentine hip hop,2019,12/31/1969,162,65,86,-2,8,74,264,25,15,80,argentina
136,22,TINI,latin pop,2019,12/31/1969,176,64,70,-5,9,81,159,1,9,76,argentina
137,Ya No Mas,Fer Palacio,NA,2019,12/31/1969,100,68,80,-6,7,88,158,14,6,75,argentina
138,Goteo,Duki,argentine hip hop,2019,12/31/1969,108,78,47,-4,19,44,164,19,4,73,argentina
139,CANGURO,WOS,argentine indie,2019,12/31/1969,164,75,60,-4,67,93,197,17,33,73,argentina
140,C90 - Remix,John C,argentine hip hop,2019,12/31/1969,123,76,87,-5,7,61,316,34,9,72,argentina
141,Cómo estás,Ke Personajes,cumbia pop,2019,12/31/1969,135,86,59,-2,4,98,227,29,6,72,argentina
144,Soy Sabalero,Los Palmeras,argentine rock,2019,12/31/1969,132,85,78,-5,8,85,180,8,6,68,argentina
145,No Dijeron Nada,Oscu,trap argentino,2019,12/31/1969,115,71,70,-5,51,91,187,8,5,68,argentina
