,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
651,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,france
652,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,france
653,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,france
655,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,france
656,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,france
657,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,france
658,Ride It,Regard,pop edm,2019,12/31/1969,118,75,88,-4,11,88,158,18,9,95,france
659,Trampoline (with ZAYN),SHAED,electropop,2019,12/31/1969,127,46,62,-6,14,50,184,56,3,92,france
661,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,france
663,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,12/31/1969,126,89,80,-4,29,46,170,4,7,85,france
664,Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,12/31/1969,122,72,77,-5,35,90,177,2,5,85,france
665,Popopop,Gambi,pop urbaine,2019,12/31/1969,130,65,83,-6,14,41,156,5,31,82,france
667,Moulaga,Heuss L'enfoiré,french hip hop,2019,12/31/1969,125,70,71,-5,10,48,180,33,10,79,france
668,Oui ou non,Angèle,belgian pop,2019,12/31/1969,200,57,65,-8,16,36,197,64,14,79,france
669,Hé oh,Gambi,pop urbaine,2019,12/31/1969,105,59,83,-5,20,54,178,7,15,79,france
670,Ne reviens pas,Gradur,french hip hop,2019,12/31/1969,125,78,93,-3,17,93,189,21,6,78,france
671,0.4,Aya Nakamura,basshall,2019,12/31/1969,92,69,84,-7,13,68,175,40,21,78,france
672,Woin Woin feat. RK,Larry,french hip hop,2019,12/31/1969,130,64,90,-7,8,70,173,17,29,77,france
673,Loin de moi,Naza,francoton,2019,12/31/1969,97,46,89,-8,6,50,144,64,24,77,france
674,Mayday (feat. Ninho),SCH,french hip hop,2019,12/31/1969,152,60,61,-8,9,25,210,61,36,77,france
675,Baianá,Bakermat,deep euro house,2019,12/31/1969,122,76,50,-7,33,49,182,0,5,77,france
676,La vie qu'on mène,Ninho,french hip hop,2019,12/31/1969,113,76,80,-4,11,46,193,69,4,76,france
677,Bâtiment,Niska,french hip hop,2019,12/31/1969,168,70,66,-7,7,65,211,29,14,76,france
678,Un peu de haine,PLK,french hip hop,2019,12/31/1969,134,66,77,-7,22,42,168,44,6,76,france
679,Ma belle,Moha La Squale,french hip hop,2019,12/31/1969,82,66,74,-6,9,47,158,76,6,76,france
680,Jamais,Mister V,french hip hop,2019,12/31/1969,150,67,64,-7,11,79,192,43,9,75,france
681,Dans l'univers,Nekfeu,french hip hop,2019,12/31/1969,132,42,64,-10,14,20,244,33,17,75,france
682,Maman ne le sait pas (feat. Niska),Ninho,french hip hop,2019,12/31/1969,145,88,76,-6,12,39,203,40,19,75,france
683,Street,Maes,french hip hop,2019,12/31/1969,148,30,66,-20,21,49,185,30,8,74,france
684,Aristocrate,Heuss L'enfoiré,french hip hop,2019,12/31/1969,117,61,94,-6,10,63,170,27,7,74,france
685,Méchant,Niska,french hip hop,2019,12/31/1969,98,80,53,-4,37,41,191,33,34,74,france
686,Marie,Koba LaD,french hip hop,2019,12/31/1969,132,75,78,-6,12,68,195,12,4,74,france
687,93% [Tijuana],GLK,francoton,2019,12/31/1969,136,69,80,-5,18,80,223,62,6,73,france
688,Distant,Maes,french hip hop,2019,12/31/1969,105,73,75,-6,7,49,162,56,19,72,france
689,Avant toi,Vitaa,francoton,2019,12/31/1969,142,40,63,-9,10,25,224,88,3,72,france
690,Elle est bonne sa mère,Vegedream,francoton,2019,12/31/1969,105,74,79,-5,34,47,197,33,6,70,france
691,Compliqué,Dadju,francoton,2019,12/31/1969,75,74,70,-7,16,93,215,55,5,68,france
692,Ma vie,Dadju,francoton,2019,12/31/1969,201,50,51,-8,16,32,209,12,8,68,france
693,Mortel,Koba LaD,french hip hop,2019,12/31/1969,154,69,58,-6,10,66,204,15,46,67,france
694,Un million par mois,Djadja & Dinaz,french hip hop,2019,12/31/1969,135,54,76,-6,13,72,189,66,5,67,france
695,Block,Larry,french hip hop,2019,12/31/1969,77,74,72,-7,41,71,157,29,28,65,france
697,Côte Ouest,47ter,french hip hop,2019,12/31/1969,152,59,77,-8,18,58,233,50,9,59,france
698,God Bless (feat. Damso),Hamza,belgian hip hop,2019,12/31/1969,83,57,86,-10,6,23,162,1,12,57,france
699,Reste,Maître Gims,french hip hop,2019,12/31/1969,100,54,75,-7,10,69,232,48,4,54,france
700,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,12/31/1969,130,61,95,-8,12,72,179,28,19,52,france
