,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
401,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,germany
402,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,germany
405,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,germany
407,Ride It,Regard,pop edm,2019,12/31/1969,118,75,88,-4,11,88,158,18,9,95,germany
413,Ayy Macarena,Tyga,pop rap,2019,12/31/1969,96,63,82,-6,7,72,132,13,23,90,germany
423,My Only Wish (This Year),Britney Spears,dance pop,2019,12/31/1969,147,73,67,-7,20,68,255,23,3,84,germany
426,COLT,Samra,german hip hop,2019,12/31/1969,90,53,54,-6,10,18,180,35,43,83,germany
427,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,12/31/1969,96,70,61,-4,57,67,192,13,37,83,germany
428,Roller,Apache 207,german hip hop,2019,12/31/1969,128,76,94,-6,19,68,157,3,17,82,germany
430,2002,Sido,german hip hop,2019,12/31/1969,160,69,66,-8,10,49,237,21,24,82,germany
431,Doch in der Nacht,Apache 207,german hip hop,2019,12/31/1969,131,83,90,-7,21,71,192,12,7,81,germany
433,Alien,RIN,german cloud rap,2019,12/31/1969,138,60,84,-6,11,85,209,30,6,80,germany
435,200 km/h,Apache 207,german hip hop,2019,12/31/1969,148,67,90,-6,11,41,163,27,16,79,germany
436,Wieso tust Du dir das an?,Apache 207,german hip hop,2019,12/31/1969,134,48,86,-7,12,46,176,29,6,79,germany
438,110,Capital Bra,german hip hop,2019,12/31/1969,179,75,48,-5,10,42,195,53,43,76,germany
439,Nur zur Info,Ufo361,german cloud rap,2019,12/31/1969,89,37,73,-12,11,23,142,17,44,75,germany
440,Mit Dir,Loredana,kosovan pop,2019,12/31/1969,196,53,75,-6,6,64,158,16,34,75,germany
441,Christmas Time,Bryan Adams,album rock,2019,12/31/1969,77,58,50,-4,10,32,243,47,3,72,germany
442,Keine Liebe,RIN,german cloud rap,2019,12/31/1969,104,80,80,-5,31,57,198,13,4,72,germany
445,STAR,Nimo,german hip hop,2019,12/31/1969,108,82,81,-5,17,60,162,38,9,71,germany
447,Vor der Tür,Gzuz,deep german hip hop,2019,12/31/1969,101,73,86,-6,10,20,171,2,19,63,germany
448,KEIN SCHLAF,Nimo,german hip hop,2019,12/31/1969,174,70,61,-6,12,43,200,31,17,61,germany
449,KARMA,Nimo,german hip hop,2019,12/31/1969,160,64,69,-6,33,53,255,14,8,59,germany
450,Skifahren,The Cratez,german hip hop,2019,12/31/1969,134,71,72,-7,15,44,163,22,25,51,germany
