,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
551,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,spain
552,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,spain
554,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,12/31/1969,105,72,72,-7,24,67,222,3,7,97,spain
555,Tusa,KAROL G,latin,2019,12/31/1969,101,72,80,-3,6,57,201,30,30,96,spain
557,Vete,Bad Bunny,latin,2019,12/31/1969,92,67,89,-4,10,53,192,4,19,94,spain
558,China,Anuel AA,latin,2019,12/31/1969,105,81,79,-4,8,61,302,8,9,94,spain
559,Fantasias,Rauw Alejandro,latin,2019,12/31/1969,94,70,88,-4,6,79,200,14,7,93,spain
560,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,12/31/1969,80,84,73,-5,18,62,271,2,7,92,spain
561,Callaita,Bad Bunny,latin,2019,12/31/1969,176,62,61,-5,24,24,251,60,31,92,spain
562,Whine Up,Nicky Jam,latin,2019,12/31/1969,105,67,82,-6,10,66,215,5,8,91,spain
563,Indeciso,Reik,latin,2019,12/31/1969,95,75,74,-5,11,90,217,18,5,90,spain
564,Aventura,Lunay,latin,2019,12/31/1969,92,73,73,-3,10,88,217,22,4,90,spain
565,"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,12/31/1969,92,76,78,-3,14,58,201,46,23,90,spain
566,Si Te Vas,Sech,panamanian pop,2019,12/31/1969,174,64,73,-4,14,55,205,9,13,90,spain
567,Quizas,Rich Music LTD,reggaeton,2019,12/31/1969,176,82,73,-2,23,68,216,3,15,90,spain
568,Hola - Remix,Dalex,latin,2019,12/31/1969,182,67,65,-6,8,34,250,47,31,89,spain
569,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,12/31/1969,170,71,74,-4,8,83,259,5,9,88,spain
570,Otro Trago - Remix,Sech,panamanian pop,2019,12/31/1969,176,79,73,-2,6,76,288,7,20,88,spain
571,No Me Conoce - Remix,Jhay Cortez,latin,2019,12/31/1969,92,79,81,-4,9,58,309,14,7,88,spain
572,Con Altura,ROSALÍA,r&b en espanol,2019,12/31/1969,98,69,88,-4,5,75,162,39,12,88,spain
573,Blanco,J Balvin,latin,2019,12/31/1969,100,71,87,-5,9,59,146,3,13,87,spain
574,Bellaquita - Remix,Dalex,latin,2019,12/31/1969,166,72,80,-4,18,76,305,14,8,87,spain
576,Te Quemaste,Manuel Turizo,colombian pop,2019,12/31/1969,176,77,73,-2,29,72,199,61,13,85,spain
577,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,12/31/1969,126,89,80,-4,29,46,170,4,7,85,spain
579,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,12/31/1969,178,75,67,-5,11,70,209,21,6,84,spain
580,Fantasía,Ozuna,latin,2019,12/31/1969,180,72,70,-6,9,78,175,23,9,84,spain
582,Sigues Con El,Dimelo Flow,latin,2019,12/31/1969,88,67,88,-3,7,68,227,11,11,83,spain
583,B11 (feat. Myke Towers),Rvssian,latin,2019,12/31/1969,100,72,76,-5,13,20,252,7,12,83,spain
584,Perreo en La Luna,Rich Music LTD,reggaeton,2019,12/31/1969,174,76,71,-4,37,72,219,27,29,83,spain
585,105 F Remix,KEVVO,perreo,2019,12/31/1969,100,75,90,-7,29,74,464,37,16,83,spain
586,Easy - Remix,Jhay Cortez,latin,2019,12/31/1969,94,75,89,-4,15,44,220,19,9,81,spain
587,Hasta Que Salga el Sol,Ozuna,latin,2019,12/31/1969,96,82,83,-5,13,60,188,2,7,81,spain
588,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,12/31/1969,106,52,86,-10,5,71,220,44,13,81,spain
589,Rueda,Chimbala,dembow,2019,12/31/1969,130,92,89,-2,5,96,211,17,9,78,spain
590,La Rubia - Remix 2,La Nueva Escuela,dembow,2019,12/31/1969,110,72,76,-4,38,75,211,32,13,77,spain
591,A Dónde Vamos,Morat,colombian pop,2019,12/31/1969,149,61,63,-13,23,96,203,1,4,77,spain
592,+,Aitana,latin pop,2019,12/31/1969,160,67,56,-4,12,68,219,11,3,76,spain
593,Zorra,Bad Gyal,rap catalan,2019,12/31/1969,176,65,64,-7,8,74,186,68,19,76,spain
594,Prendío,Rvfv,trap espanol,2019,12/31/1969,125,54,83,-10,13,90,190,17,9,76,spain
595,Se iluminaba,Fred De Palma,italian arena pop,2019,12/31/1969,124,69,79,-5,7,62,174,8,6,74,spain
596,La Cama,Lunay,latin,2019,12/31/1969,174,90,70,-3,18,82,189,20,6,74,spain
597,Si por mi fuera,Beret,spanish hip hop,2019,12/31/1969,150,75,70,-6,10,88,209,3,3,73,spain
598,Fuera De Mi Mente,Lérica,spanish pop,2019,12/31/1969,94,94,74,-2,5,70,181,17,10,73,spain
599,Goteo,Duki,argentine hip hop,2019,12/31/1969,108,78,47,-4,19,44,164,19,4,73,spain
600,Prendio - Remix,Rvfv,trap espanol,2019,12/31/1969,125,76,75,-6,8,75,191,19,6,61,spain
