Position,Track Name,Artist,Streams,URL,Week,Region
1,7 rings,Ariana Grande,400283,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-02-15,Belgium
2,"break up with your girlfriend, i'm bored",Ariana Grande,294843,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-02-15,Belgium
3,Sweet but Psycho,Ava Max,232864,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-02-15,Belgium
4,bury a friend,Billie Eilish,218172,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-02-15,Belgium
5,Shallow,Lady Gaga,216018,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-02-15,Belgium
6,High Hopes,Panic! At The Disco,197701,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-02-15,Belgium
7,"thank u, next",Ariana Grande,189932,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019-02-15,Belgium
8,Giant (with Rag'n'Bone Man),Calvin Harris,185307,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-02-15,Belgium
9,Without Me,Halsey,184863,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-02-15,Belgium
10,Happier,Marshmello,179630,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-02-15,Belgium
11,Wow.,Post Malone,179488,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-02-15,Belgium
12,Tout oublier,Angèle,179040,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019-02-15,Belgium
13,Be Alright,Dean Lewis,161957,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-02-15,Belgium
14,Dancing With A Stranger (with Normani),Sam Smith,160141,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-02-15,Belgium
15,Someone You Loved,Lewis Capaldi,155669,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-02-15,Belgium
16,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,143713,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-02-15,Belgium
17,Daar Gaat Ze (Nooit Verdiend),Dimitri Vegas & Like Mike,139437,https://open.spotify.com/track/1gnu3dukNUACZjNOF6NAwT,2019-02-15,Belgium
18,bad idea,Ariana Grande,137263,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg,2019-02-15,Belgium
19,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,134612,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-02-15,Belgium
20,Ordinary,Regi,129204,https://open.spotify.com/track/1D4TcxXCgq6WVrM2JLPffr,2019-02-15,Belgium
21,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,124462,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-02-15,Belgium
22,Let Me Down Slowly,Alec Benjamin,121684,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-02-15,Belgium
23,HUTS,The Blockparty,120682,https://open.spotify.com/track/0UMaqPntFC8dFOc7p3Iefj,2019-02-15,Belgium
24,In My Mind,Dynoro,116417,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-02-15,Belgium
25,Leef,André Hazes Jr.,115635,https://open.spotify.com/track/1MZkpg4JmhAWCvysue8VDd,2019-02-15,Belgium
26,needy,Ariana Grande,115384,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,2019-02-15,Belgium
27,MIDDLE CHILD,J. Cole,113063,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-02-15,Belgium
28,bloodline,Ariana Grande,112675,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,2019-02-15,Belgium
29,Youngblood,5 Seconds of Summer,112290,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-02-15,Belgium
30,when the party's over,Billie Eilish,110970,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-02-15,Belgium
31,Who Do You Love,The Chainsmokers,108699,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019-02-15,Belgium
32,NASA,Ariana Grande,106369,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,2019-02-15,Belgium
33,Promises (with Sam Smith),Calvin Harris,103202,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-02-15,Belgium
34,Let You Love Me,Rita Ora,102738,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019-02-15,Belgium
35,Say My Name,David Guetta,102569,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-02-15,Belgium
36,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,102452,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-02-15,Belgium
37,a lot,21 Savage,101913,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-02-15,Belgium
38,i'm so tired...,Lauv,100574,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-02-15,Belgium
39,fake smile,Ariana Grande,99942,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ,2019-02-15,Belgium
40,Bad Liar,Imagine Dragons,99125,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-02-15,Belgium
41,Going Bad (feat. Drake),Meek Mill,99088,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-02-15,Belgium
42,imagine,Ariana Grande,97311,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow,2019-02-15,Belgium
43,Mo Bamba,Sheck Wes,95253,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-02-15,Belgium
44,Djadja,Aya Nakamura,94086,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,2019-02-15,Belgium
45,Talk,Khalid,89425,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019-02-15,Belgium
46,SAD!,XXXTENTACION,87964,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-02-15,Belgium
47,ghostin,Ariana Grande,87011,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB,2019-02-15,Belgium
48,Look Back at It,A Boogie Wit da Hoodie,85766,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-02-15,Belgium
49,Eastside (with Halsey & Khalid),benny blanco,83736,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-02-15,Belgium
50,Trop beau,Lomepal,83304,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019-02-15,Belgium
51,Shotgun,George Ezra,82947,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-02-15,Belgium
52,Happy Now,Kygo,82712,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019-02-15,Belgium
53,Moonlight,XXXTENTACION,79606,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-02-15,Belgium
54,Bohemian Rhapsody - 2011 Mix,Queen,78822,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-02-15,Belgium
55,Khapta,Heuss L'enfoiré,77767,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR,2019-02-15,Belgium
56,2002,Anne-Marie,77687,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-02-15,Belgium
57,1000°C,Lomepal,75664,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019-02-15,Belgium
58,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,75504,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-02-15,Belgium
59,Hope,The Chainsmokers,75262,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-02-15,Belgium
60,make up,Ariana Grande,74688,https://open.spotify.com/track/27356GVuMPFWiJSZCragoM,2019-02-15,Belgium
61,Better Now,Post Malone,73843,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-02-15,Belgium
