Position,Track Name,Artist,Streams,URL,Week,Region
1,Otro Trago,Sech,2280202,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-07-05,Argentina
2,Soltera - Remix,Lunay,1875932,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-07-05,Argentina
3,Callaita,Bad Bunny,1852595,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-07-05,Argentina
4,Tal Vez,Paulo Londra,1464594,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-07-05,Argentina
5,Señorita,Shawn Mendes,1417915,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,2019-07-05,Argentina
6,Pa Mí - Remix,Dalex,1276466,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-07-05,Argentina
7,Con Altura,ROSALÍA,1244643,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-07-05,Argentina
8,Cuaderno,Dalex,1145448,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,2019-07-05,Argentina
9,22,TINI,1082709,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e,2019-07-05,Argentina
10,No Me Conoce - Remix,Jhay Cortez,1056988,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-07-05,Argentina
11,11 PM,Maluma,1023436,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-07-05,Argentina
12,Hitboy,Duki,927503,https://open.spotify.com/track/624AL3EwsrgGIp6bdwmXgo,2019-07-05,Argentina
13,Con Calma,Daddy Yankee,925666,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-07-05,Argentina
14,Runaway,Sebastian Yatra,911801,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-07-05,Argentina
15,Te Robaré,Nicky Jam,908807,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-07-05,Argentina
16,Que Mas Pues - Remix,Sech,865965,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-07-05,Argentina
17,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,865664,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP,2019-07-05,Argentina
18,Verte Ir,DJ Luian,849530,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-07-05,Argentina
19,Por Eso Vine,Paulo Londra,831307,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,2019-07-05,Argentina
20,"Tumbando el Club (feat. C.R.O, Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea,809003,https://open.spotify.com/track/0OWcpVA83HI8Pb5DybDuoX,2019-07-05,Argentina
21,Quien Empezó,j mena,788385,https://open.spotify.com/track/19S1u14a1mNsryjT7Nb7ri,2019-07-05,Argentina
22,La Cobra,j mena,778806,https://open.spotify.com/track/7tAFzqPUa2G7EziujIPP7K,2019-07-05,Argentina
23,Adan y Eva,Paulo Londra,728669,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-07-05,Argentina
24,Secreto,Anuel AA,641189,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-07-05,Argentina
25,QUE PRETENDES,J Balvin,633467,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-07-05,Argentina
26,Te Soñé De Nuevo,Ozuna,632167,https://open.spotify.com/track/5s8LepdwU0THzpd0M7nLsa,2019-07-05,Argentina
27,Homerun (Intro),Paulo Londra,630821,https://open.spotify.com/track/7kh95COsNZjnTmc6aF76n7,2019-07-05,Argentina
28,HP,Maluma,614306,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-07-05,Argentina
29,Un Año,Sebastian Yatra,613229,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,2019-07-05,Argentina
30,Calma - Remix,Pedro Capó,601545,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-07-05,Argentina
31,Cristina,Sebastian Yatra,581841,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,2019-07-05,Argentina
32,Si Se Da,Myke Towers,580769,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-07-05,Argentina
33,bad guy,Billie Eilish,549248,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-07-05,Argentina
