Position,Track Name,Artist,Streams,URL,Week,Region
1,DNA,KC Rebell,210875,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq,2019-03-08,Austria
2,Ferrari,Eno,189987,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO,2019-03-08,Austria
3,Capital Bra je m'appelle,Capital Bra,189844,https://open.spotify.com/track/6VMAFT0zfide2Jg8MVZAPz,2019-03-08,Austria
4,Gib Ihm,SHIRIN DAVID,184786,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs,2019-03-08,Austria
5,Prinzessa,Capital Bra,171417,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP,2019-03-08,Austria
6,Sweet but Psycho,Ava Max,143617,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-03-08,Austria
7,2x,Mathea,141962,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw,2019-03-08,Austria
8,Hobby Hobby,MERO,139904,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019-03-08,Austria
9,500 PS,Bonez MC,136362,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-03-08,Austria
10,Fragen,Azet,130941,https://open.spotify.com/track/26pr9oLIVAc1L62F2exIRT,2019-03-08,Austria
11,7 rings,Ariana Grande,130067,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-08,Austria
12,Benzema,Capital Bra,126418,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-03-08,Austria
13,Road2Goat,Shindy,123406,https://open.spotify.com/track/7jmyKXzjmjgmloEBZdFIRn,2019-03-08,Austria
14,High Hopes,Panic! At The Disco,117777,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-03-08,Austria
15,Shallow,Lady Gaga,114160,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-08,Austria
16,Speechless (feat. Erika Sirola),Robin Schulz,112540,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-03-08,Austria
17,Sucker,Jonas Brothers,110941,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-08,Austria
18,Baller los,MERO,106422,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-03-08,Austria
19,Tausend Tattoos,Sido,105976,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-03-08,Austria
20,Diablo,Luciano,105400,https://open.spotify.com/track/2myuZYePLUQV4I9KDbMmiW,2019-03-08,Austria
21,Giant (with Rag'n'Bone Man),Calvin Harris,104958,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-03-08,Austria
22,"break up with your girlfriend, i'm bored",Ariana Grande,97827,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-08,Austria
23,Kokain,Bonez MC,95025,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019-03-08,Austria
24,bury a friend,Billie Eilish,92191,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-03-08,Austria
25,Fading,Alle Farben,91566,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw,2019-03-08,Austria
26,Perfekt (feat. Sofiane),RAF Camora,90971,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-03-08,Austria
27,Wow.,Post Malone,88697,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-03-08,Austria
28,ROMEO & JULIET,Loredana,87770,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y,2019-03-08,Austria
29,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,86176,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-03-08,Austria
30,JAJA,Fero47,85572,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf,2019-03-08,Austria
31,Hallo Hallo,Azet,84873,https://open.spotify.com/track/3aYAAXlB1yvUs5MJ0FI3bh,2019-03-08,Austria
32,Without Me,Halsey,82654,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-03-08,Austria
33,i'm so tired...,Lauv,81688,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-03-08,Austria
34,Say My Name,David Guetta,78978,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-03-08,Austria
35,Happier,Marshmello,77069,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-03-08,Austria
36,DODI,Shindy,75798,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019-03-08,Austria
37,Licht (feat. Dardan),Bausa,73005,https://open.spotify.com/track/07zfbHDB3sGLROy9jVyTLP,2019-03-08,Austria
38,In My Mind,Dynoro,71484,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-03-08,Austria
39,WTF (feat. Amber Van Day),HUGEL,71219,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu,2019-03-08,Austria
