Position,Track Name,Artist,Streams,URL,Week,Region
1,Dance Monkey,Tones And I,777083,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-01,Belgium
2,Lose You To Love Me,Selena Gomez,343126,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-01,Belgium
3,Ride It,Regard,330184,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-11-01,Belgium
4,Lalala,Y2K,299905,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-11-01,Belgium
5,Señorita,Shawn Mendes,274729,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-01,Belgium
6,Memories,Maroon 5,267491,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-11-01,Belgium
7,Hoe Het Danst,Marco Borsato,266346,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq,2019-11-01,Belgium
8,POPOPOP,Gambi,254439,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM,2019-11-01,Belgium
9,Someone You Loved,Lewis Capaldi,253160,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-11-01,Belgium
10,HIGHEST IN THE ROOM,Travis Scott,239118,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-11-01,Belgium
11,Circles,Post Malone,231841,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-11-01,Belgium
12,Reünie,Snelle,230397,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu,2019-11-01,Belgium
13,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,207339,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-11-01,Belgium
14,Instagram,Dimitri Vegas & Like Mike,206892,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,2019-11-01,Belgium
15,Ransom,Lil Tecca,197665,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019-11-01,Belgium
