Position,Track Name,Artist,Streams,URL,Week,Region
1,Señorita,Shawn Mendes,33394,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-23,Bulgaria
2,Old Town Road - Remix,Lil Nas X,19896,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-23,Bulgaria
3,Ransom,Lil Tecca,16915,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019-08-23,Bulgaria
4,bad guy,Billie Eilish,16253,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-23,Bulgaria
5,boyfriend (with Social House),Ariana Grande,16116,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-23,Bulgaria
6,Piyan,Preslava,15061,https://open.spotify.com/track/63YAKQREBZ22KEBQJNOFas,2019-08-23,Bulgaria
7,Panika,Galena,14388,https://open.spotify.com/track/5wcPNdRpptulbKgLljGjMh,2019-08-23,Bulgaria
8,How Do You Sleep?,Sam Smith,14297,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-23,Bulgaria
9,Mother's Daughter,Miley Cyrus,14295,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr,2019-08-23,Bulgaria
10,Beautiful People (feat. Khalid),Ed Sheeran,14227,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-08-23,Bulgaria
11,Lalala,Y2K,13900,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-08-23,Bulgaria
12,I Don't Care (with Justin Bieber),Ed Sheeran,13642,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-23,Bulgaria
13,Da Ili Ne,Krisko,12614,https://open.spotify.com/track/2rT6xyUhl3d1rGnvSjnWXz,2019-08-23,Bulgaria
14,Black Panther (feat. Rafal),Nebezao,11975,https://open.spotify.com/track/4efLhkYJJf2R6WhbwpFi85,2019-08-23,Bulgaria
15,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,11900,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-23,Bulgaria
16,Bravo,Itzo Hazarta,11844,https://open.spotify.com/track/0ypYK4kpq4ePvYyxZFrJuN,2019-08-23,Bulgaria
