Position,"Track Name",Artist,URL
1,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
2,"TKN (feat. Travis Scott)",ROSALÍA,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
3,"Watermelon Sugar","Harry Styles",https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
4,Amarillo,"J Balvin",https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
5,Safaera,"Bad Bunny",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
6,Colocao,"Nicki Nicole",https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
7,"Alocao (With Bad Gyal)","Omar Montes",https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
8,"Una Foto en Blanco y Negro","David Otero",https://open.spotify.com/track/4BNqM0h2wukiQkAUKZjurV
9,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
10,Narcos,"Anuel AA",https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
11,Fabuloso,Sech,https://open.spotify.com/track/3cg2Y9mIiYNdcPTLKaQgK3
12,"La Rubia - Remix 2","La Nueva Escuela",https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
13,"Caminando por la vida",Melendi,https://open.spotify.com/track/3v1dCP3hk2djfWryqfp7sx
14,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,"La Difícil","Bad Bunny",https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
16,"Déjala Que Baile (with Alejandro Sanz & Arkano)",Melendi,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd
17,"bad guy","Billie Eilish",https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,"CANCIÓN CON YANDEL",Yandel,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
19,GOOBA,6ix9ine,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
20,"Don't Stop Me Now - 2011 Mix",Queen,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
21,"Creep - mint Singles",R3HAB,https://open.spotify.com/track/3H5RcWUThB3fXf1fD5fUop
22,"7 rings","Ariana Grande",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
23,Valentina,"31 FAM",https://open.spotify.com/track/5bs5tYbTt8XkRKZkc2TDXd
24,"Just the Way You Are","Bruno Mars",https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
25,"Peter Pan","El Canto Del Loco",https://open.spotify.com/track/1gkBsKxTpVHIn1nLf05CUo
26,"Ganas de Ti","Wisin & Yandel",https://open.spotify.com/track/4kuQJb8ghj6268fBTtB3bX
27,Ransom,"Lil Tecca",https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
28,"Quiero tener tu presencia","Seguridad Social",https://open.spotify.com/track/3f2k0XTc2ZXG17jEMDu8pp
29,Camins,"Sopa De Cabra",https://open.spotify.com/track/3XN9GOkJsXFALvfFbzTAN6
30,"Te Vi","Piso 21",https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
31,"Godzilla (feat. Juice WRLD)",Eminem,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
32,"Cuando estés aquí","Pablo Alborán",https://open.spotify.com/track/1yO5KgygGOA8FsZOhmyrUb
33,"Que Mas Pues - Remix",Sech,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
34,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,https://open.spotify.com/track/14ngWWxvUSnIMXgF6rzSk1
35,"Disfruto - Audioiko Remix","Carla Morrison",https://open.spotify.com/track/4hjUyt9Dr1VN5LBtBBM2W2
36,"Havana (feat. Young Thug)","Camila Cabello",https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
37,"Andas En Mi Cabeza","Chino & Nacho",https://open.spotify.com/track/23WI5V2eD4EyGKxSl7Pyeq
38,"Mi Héroe","Antonio Orozco",https://open.spotify.com/track/01SoeJJ3ICXaWLBp1jnWk8
39,"Pa ti pa mí na má","Demarco Flamenco",https://open.spotify.com/track/2013yX7IujgpGJHzz6Qqsi
40,"Maniac - From ""Flashdance""","Michael Sembello",https://open.spotify.com/track/3RE7OK2OsJfRHPzTtnwiHq
41,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
42,"The Less I Know The Better","Tame Impala",https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
43,"El Perdón","Nicky Jam",https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr
44,"Quan Tot s'enlaira",Txarango,https://open.spotify.com/track/7cFSVDWmoFTOiR5QiW6kny
