Position,"Track Name",Artist,URL
1,"Tattoo - Remix with Camilo","Rauw Alejandro",https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
2,"La Curiosidad","Jay Wheeler",https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
3,"Djadja (feat. Maluma) - Remix","Aya Nakamura",https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
4,"Ay, DiOs Mío!","KAROL G",https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
5,"Pa toda la vida (feat. Mozart La Para)","Don Patricio",https://open.spotify.com/track/6DDb7XRNUzeHmSoTbw5nmm
6,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
7,"Sueño (con Pablo Alborán)",Beret,https://open.spotify.com/track/71M1szVbVYZM5M6QlIm6aC
8,MAMACITA,"Black Eyed Peas",https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
9,"Tak Tiki Tak","Harry Nach",https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
10,"Indios y Vaqueros",Sinsinati,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T
11,"Loco - Remix",Farruko,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
12,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,"La flaca","Jarabe De Palo",https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
14,"Before You Go","Lewis Capaldi",https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
15,"Qué Bonito Es Querer","Manuel Carrasco",https://open.spotify.com/track/6uzGmmQ4CuG9HvZktEy0LF
16,Djadja,"Aya Nakamura",https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
17,"Eso Que Tú Me Das","Jarabe De Palo",https://open.spotify.com/track/40tFJtuES1da2fg0OurUdI
18,"Every Breath You Take","The Police",https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
19,"Creep - mint Singles",R3HAB,https://open.spotify.com/track/3H5RcWUThB3fXf1fD5fUop
20,"Wonderwall - Remastered",Oasis,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
21,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
22,"RITMO (Bad Boys For Life)","Black Eyed Peas",https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
23,"Si Me Dices Que Sí",Reik,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
24,"Another One Bites The Dust - Remastered 2011",Queen,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
25,"Por la Raja de Tu Falda",Estopa,https://open.spotify.com/track/5OaqffbeQyVVqtnA71Ci7K
26,"Yo x Ti, Tu x Mi",ROSALÍA,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
27,"Don't Call Me Up",Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
28,Celébrate,"Miki Núñez",https://open.spotify.com/track/60TClTKDePeUjKyfotkLEg
29,"Marta, Sebas, Guille y los demás",Amaral,https://open.spotify.com/track/30ddpolNHwXlrS5XO8MiiO
30,"La casa por el tejado","Fito y Fitipaldis",https://open.spotify.com/track/428cFrawSqeLoyooQjAW9d
31,"Dancing In The Moonlight (feat. NEIMY)",Jubël,https://open.spotify.com/track/4GSDkZt7GcmzBWmsMcpaVO
32,"Por Primera Vez",Camilo,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
33,"I Don't Care (with Justin Bieber)","Ed Sheeran",https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
34,"Ella Quiere Beber - Remix","Anuel AA",https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
35,"Cooler Than Me","Lucky Luke",https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
36,Lovefool,twocolors,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
37,Thunderstruck,AC/DC,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
38,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
39,"Friday I'm In Love","The Cure",https://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n
40,"Quiero tener tu presencia","Seguridad Social",https://open.spotify.com/track/3f2k0XTc2ZXG17jEMDu8pp
41,Agua,"Jarabe De Palo",https://open.spotify.com/track/5omgFpiMt1CGHjQGfkwzvz
42,Creep,Radiohead,https://open.spotify.com/track/6b2oQwSGFkzsMtQruIWm2p
43,"Dust in the Wind",Kansas,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI
44,"Vaina Loca",Ozuna,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
45,"Tu Eres Un Bom Bom - Remix","Kafu Banton",https://open.spotify.com/track/2635EEV2Oi6wg6GV2TPYVx
46,"Una Lady Como Tú","Manuel Turizo",https://open.spotify.com/track/5jf0PmPCHefQ78uAzqIqbj
47,"Quiero, Quiero y Quiero","Arnau Griso",https://open.spotify.com/track/1LyZX8u8DqVFULMViZUwcn
48,"Pan y mantequilla","Efecto Pasillo",https://open.spotify.com/track/2kZJ5wrpq1gCdHmVEjahoH
49,Zombie,"The Cranberries",https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF
50,"Everybody Hurts",R.E.M.,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP
