Position,Track Name,Artist,Streams,URL,Week,Region
1,Con Calma,Daddy Yankee,2441251,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-15,Argentina
2,Secreto,Anuel AA,1713852,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-03-15,Argentina
3,Calma - Remix,Pedro Capó,1682214,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-03-15,Argentina
4,Adan y Eva,Paulo Londra,1319520,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-03-15,Argentina
5,Desconocidos,Mau y Ricky,1144786,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-03-15,Argentina
6,Un Año,Sebastian Yatra,1070041,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019-03-15,Argentina
7,Sin Culpa (feat. DrefQuila),Duki,1067782,https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS,2019-03-15,Argentina
8,Baila Baila Baila,Ozuna,997708,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-03-15,Argentina
9,Adictiva,Daddy Yankee,949407,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-03-15,Argentina
10,Forever Alone,Paulo Londra,932788,https://open.spotify.com/track/5NPzbTzFxIQPaheZuPhn4f,2019-03-15,Argentina
11,Pa Mí - Remix,Dalex,930846,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,2019-03-15,Argentina
12,Amanece,Anuel AA,921096,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-03-15,Argentina
13,Reggaeton,J Balvin,899559,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-03-15,Argentina
14,HP,Maluma,769006,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW,2019-03-15,Argentina
15,MIA (feat. Drake),Bad Bunny,738067,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-03-15,Argentina
16,Te Vi,Piso 21,727318,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-03-15,Argentina
17,7 rings,Ariana Grande,684313,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-15,Argentina
18,Me Voy,Rombai,668985,https://open.spotify.com/track/22sESxzbY1O1E19xjOTaYf,2019-03-15,Argentina
19,Ya No Tiene Novio,Sebastian Yatra,663368,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-03-15,Argentina
20,Ella Quiere Beber - Remix,Anuel AA,647128,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-03-15,Argentina
21,Puntos Suspensivos,Piso 21,630303,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-03-15,Argentina
22,Ta To Gucci (Remix),Cauty,626498,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C,2019-03-15,Argentina
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,622125,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-03-15,Argentina
24,PPP,Kevin Roldan,609887,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-03-15,Argentina
25,Shallow,Lady Gaga,608981,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-15,Argentina
26,Créeme,KAROL G,566804,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-03-15,Argentina
27,NI BIEN NI MAL,Bad Bunny,566363,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-03-15,Argentina
28,Imposible,Luis Fonsi,561872,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF,2019-03-15,Argentina
29,Cuando Te Besé,Becky G,556020,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-03-15,Argentina
30,Baby,Amenazzy,534728,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp,2019-03-15,Argentina
31,Bubalu,Becky G,527316,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-03-15,Argentina
32,Esclavo de Tus Besos,Manuel Turizo,519120,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-03-15,Argentina
33,"TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",Modo Diablo,482865,https://open.spotify.com/track/3aozFlnbP7zhcJKi9O0FUz,2019-03-15,Argentina
34,Amigos Con Derechos,Reik,473457,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-03-15,Argentina
35,Me Vas a Extrañar - En Vivo,Damas Gratis,466309,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW,2019-03-15,Argentina
36,BEBE,6ix9ine,448070,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-03-15,Argentina
37,Parte de Mi (feat. Lit Killah),FMK,440539,https://open.spotify.com/track/4OocfNloIRk77ncIKBdYwb,2019-03-15,Argentina
38,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,429170,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX,2019-03-15,Argentina
39,Tan Bien (feat. Agus Padilla),Lit Killah,418251,https://open.spotify.com/track/43Q1jBoHh3pQkh3Oy7TA1g,2019-03-15,Argentina
40,Aullando,Wisin & Yandel,417941,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-03-15,Argentina
41,Solo de Mi,Bad Bunny,415503,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-03-15,Argentina
42,Sola,Manuel Turizo,395937,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-03-15,Argentina
43,No Lo Entiendo,Bhavi,378134,https://open.spotify.com/track/2pfV8fZZdLRsZYatVGKlUq,2019-03-15,Argentina
44,Que Le De,Rauw Alejandro,376535,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ,2019-03-15,Argentina
45,Vaina Loca,Ozuna,362872,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-03-15,Argentina
46,Sucker,Jonas Brothers,359059,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-15,Argentina
47,"break up with your girlfriend, i'm bored",Ariana Grande,349137,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-15,Argentina
48,Asesina - Remix,Brytiago,348369,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019-03-15,Argentina
