Position,Track Name,Artist,Streams,URL,Week,Region
1,Goutte d'eau,Ninho,4691293,https://open.spotify.com/track/5ojNTROUJJgCFFbdD3xTZn,2019-03-01,France
2,Khapta,Heuss L'enfoiré,2488086,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR,2019-03-01,France
3,7 rings,Ariana Grande,1459135,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-01,France
4,Tout oublier,Angèle,1369904,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019-03-01,France
5,Les méchants,Heuss L'enfoiré,1317060,https://open.spotify.com/track/0r64LBR8RlnXcdd5HTFubd,2019-03-01,France
6,Trop beau,Lomepal,1296665,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,2019-03-01,France
7,1000°C,Lomepal,1183479,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou,2019-03-01,France
8,Malade,Roméo Elvis,1138780,https://open.spotify.com/track/0MEriM1ajYAQOZTzLSz7o7,2019-03-01,France
9,Sale mood,Bramsito,1120346,https://open.spotify.com/track/7oxSh7uiB74lWGVIv2Qtlm,2019-03-01,France
10,Shallow,Lady Gaga,1107806,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-03-01,France
11,Sweet but Psycho,Ava Max,1066869,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-03-01,France
12,Gun salute,Kaaris,1060250,https://open.spotify.com/track/5UgUGPknu6JRgawaJAO9rX,2019-03-01,France
13,On Fleek,Eva,1034655,https://open.spotify.com/track/4MSFxqmkiMxq7e61jTqgqt,2019-03-01,France
14,Madrina,Maes,1030467,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH,2019-03-01,France
15,HS (feat. SCH),Hamza,919794,https://open.spotify.com/track/3Orh7rBLR3SbekWQQs3N1L,2019-03-01,France
16,MIA (feat. Drake),Bad Bunny,889088,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-03-01,France
17,La dot,Aya Nakamura,885893,https://open.spotify.com/track/3aRgAfrt6aQW8IimLq2aVG,2019-03-01,France
18,Aventador,Koba LaD,880115,https://open.spotify.com/track/4je4fmupGLC9rTN4VgZRgY,2019-03-01,France
19,PGP,Booba,867770,https://open.spotify.com/track/38Eq6RgIxOdt4twqyVAPCn,2019-03-01,France
20,Giant (with Rag'n'Bone Man),Calvin Harris,850071,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-03-01,France
21,"break up with your girlfriend, i'm bored",Ariana Grande,835947,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019-03-01,France
22,Oh Man,Jain,818229,https://open.spotify.com/track/0F3fscqwFqD52Tpbep5hBW,2019-03-01,France
23,Say My Name,David Guetta,791890,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019-03-01,France
24,High Hopes,Panic! At The Disco,785251,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-03-01,France
25,Speechless (feat. Erika Sirola),Robin Schulz,727342,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-03-01,France
26,Balance ton quoi,Angèle,683639,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa,2019-03-01,France
27,Ma 6t a craqué (feat. Ninho),Kpoint,677269,https://open.spotify.com/track/2KtpMkc1TS1FMwy9FR0gCM,2019-03-01,France
28,Sheitana (feat. Ninho),Hornet La Frappe,671467,https://open.spotify.com/track/1GOIfWQmA3Tp6GlwcCd35K,2019-03-01,France
