Position,Track Name,Artist,Streams,URL,Week,Region
1,Señorita,Shawn Mendes,54083728,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-09,Global
2,China,Anuel AA,33436706,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-09,Global
3,boyfriend (with Social House),Ariana Grande,31301265,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-09,Global
4,Beautiful People (feat. Khalid),Ed Sheeran,26624472,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-08-09,Global
5,Goodbyes (Feat. Young Thug),Post Malone,26048566,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-08-09,Global
6,I Don't Care (with Justin Bieber),Ed Sheeran,26001586,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-09,Global
7,Ransom,Lil Tecca,25530739,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019-08-09,Global
8,Old Town Road - Remix,Lil Nas X,22538675,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-09,Global
9,How Do You Sleep?,Sam Smith,21985045,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-09,Global
10,bad guy,Billie Eilish,21585475,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-09,Global
11,Callaita,Bad Bunny,20665933,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-09,Global
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,19236420,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-09,Global
13,Someone You Loved,Lewis Capaldi,18661478,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-08-09,Global
14,Otro Trago - Remix,Sech,17843732,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-09,Global
15,Money In The Grave (Drake ft. Rick Ross),Drake,16812246,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019-08-09,Global
16,No Guidance (feat. Drake),Chris Brown,16053434,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019-08-09,Global
17,LA CANCIÓN,J Balvin,15859308,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-09,Global
18,Lalala,Y2K,15632438,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-08-09,Global
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,15581098,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-08-09,Global
20,Piece Of Your Heart,MEDUZA,15348423,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-08-09,Global
21,Truth Hurts,Lizzo,15276606,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-08-09,Global
22,Panini,Lil Nas X,15139448,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,2019-08-09,Global
23,Soltera - Remix,Lunay,14708036,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-08-09,Global
24,No Me Conoce - Remix,Jhay Cortez,14438153,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-09,Global
25,bad guy (with Justin Bieber),Billie Eilish,14340470,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT,2019-08-09,Global
26,If I Can't Have You,Shawn Mendes,12994956,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2019-08-09,Global
27,Con Calma,Daddy Yankee,12416459,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-08-09,Global
28,It's You,Ali Gatie,12114496,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-08-09,Global
29,Dance Monkey,Tones And I,12105501,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-08-09,Global
30,QUE PRETENDES,J Balvin,11989247,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-09,Global
31,Takeaway (feat. Lennon Stella),The Chainsmokers,11661390,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe,2019-08-09,Global
32,11 PM,Maluma,11527467,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-09,Global
33,7 rings,Ariana Grande,11485369,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-08-09,Global
34,Otro Trago,Sech,11343419,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-09,Global
35,Antisocial (with Travis Scott),Ed Sheeran,11086286,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW,2019-08-09,Global
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,11060742,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,2019-08-09,Global
37,Never Really Over,Katy Perry,10784776,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-08-09,Global
38,The London (feat. J. Cole & Travis Scott),Young Thug,10733921,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,2019-08-09,Global
39,"fuck, i'm lonely",Lauv,10638186,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,2019-08-09,Global
40,Higher Love,Kygo,10621066,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-08-09,Global
41,Sucker,Jonas Brothers,10512278,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2019-08-09,Global
42,You Need To Calm Down,Taylor Swift,10504674,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-08-09,Global
43,Shallow,Lady Gaga,10258686,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-08-09,Global
44,Con Altura,ROSALÍA,10184006,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-09,Global
