Region,latitude,longitude,Streams,Track Name,Artist,acousticness,danceability,duration_ms,energy,key,top genre,liveness,instrumentalness,loudness,mode,popularity,valence,tempo,speechiness
Argentina,-38.4161,-63.6167,6130355393,12960,12960,0.313061284,0.690349867,217643.2609,0.563346081,7,latin,0.181316585,0.030664936,-7.183961,0.581976524,76.12381674,0.499810034,118.5417675,0.118844301
Austria,47.5162,14.5501,951839187,13887,13887,0.378936783,0.624638523,196711.4295,0.55865515,1,pop,0.172285509,0.013874497,-7.145170259,0.693013972,71.16566866,0.512023234,124.3152944,0.090487904
Belgium,50.5039,4.4699,1488201124,14871,14871,0.357552513,0.627807381,202691.9305,0.567706668,1,pop,0.177275081,0.022677084,-7.093925647,0.66096444,72.95366379,0.498665154,122.0852957,0.092014116
Bolivia,-16.2902,-63.5887,387999918,13748,13748,0.324195728,0.685043286,214988.0648,0.576067549,1,latin,0.154246733,0.021163817,-6.813428729,0.603253377,74.66611525,0.530711277,123.1491177,0.107964654
Brazil,-14.235,-51.9253,12737714153,11924,11924,0.360407511,0.665611612,209658.1798,0.532604284,1,pop,0.171494532,0.028307677,-7.101187711,0.548478016,80.70180383,0.493567926,121.7301894,0.113667418
Bulgaria,42.7339,25.4858,108135054,13966,13966,0.317270827,0.664992021,198517.7209,0.573566502,1,pop,0.180641419,0.019305619,-6.934921805,0.597852894,75.24358044,0.477703946,123.7755952,0.113537255
Canada,56.1304,-106.3468,7729077937,16054,16054,0.338650231,0.648176488,196418.5071,0.567998696,1,adult standards,0.174302285,0.013583016,-7.225650162,0.664967154,71.63084616,0.501075154,122.413495,0.104291283
Chile,-35.6751,-71.543,6498091753,13147,13147,0.283386145,0.705830376,213936.9065,0.598036348,1,latin,0.164671657,0.031072345,-6.773036348,0.524881004,76.57031588,0.489878018,122.865965,0.138520943
Colombia,4.5709,-74.2973,1930853993,13809,13809,0.328472119,0.70089134,217142.1426,0.590761445,1,latin,0.149019443,0.018649429,-6.568280199,0.623000552,75.77220077,0.569929013,120.3778064,0.106459018
Global,,,1.76934E+11,16495,16495,0.356844904,0.652788824,198062.3558,0.55897086,1,latin,0.174858176,0.015628599,-7.156058165,0.64529768,72.9377214,0.496066564,121.4731521,0.104755571
Great Britain,55.3781,-3.436,14374858089,15282,15282,0.346519481,0.62098032,203695.8299,0.583071021,1,pop,0.17390183,0.014486212,-7.233816319,0.695937392,70.4985614,0.517484682,121.9674468,0.085436621
Switzerland,46.8182,8.2275,1326043729,15208,15208,0.374261429,0.634796699,197590.2594,0.555194345,1,pop,0.178080847,0.020584835,-7.108047884,0.664487661,71.88870731,0.502283608,123.6089421,0.090060762
United States of America,37.0902,-95.7129,51178561584,15780,15780,0.33600692,0.665130002,192384.0636,0.560771207,1,adult standards,0.168922375,0.01418984,-7.251565001,0.639752184,72.30743449,0.483159821,123.2676438,0.11998444
