Position,Track Name,Artist,Streams,URL,Week,Region
1,Dance Monkey,Tones And I,316946,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019-11-15,Austria
2,Roller,Apache 207,293115,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,2019-11-15,Austria
3,KARMA,Nimo,221986,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM,2019-11-15,Austria
4,Kafa Leyla,BRADO,192961,https://open.spotify.com/track/1BEo3epznRQuYhuQH8bZu9,2019-11-15,Austria
5,110,Capital Bra,189550,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC,2019-11-15,Austria
6,Puta Madre - Bonustrack,RAF Camora,180826,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO,2019-11-15,Austria
7,Wieso tust Du dir das an?,Apache 207,172535,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89,2019-11-15,Austria
8,Unnormal,RAF Camora,164279,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI,2019-11-15,Austria
9,Swish,Summer Cem,158675,https://open.spotify.com/track/4ktwDUoKdVlk50lUlSIMEY,2019-11-15,Austria
10,Seele,Azet,156865,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx,2019-11-15,Austria
11,200 km/h,Apache 207,156324,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q,2019-11-15,Austria
12,Lose You To Love Me,Selena Gomez,149141,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019-11-15,Austria
13,Adriana,RAF Camora,132360,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt,2019-11-15,Austria
14,2002,Sido,129353,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b,2019-11-15,Austria
15,Circles,Post Malone,128001,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-11-15,Austria
16,hot girl bummer,blackbear,124423,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019-11-15,Austria
17,Honda Civic,The Cratez,124103,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud,2019-11-15,Austria
18,Alphagenetik,Kollegah,114012,https://open.spotify.com/track/41mcqIrCMHnA6YuusaqPLc,2019-11-15,Austria
19,HIGHEST IN THE ROOM,Travis Scott,113503,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019-11-15,Austria
20,Keine Liebe,RIN,109128,https://open.spotify.com/track/41wZE5FpxbPaZqXtlmBhPG,2019-11-15,Austria
21,Doch in der Nacht,Apache 207,106928,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi,2019-11-15,Austria
22,Don't Start Now,Dua Lipa,106716,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019-11-15,Austria
23,Sag ihnen 2,RAF Camora,103866,https://open.spotify.com/track/7vvMntVANXAQMGJZV6nWvw,2019-11-15,Austria
24,PHANTOM (feat. Summer Cem),reezy,103503,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU,2019-11-15,Austria
25,Someone You Loved,Lewis Capaldi,101919,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-11-15,Austria
26,Memories,Maroon 5,101148,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-11-15,Austria
27,Verändert,RAF Camora,100866,https://open.spotify.com/track/3ViSFt768Kx9FRDRnyad2j,2019-11-15,Austria
28,Tilidin,Capital Bra,100071,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU,2019-11-15,Austria
29,Ride It,Regard,98902,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019-11-15,Austria
30,ROXANNE,Arizona Zervas,92746,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo,2019-11-15,Austria
31,Fratello,Ghetto Phénomène,91638,https://open.spotify.com/track/1WqsQ3hjFZ1JOWWklngh5T,2019-11-15,Austria
32,Better,Lena,91253,https://open.spotify.com/track/5Pwu8NkDhEkObPp8TvHMUn,2019-11-15,Austria
33,Zenit,RAF Camora,91057,https://open.spotify.com/track/22RbqLRBiP2NJ9sbOHCiRl,2019-11-15,Austria
34,1000 Hits,Jamule,89423,https://open.spotify.com/track/22XKrkW2HeaLlxNDQs14iG,2019-11-15,Austria
35,Vendetta,RAF Camora,87974,https://open.spotify.com/track/6aoMCqHqnTGwOzDARaYvic,2019-11-15,Austria
36,bad guy,Billie Eilish,87865,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-11-15,Austria
37,Señorita,Shawn Mendes,87422,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-11-15,Austria
38,Summer Cem (feat. Luciano),Summer Cem,87201,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA,2019-11-15,Austria
39,Eiskalt,Loredana,85495,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU,2019-11-15,Austria
40,Beautiful People (feat. Khalid),Ed Sheeran,83707,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019-11-15,Austria
41,Finale 1150,RAF Camora,77749,https://open.spotify.com/track/6rK8aUHzuEyZ9KXDNbMhi1,2019-11-15,Austria
42,Ponny,Yung Hurn,77735,https://open.spotify.com/track/4hpiu5gL0eZxjynnGmrP0A,2019-11-15,Austria
43,Outnumbered,Dermot Kennedy,76875,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,2019-11-15,Austria
44,Traum,RAF Camora,75666,https://open.spotify.com/track/13zoYtWNcYp5G6JZjA4yCz,2019-11-15,Austria
45,Kein Plan,Loredana,75036,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU,2019-11-15,Austria
46,Huracan,Samra,74758,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1,2019-11-15,Austria
47,Kreiert,RAF Camora,73841,https://open.spotify.com/track/21FKCr5C1okDoukQ8FOyIw,2019-11-15,Austria
48,Takeaway (feat. Lennon Stella),The Chainsmokers,73557,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S,2019-11-15,Austria
49,Wieder Lila,Samra,73499,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,2019-11-15,Austria
50,500 PS,Bonez MC,70700,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-11-15,Austria
51,Berlin lebt wie nie zuvor,Capital Bra,67968,https://open.spotify.com/track/2pfio0uHpT4USTPBNeTIWo,2019-11-15,Austria
52,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,67420,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019-11-15,Austria
53,Stars,VIZE,63914,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet,2019-11-15,Austria
54,Diamonds (feat. Capital Bra),Summer Cem,63877,https://open.spotify.com/track/2nPJnablplDgVVgSDF9BAs,2019-11-15,Austria
55,Light,Jerome,62366,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH,2019-11-15,Austria
56,Cinema,RAF Camora,61631,https://open.spotify.com/track/6gyZvTKR37xdESv3OEetaw,2019-11-15,Austria
57,Puta Madre - Long Version,RAF Camora,61098,https://open.spotify.com/track/1WtdirsTQdZzndykSl7aQr,2019-11-15,Austria
58,Primetime,Summer Cem,61031,https://open.spotify.com/track/4mHssPrHQI9DUjRiFrPCvb,2019-11-15,Austria
59,Sex mit dir,Apache 207,60153,https://open.spotify.com/track/0PEwVF6TStGXMTnQMAk9kl,2019-11-15,Austria
60,Trampoline (with ZAYN),SHAED,60005,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019-11-15,Austria
61,Kein Problem,Apache 207,59087,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s,2019-11-15,Austria
62,Vermissen (feat. Henning May),Juju,58871,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz,2019-11-15,Austria
63,Higher Love,Kygo,58292,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-11-15,Austria
64,Genick,Loredana,58122,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH,2019-11-15,Austria
65,Lose Control,MEDUZA,58072,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2019-11-15,Austria
66,Hate Me (with Juice WRLD),Ellie Goulding,57481,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2019-11-15,Austria
67,Castles,Freya Ridings,57351,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n,2019-11-15,Austria
68,Rescue Me,OneRepublic,56568,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,2019-11-15,Austria
69,Nichts als Nichts,RAF Camora,55566,https://open.spotify.com/track/70QKHzL4xP2d5jBJreVkvQ,2019-11-15,Austria
70,I Don't Care (with Justin Bieber),Ed Sheeran,55510,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-11-15,Austria
71,Chaos,Mathea,55142,https://open.spotify.com/track/74GrgSGucjqiQ0l7ptknoB,2019-11-15,Austria
72,Piece Of Your Heart,MEDUZA,54683,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2019-11-15,Austria
73,Fabergé,RIN,54187,https://open.spotify.com/track/7lnQCEtaDJeMZN75siSxLc,2019-11-15,Austria
74,YKKE,Ufo361,53939,https://open.spotify.com/track/78aLTdpQZab1Cd7HYvxI3P,2019-11-15,Austria
75,Doppel C,Yung Hurn,52737,https://open.spotify.com/track/6pGmYoIrW5wOSzcBvDXEdA,2019-11-15,Austria
76,All I Want for Christmas Is You,Mariah Carey,52457,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019-11-15,Austria
77,Bandit (with YoungBoy Never Broke Again),Juice WRLD,52126,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019-11-15,Austria
78,1000x COOLER,TJ_beastboy,51502,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk,2019-11-15,Austria
79,Hoch,Tim Bendzko,51321,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze,2019-11-15,Austria
80,MONEYHONEYDRIP,Jamule,51027,https://open.spotify.com/track/7uj8AUQSUg8ZAzabYLwt8f,2019-11-15,Austria
81,47,Fero47,50807,https://open.spotify.com/track/4c7js2YGZCuis3nGY5x8Lh,2019-11-15,Austria
82,Illegal,Yung Hurn,50428,https://open.spotify.com/track/2iiZRT5lWmQ4D6dDW1Efqb,2019-11-15,Austria
83,Jetzt rufst du an,Loredana,50108,https://open.spotify.com/track/46QHfb0an5B7cgHRfuDHas,2019-11-15,Austria
84,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,50064,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-11-15,Austria
85,Nummer 1,Capital Bra,49518,https://open.spotify.com/track/3ME2RHvx9JyVQjFFMbLIvt,2019-11-15,Austria
86,Goodbyes (Feat. Young Thug),Post Malone,49191,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019-11-15,Austria
87,Liar,Camila Cabello,49004,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM,2019-11-15,Austria
88,Mary,Bausa,48964,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV,2019-11-15,Austria
89,RITMO (Bad Boys For Life),Black Eyed Peas,48855,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2019-11-15,Austria
90,Look At Her Now,Selena Gomez,48293,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,2019-11-15,Austria
91,Monster,LUM!X,48187,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w,2019-11-15,Austria
92,Lalala,Y2K,47903,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-11-15,Austria
93,Follow God,Kanye West,47544,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,2019-11-15,Austria
94,Last Christmas,Wham!,47443,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2019-11-15,Austria
95,"10,000 Hours (with Justin Bieber)",Dan + Shay,47151,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019-11-15,Austria
96,Beweg dich,Yung Hurn,47109,https://open.spotify.com/track/3G6RFwMCftraVUXe46UdZG,2019-11-15,Austria
97,Torn,Ava Max,47091,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym,2019-11-15,Austria
98,Resumee Worte,RAF Camora,46595,https://open.spotify.com/track/3gRljjbvNmyRGjW2PKiNRC,2019-11-15,Austria
99,Instagram,Dimitri Vegas & Like Mike,46355,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S,2019-11-15,Austria
100,Post Malone (feat. RANI),Sam Feldt,46075,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,2019-11-15,Austria
101,World At Our Feet,Timmy Trumpet,45740,https://open.spotify.com/track/3IAxzaV3IrnAxyDsVVbIR2,2019-11-15,Austria
102,Meteorit,RAF Camora,45646,https://open.spotify.com/track/0RJPm9nMB6F4Xn0ol4S1a6,2019-11-15,Austria
103,Little Help,The BossHoss,45589,https://open.spotify.com/track/3uQp3pxHqAcNTREQeZrbkv,2019-11-15,Austria
104,Neptun,KC Rebell,45150,https://open.spotify.com/track/3GmfHF5RUe6r5C9UbvIXQp,2019-11-15,Austria
105,Lights Up,Harry Styles,45006,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,2019-11-15,Austria
106,Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,44461,https://open.spotify.com/track/6sYJuVcEu4gFHmeTLdHzRz,2019-11-15,Austria
107,Wohnung mit Lift,Yung Hurn,44340,https://open.spotify.com/track/75zc7M5vkKwxiB1K0E8rSP,2019-11-15,Austria
