Position,Track Name,Artist,Streams,URL,Week,Region
1,7 rings,Ariana Grande,2271756,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-02-08,Canada
2,MIDDLE CHILD,J. Cole,1667986,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019-02-08,Canada
3,bury a friend,Billie Eilish,1657904,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019-02-08,Canada
4,Wow.,Post Malone,1620665,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-02-08,Canada
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1498955,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-02-08,Canada
6,Going Bad (feat. Drake),Meek Mill,1076009,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-02-08,Canada
7,SICKO MODE,Travis Scott,1026871,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-02-08,Canada
8,Without Me,Halsey,1014461,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-02-08,Canada
9,Look Back at It,A Boogie Wit da Hoodie,965803,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-02-08,Canada
10,Dancing With A Stranger (with Normani),Sam Smith,927705,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019-02-08,Canada
11,Happier,Marshmello,912403,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-02-08,Canada
12,"thank u, next",Ariana Grande,804215,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-02-08,Canada
13,Drip Too Hard (Lil Baby & Gunna),Lil Baby,782196,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-02-08,Canada
14,ZEZE (feat. Travis Scott & Offset),Kodak Black,754156,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-02-08,Canada
15,Saturday Nights,Khalid,727941,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-02-08,Canada
16,Shallow,Lady Gaga,721520,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-02-08,Canada
17,Thotiana,Blueface,721114,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019-02-08,Canada
18,Mo Bamba,Sheck Wes,711133,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-02-08,Canada
19,High Hopes,Panic! At The Disco,706573,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-02-08,Canada
20,a lot,21 Savage,693717,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-02-08,Canada
21,Eastside (with Halsey & Khalid),benny blanco,659879,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-02-08,Canada
22,Keanu Reeves,Logic,656682,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019-02-08,Canada
23,Hope,The Chainsmokers,613023,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-02-08,Canada
24,Pure Water (with Migos),Mustard,607263,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019-02-08,Canada
25,Leave Me Alone,Flipp Dinero,596117,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-02-08,Canada
26,when the party's over,Billie Eilish,588505,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-02-08,Canada
27,Nights Like This (feat. Ty Dolla $ign),Kehlani,586152,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019-02-08,Canada
28,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,584011,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,2019-02-08,Canada
29,Better Now,Post Malone,581153,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-02-08,Canada
30,i'm so tired...,Lauv,579115,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-02-08,Canada
31,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,548004,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-02-08,Canada
32,Lost in the Fire,Gesaffelstein,547724,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019-02-08,Canada
33,Lucid Dreams,Juice WRLD,537488,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-02-08,Canada
34,No Stylist (feat. Drake),French Montana,527987,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2019-02-08,Canada
35,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,525910,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-02-08,Canada
36,Better,Khalid,522668,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-02-08,Canada
37,Let Me Down Slowly,Alec Benjamin,522054,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-02-08,Canada
38,First Off (feat. Travis Scott),Future,521451,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,2019-02-08,Canada
39,Youngblood,5 Seconds of Summer,500212,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-02-08,Canada
40,Sweet but Psycho,Ava Max,491617,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-02-08,Canada
41,Taste (feat. Offset),Tyga,490900,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-02-08,Canada
42,Splashin,Rich The Kid,487336,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,2019-02-08,Canada
43,SAD!,XXXTENTACION,484750,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-02-08,Canada
44,KIKA,6ix9ine,484213,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019-02-08,Canada
45,MIA (feat. Drake),Bad Bunny,478847,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-02-08,Canada
46,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,477742,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-02-08,Canada
47,Giant (with Rag'n'Bone Man),Calvin Harris,472283,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019-02-08,Canada
48,Wake Up in the Sky,Gucci Mane,461749,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-02-08,Canada
49,Nonstop,Drake,445289,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019-02-08,Canada
50,lovely,Billie Eilish,442169,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-02-08,Canada
51,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,439036,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-02-08,Canada
52,Noticed,Lil Mosey,422210,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,2019-02-08,Canada
53,Girls Like You (feat. Cardi B),Maroon 5,419047,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-02-08,Canada
54,Armed And Dangerous,Juice WRLD,418501,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,2019-02-08,Canada
55,rockstar (feat. 21 Savage),Post Malone,413745,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-02-08,Canada
56,One Call,Gunna,403745,https://open.spotify.com/track/2IoZOYOZDrWCOLoZoYedxQ,2019-02-08,Canada
57,Be Alright,Dean Lewis,398738,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-02-08,Canada
58,Money,Cardi B,384149,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-02-08,Canada
59,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,382781,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,2019-02-08,Canada
60,Moonlight,XXXTENTACION,381829,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-02-08,Canada
61,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,380942,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-02-08,Canada
62,Space Cadet (feat. Gunna),Metro Boomin,377679,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,2019-02-08,Canada
63,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,374249,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,2019-02-08,Canada
64,I Like Me Better,Lauv,372562,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-02-08,Canada
65,Crushed Up,Future,364408,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,2019-02-08,Canada
66,I Like It,Cardi B,360338,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-02-08,Canada
67,Racks on Racks,Lil Pump,360084,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s,2019-02-08,Canada
68,Body (feat. brando),Loud Luxury,358989,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-02-08,Canada
69,This Feeling,The Chainsmokers,355520,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-02-08,Canada
70,monster,21 Savage,353398,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019-02-08,Canada
71,God's Plan,Drake,352348,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-02-08,Canada
72,Psycho (feat. Ty Dolla $ign),Post Malone,348891,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-02-08,Canada
73,Bohemian Rhapsody - 2011 Mix,Queen,348048,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-02-08,Canada
74,Someone You Loved,Lewis Capaldi,345654,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-02-08,Canada
