Position,Track Name,Artist,Streams,URL,Week,Region
1,No Te Enamores,Paloma Mami,2217848,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv,2019-01-04,Chile
2,Calma - Remix,Pedro Capó,2107446,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Chile
3,Adan y Eva,Paulo Londra,1950234,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Chile
4,Amanece,Anuel AA,1749380,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-04,Chile
5,Not Steady,Paloma Mami,1684747,https://open.spotify.com/track/42ArfZUgGo3k5btIHp08it,2019-01-04,Chile
6,MIA (feat. Drake),Bad Bunny,1573990,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Chile
7,Adictiva,Daddy Yankee,1408362,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-04,Chile
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1271136,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Chile
9,Imposible,Luis Fonsi,1194444,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-04,Chile
10,Cuando Te Besé,Becky G,1120117,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-04,Chile
11,Vaina Loca,Ozuna,1005100,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Chile
12,BEBE,6ix9ine,974941,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-04,Chile
13,Bubalu,Becky G,967108,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-04,Chile
14,Ella Quiere Beber - Remix,Anuel AA,949162,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Chile
15,Solo de Mi,Bad Bunny,932022,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-04,Chile
16,Hipócrita,Anuel AA,925422,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,2019-01-04,Chile
17,Desconocidos,Mau y Ricky,903212,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Chile
18,Culpables,KAROL G,875632,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-04,Chile
