Position,Track Name,Artist,Streams,URL,Week,Region
1,Vossi Bop,Stormzy,5443916,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr,2019-05-03,Great Britain
2,bad guy,Billie Eilish,3614191,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-05-03,Great Britain
3,Piece Of Your Heart,MEDUZA,3535897,https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,2019-05-03,Great Britain
4,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,3332584,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-05-03,Great Britain
5,Someone You Loved,Lewis Capaldi,2991680,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019-05-03,Great Britain
6,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2875140,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,2019-05-03,Great Britain
7,SOS,Avicii,2528763,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP,2019-05-03,Great Britain
8,Old Town Road,Lil Nas X,2105884,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O,2019-05-03,Great Britain
9,Don't Call Me Up,Mabel,2047534,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-05-03,Great Britain
10,Location (feat. Burna Boy),Dave,1967220,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI,2019-05-03,Great Britain
11,Just You and I,Tom Walker,1853282,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,2019-05-03,Great Britain
12,Talk (feat. Disclosure),Khalid,1840655,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-05-03,Great Britain
13,Sucker,Jonas Brothers,1816901,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-05-03,Great Britain
14,Here With Me,Marshmello,1715457,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019-05-03,Great Britain
15,Keisha & Becky - Remix,Russ Millions,1652643,https://open.spotify.com/track/5wIjM4q7oIgiLqn8Qfoyxh,2019-05-03,Great Britain
16,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,1640458,https://open.spotify.com/track/11o2y87vqODipLK98a1v34,2019-05-03,Great Britain
