Position,Track Name,Artist,Streams,URL,Week,Region
1,Secreto,Anuel AA,536868,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-03-01,Colombia
2,Con Calma,Daddy Yankee,481026,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-01,Colombia
3,Desconocidos,Mau y Ricky,458081,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-03-01,Colombia
4,Adan y Eva,Paulo Londra,455968,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-03-01,Colombia
5,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,455536,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX,2019-03-01,Colombia
6,Calma - Remix,Pedro Capó,455061,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-03-01,Colombia
7,Te Vi,Piso 21,412057,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-03-01,Colombia
8,Esclavo de Tus Besos,Manuel Turizo,387833,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,2019-03-01,Colombia
9,Un Año,Sebastian Yatra,375062,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019-03-01,Colombia
10,Pa Mí - Remix,Dalex,316431,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,2019-03-01,Colombia
11,Baila Baila Baila,Ozuna,303280,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019-03-01,Colombia
12,Ella Quiere Beber - Remix,Anuel AA,301592,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-03-01,Colombia
13,MIA (feat. Drake),Bad Bunny,292126,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-03-01,Colombia
14,Sola,Manuel Turizo,289530,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-03-01,Colombia
15,Amanece,Anuel AA,287994,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-03-01,Colombia
16,Créeme,KAROL G,269225,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-03-01,Colombia
17,Dile la Verdad,The Rudeboyz,253444,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE,2019-03-01,Colombia
18,Reggaeton,J Balvin,239928,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-03-01,Colombia
19,Adictiva,Daddy Yankee,236775,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-03-01,Colombia
20,7 rings,Ariana Grande,231699,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019-03-01,Colombia
21,Baby,Amenazzy,221919,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp,2019-03-01,Colombia
22,Ni Gucci Ni Prada,Kenny Man,219369,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-03-01,Colombia
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,214045,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-03-01,Colombia
24,No Es Justo,J Balvin,210573,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-03-01,Colombia
25,Bubalu,Becky G,207571,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-03-01,Colombia
26,Vaina Loca,Ozuna,203996,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-03-01,Colombia
27,Puntos Suspensivos,Piso 21,202950,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-03-01,Colombia
